VREF,IREF,VDD,IDD
+0.000000E+00,-2.046973E-05,+1.800000E+00,+2.037630E-04
+1.000000E-03,-2.045411E-05,+1.800000E+00,+2.036868E-04
+2.000000E-03,-2.049236E-05,+1.800000E+00,+2.038928E-04
+3.000000E-03,-2.045164E-05,+1.800000E+00,+2.036707E-04
+4.000000E-03,-2.044005E-05,+1.800000E+00,+2.036233E-04
+5.000000E-03,-2.048973E-05,+1.800000E+00,+2.039082E-04
+6.000000E-03,-2.051019E-05,+1.800000E+00,+2.040132E-04
+7.000000E-03,-2.048412E-05,+1.800000E+00,+2.038937E-04
+8.000000E-03,-2.052072E-05,+1.800000E+00,+2.040900E-04
+9.000000E-03,-2.048463E-05,+1.800000E+00,+2.038932E-04
+1.000000E-02,-2.048601E-05,+1.800000E+00,+2.038994E-04
+1.100000E-02,-2.047510E-05,+1.800000E+00,+2.038466E-04
+1.200000E-02,-2.048719E-05,+1.800000E+00,+2.039345E-04
+1.300000E-02,-2.049589E-05,+1.800000E+00,+2.039845E-04
+1.400000E-02,-2.047067E-05,+1.800000E+00,+2.038356E-04
+1.500000E-02,-2.047503E-05,+1.800000E+00,+2.038704E-04
+1.600000E-02,-2.045475E-05,+1.800000E+00,+2.037682E-04
+1.700000E-02,-2.047973E-05,+1.800000E+00,+2.038952E-04
+1.800000E-02,-2.044890E-05,+1.800000E+00,+2.037271E-04
+1.900000E-02,-2.046817E-05,+1.800000E+00,+2.038541E-04
+2.000000E-02,-2.045059E-05,+1.800000E+00,+2.037579E-04
+2.100000E-02,-2.048366E-05,+1.800000E+00,+2.039417E-04
+2.200000E-02,-2.045928E-05,+1.800000E+00,+2.038097E-04
+2.300000E-02,-2.048539E-05,+1.800000E+00,+2.039819E-04
+2.400000E-02,-2.049697E-05,+1.800000E+00,+2.040521E-04
+2.500000E-02,-2.047242E-05,+1.800000E+00,+2.039196E-04
+2.600000E-02,-2.049677E-05,+1.800000E+00,+2.040544E-04
+2.700000E-02,-2.045450E-05,+1.800000E+00,+2.038278E-04
+2.800000E-02,-2.050398E-05,+1.800000E+00,+2.040991E-04
+2.900000E-02,-2.050914E-05,+1.800000E+00,+2.041291E-04
+3.000000E-02,-2.048829E-05,+1.800000E+00,+2.040429E-04
+3.100000E-02,-2.047438E-05,+1.800000E+00,+2.039636E-04
+3.200000E-02,-2.048983E-05,+1.800000E+00,+2.040295E-04
+3.300000E-02,-2.048049E-05,+1.800000E+00,+2.040002E-04
+3.400000E-02,-2.045755E-05,+1.800000E+00,+2.038641E-04
+3.500000E-02,-2.047956E-05,+1.800000E+00,+2.039908E-04
+3.600000E-02,-2.045609E-05,+1.800000E+00,+2.038827E-04
+3.700000E-02,-2.044941E-05,+1.800000E+00,+2.038720E-04
+3.800000E-02,-2.045584E-05,+1.800000E+00,+2.038950E-04
+3.900000E-02,-2.048829E-05,+1.800000E+00,+2.040724E-04
+4.000000E-02,-2.047286E-05,+1.800000E+00,+2.040024E-04
+4.100000E-02,-2.048564E-05,+1.800000E+00,+2.040745E-04
+4.200000E-02,-2.045961E-05,+1.800000E+00,+2.039441E-04
+4.300000E-02,-2.047095E-05,+1.800000E+00,+2.040104E-04
+4.400000E-02,-2.045433E-05,+1.800000E+00,+2.039332E-04
+4.500000E-02,-2.045235E-05,+1.800000E+00,+2.039403E-04
+4.600000E-02,-2.044847E-05,+1.800000E+00,+2.039071E-04
+4.700000E-02,-2.042349E-05,+1.800000E+00,+2.037626E-04
+4.800000E-02,-2.044287E-05,+1.800000E+00,+2.039003E-04
+4.900000E-02,-2.046953E-05,+1.800000E+00,+2.040397E-04
+5.000000E-02,-2.043126E-05,+1.800000E+00,+2.038315E-04
+5.100000E-02,-2.045088E-05,+1.800000E+00,+2.039552E-04
+5.200000E-02,-2.044341E-05,+1.800000E+00,+2.039165E-04
+5.300000E-02,-2.043883E-05,+1.800000E+00,+2.038930E-04
+5.400000E-02,-2.042939E-05,+1.800000E+00,+2.038387E-04
+5.500000E-02,-2.041268E-05,+1.800000E+00,+2.037520E-04
+5.600000E-02,-2.043726E-05,+1.800000E+00,+2.038978E-04
+5.700000E-02,-2.043185E-05,+1.800000E+00,+2.038684E-04
+5.800000E-02,-2.043511E-05,+1.800000E+00,+2.038993E-04
+5.900000E-02,-2.042289E-05,+1.800000E+00,+2.038407E-04
+6.000000E-02,-2.039181E-05,+1.800000E+00,+2.036853E-04
+6.100000E-02,-2.040766E-05,+1.800000E+00,+2.037788E-04
+6.200000E-02,-2.039681E-05,+1.800000E+00,+2.037179E-04
+6.300000E-02,-2.040355E-05,+1.800000E+00,+2.037721E-04
+6.400000E-02,-2.036860E-05,+1.800000E+00,+2.035905E-04
+6.500000E-02,-2.038504E-05,+1.800000E+00,+2.036816E-04
+6.600000E-02,-2.037662E-05,+1.800000E+00,+2.036288E-04
+6.700000E-02,-2.036116E-05,+1.800000E+00,+2.035639E-04
+6.800000E-02,-2.033133E-05,+1.800000E+00,+2.034019E-04
+6.900000E-02,-2.036182E-05,+1.800000E+00,+2.035762E-04
+7.000000E-02,-2.038479E-05,+1.800000E+00,+2.037015E-04
+7.100000E-02,-2.039410E-05,+1.800000E+00,+2.037647E-04
+7.200000E-02,-2.034517E-05,+1.800000E+00,+2.035140E-04
+7.300000E-02,-2.033853E-05,+1.800000E+00,+2.034995E-04
+7.400000E-02,-2.034955E-05,+1.800000E+00,+2.035275E-04
+7.500000E-02,-2.036204E-05,+1.800000E+00,+2.036175E-04
+7.600000E-02,-2.033637E-05,+1.800000E+00,+2.034568E-04
+7.700000E-02,-2.034018E-05,+1.800000E+00,+2.035040E-04
+7.800000E-02,-2.032802E-05,+1.800000E+00,+2.034219E-04
+7.900000E-02,-2.034240E-05,+1.800000E+00,+2.035124E-04
+8.000000E-02,-2.031719E-05,+1.800000E+00,+2.033771E-04
+8.100000E-02,-2.030185E-05,+1.800000E+00,+2.032964E-04
+8.200000E-02,-2.030473E-05,+1.800000E+00,+2.033136E-04
+8.300000E-02,-2.033616E-05,+1.800000E+00,+2.034886E-04
+8.400000E-02,-2.033780E-05,+1.800000E+00,+2.034762E-04
+8.500000E-02,-2.031852E-05,+1.800000E+00,+2.033908E-04
+8.600000E-02,-2.031649E-05,+1.800000E+00,+2.033917E-04
+8.700000E-02,-2.032447E-05,+1.800000E+00,+2.034554E-04
+8.800000E-02,-2.033638E-05,+1.800000E+00,+2.035118E-04
+8.900000E-02,-2.031854E-05,+1.800000E+00,+2.034173E-04
+9.000000E-02,-2.033135E-05,+1.800000E+00,+2.035052E-04
+9.100000E-02,-2.033049E-05,+1.800000E+00,+2.035114E-04
+9.200000E-02,-2.032302E-05,+1.800000E+00,+2.034677E-04
+9.300000E-02,-2.029870E-05,+1.800000E+00,+2.033321E-04
+9.400000E-02,-2.032364E-05,+1.800000E+00,+2.034752E-04
+9.500000E-02,-2.030059E-05,+1.800000E+00,+2.033558E-04
