VDD,IDD,VREF,IREF
+1.800000E+00,+1.286711E-04,+0.000000E+00,-1.574601E-05
+1.799000E+00,+1.285221E-04,+0.000000E+00,-1.572033E-05
+1.798000E+00,+1.283011E-04,+0.000000E+00,-1.572700E-05
+1.797000E+00,+1.283741E-04,+0.000000E+00,-1.573507E-05
+1.796000E+00,+1.282795E-04,+0.000000E+00,-1.568558E-05
+1.795000E+00,+1.281879E-04,+0.000000E+00,-1.568302E-05
+1.794000E+00,+1.280336E-04,+0.000000E+00,-1.573285E-05
+1.793000E+00,+1.282289E-04,+0.000000E+00,-1.572627E-05
+1.792000E+00,+1.283703E-04,+0.000000E+00,-1.574852E-05
+1.791000E+00,+1.283822E-04,+0.000000E+00,-1.575247E-05
+1.790000E+00,+1.281671E-04,+0.000000E+00,-1.578093E-05
+1.789000E+00,+1.281752E-04,+0.000000E+00,-1.575937E-05
+1.788000E+00,+1.281397E-04,+0.000000E+00,-1.572832E-05
+1.787000E+00,+1.280873E-04,+0.000000E+00,-1.575248E-05
+1.786000E+00,+1.279494E-04,+0.000000E+00,-1.574342E-05
+1.785000E+00,+1.279077E-04,+0.000000E+00,-1.573318E-05
+1.784000E+00,+1.278249E-04,+0.000000E+00,-1.574596E-05
+1.783000E+00,+1.280324E-04,+0.000000E+00,-1.574184E-05
+1.782000E+00,+1.279986E-04,+0.000000E+00,-1.577544E-05
+1.781000E+00,+1.280108E-04,+0.000000E+00,-1.576249E-05
+1.780000E+00,+1.278995E-04,+0.000000E+00,-1.577361E-05
+1.779000E+00,+1.278701E-04,+0.000000E+00,-1.577343E-05
+1.778000E+00,+1.278625E-04,+0.000000E+00,-1.578876E-05
+1.777000E+00,+1.277592E-04,+0.000000E+00,-1.579069E-05
+1.776000E+00,+1.278192E-04,+0.000000E+00,-1.577974E-05
+1.775000E+00,+1.276417E-04,+0.000000E+00,-1.577864E-05
+1.774000E+00,+1.277304E-04,+0.000000E+00,-1.576383E-05
+1.773000E+00,+1.274198E-04,+0.000000E+00,-1.579822E-05
+1.772000E+00,+1.274843E-04,+0.000000E+00,-1.577453E-05
+1.771000E+00,+1.277218E-04,+0.000000E+00,-1.578334E-05
+1.770000E+00,+1.278120E-04,+0.000000E+00,-1.583839E-05
+1.769000E+00,+1.278026E-04,+0.000000E+00,-1.584780E-05
+1.768000E+00,+1.277203E-04,+0.000000E+00,-1.586990E-05
+1.767000E+00,+1.277871E-04,+0.000000E+00,-1.584402E-05
+1.766000E+00,+1.275998E-04,+0.000000E+00,-1.586906E-05
+1.765000E+00,+1.277756E-04,+0.000000E+00,-1.585325E-05
+1.764000E+00,+1.275428E-04,+0.000000E+00,-1.587788E-05
+1.763000E+00,+1.276767E-04,+0.000000E+00,-1.587077E-05
+1.762000E+00,+1.276081E-04,+0.000000E+00,-1.586308E-05
+1.761000E+00,+1.273923E-04,+0.000000E+00,-1.586356E-05
+1.760000E+00,+1.270634E-04,+0.000000E+00,-1.587179E-05
+1.759000E+00,+1.272619E-04,+0.000000E+00,-1.580329E-05
+1.758000E+00,+1.273979E-04,+0.000000E+00,-1.583522E-05
+1.757000E+00,+1.272887E-04,+0.000000E+00,-1.585977E-05
+1.756000E+00,+1.272305E-04,+0.000000E+00,-1.588187E-05
+1.755000E+00,+1.272259E-04,+0.000000E+00,-1.589956E-05
+1.754000E+00,+1.272797E-04,+0.000000E+00,-1.588201E-05
+1.753000E+00,+1.272345E-04,+0.000000E+00,-1.586567E-05
+1.752000E+00,+1.272453E-04,+0.000000E+00,-1.589710E-05
+1.751000E+00,+1.270309E-04,+0.000000E+00,-1.591292E-05
+1.750000E+00,+1.268304E-04,+0.000000E+00,-1.585800E-05
+1.749000E+00,+1.271944E-04,+0.000000E+00,-1.586948E-05
+1.748000E+00,+1.271283E-04,+0.000000E+00,-1.588634E-05
+1.747000E+00,+1.271918E-04,+0.000000E+00,-1.592472E-05
+1.746000E+00,+1.269796E-04,+0.000000E+00,-1.591553E-05
+1.745000E+00,+1.269619E-04,+0.000000E+00,-1.591114E-05
+1.744000E+00,+1.267490E-04,+0.000000E+00,-1.587698E-05
+1.743000E+00,+1.268424E-04,+0.000000E+00,-1.589027E-05
+1.742000E+00,+1.267151E-04,+0.000000E+00,-1.591379E-05
+1.741000E+00,+1.266218E-04,+0.000000E+00,-1.590879E-05
+1.740000E+00,+1.267464E-04,+0.000000E+00,-1.587731E-05
+1.739000E+00,+1.266597E-04,+0.000000E+00,-1.589646E-05
+1.738000E+00,+1.265225E-04,+0.000000E+00,-1.590306E-05
+1.737000E+00,+1.265583E-04,+0.000000E+00,-1.585991E-05
+1.736000E+00,+1.264020E-04,+0.000000E+00,-1.589927E-05
+1.735000E+00,+1.266102E-04,+0.000000E+00,-1.587446E-05
+1.734000E+00,+1.263825E-04,+0.000000E+00,-1.588080E-05
+1.733000E+00,+1.260543E-04,+0.000000E+00,-1.590089E-05
+1.732000E+00,+1.261059E-04,+0.000000E+00,-1.586104E-05
+1.731000E+00,+1.262717E-04,+0.000000E+00,-1.586456E-05
+1.730000E+00,+1.264472E-04,+0.000000E+00,-1.591037E-05
+1.729000E+00,+1.261803E-04,+0.000000E+00,-1.592305E-05
+1.728000E+00,+1.262574E-04,+0.000000E+00,-1.589840E-05
+1.727000E+00,+1.262640E-04,+0.000000E+00,-1.589493E-05
+1.726000E+00,+1.262548E-04,+0.000000E+00,-1.590633E-05
+1.725000E+00,+1.261419E-04,+0.000000E+00,-1.591356E-05
+1.724000E+00,+1.260849E-04,+0.000000E+00,-1.592110E-05
+1.723000E+00,+1.259545E-04,+0.000000E+00,-1.591980E-05
+1.722000E+00,+1.258895E-04,+0.000000E+00,-1.591963E-05
+1.721000E+00,+1.258765E-04,+0.000000E+00,-1.591546E-05
+1.720000E+00,+1.261215E-04,+0.000000E+00,-1.590827E-05
+1.719000E+00,+1.258435E-04,+0.000000E+00,-1.591126E-05
+1.718000E+00,+1.259411E-04,+0.000000E+00,-1.591070E-05
+1.717000E+00,+1.258857E-04,+0.000000E+00,-1.594515E-05
+1.716000E+00,+1.259007E-04,+0.000000E+00,-1.591850E-05
+1.715000E+00,+1.257173E-04,+0.000000E+00,-1.594937E-05
+1.714000E+00,+1.257780E-04,+0.000000E+00,-1.592518E-05
+1.713000E+00,+1.257021E-04,+0.000000E+00,-1.592742E-05
+1.712000E+00,+1.256849E-04,+0.000000E+00,-1.592660E-05
+1.711000E+00,+1.255688E-04,+0.000000E+00,-1.590983E-05
+1.710000E+00,+1.256212E-04,+0.000000E+00,-1.595408E-05
+1.709000E+00,+1.255108E-04,+0.000000E+00,-1.595245E-05
+1.708000E+00,+1.254669E-04,+0.000000E+00,-1.592084E-05
+1.707000E+00,+1.254594E-04,+0.000000E+00,-1.591237E-05
+1.706000E+00,+1.255992E-04,+0.000000E+00,-1.595077E-05
+1.705000E+00,+1.256885E-04,+0.000000E+00,-1.598157E-05
+1.704000E+00,+1.254937E-04,+0.000000E+00,-1.599620E-05
+1.703000E+00,+1.254148E-04,+0.000000E+00,-1.599417E-05
+1.702000E+00,+1.253181E-04,+0.000000E+00,-1.599093E-05
+1.701000E+00,+1.254235E-04,+0.000000E+00,-1.598383E-05
+1.700000E+00,+1.253942E-04,+0.000000E+00,-1.600730E-05
+1.699000E+00,+1.253485E-04,+0.000000E+00,-1.598279E-05
+1.698000E+00,+1.255431E-04,+0.000000E+00,-1.601216E-05
+1.697000E+00,+1.255792E-04,+0.000000E+00,-1.603966E-05
+1.696000E+00,+1.254938E-04,+0.000000E+00,-1.603144E-05
+1.695000E+00,+1.252439E-04,+0.000000E+00,-1.603900E-05
+1.694000E+00,+1.251869E-04,+0.000000E+00,-1.601401E-05
+1.693000E+00,+1.252213E-04,+0.000000E+00,-1.597753E-05
+1.692000E+00,+1.249472E-04,+0.000000E+00,-1.602162E-05
+1.691000E+00,+1.248214E-04,+0.000000E+00,-1.599724E-05
+1.690000E+00,+1.248776E-04,+0.000000E+00,-1.597770E-05
+1.689000E+00,+1.249901E-04,+0.000000E+00,-1.599651E-05
+1.688000E+00,+1.249430E-04,+0.000000E+00,-1.598493E-05
+1.687000E+00,+1.249913E-04,+0.000000E+00,-1.599742E-05
+1.686000E+00,+1.249479E-04,+0.000000E+00,-1.601243E-05
+1.685000E+00,+1.248078E-04,+0.000000E+00,-1.602851E-05
+1.684000E+00,+1.250192E-04,+0.000000E+00,-1.605638E-05
+1.683000E+00,+1.248304E-04,+0.000000E+00,-1.607386E-05
+1.682000E+00,+1.249996E-04,+0.000000E+00,-1.606603E-05
+1.681000E+00,+1.249977E-04,+0.000000E+00,-1.605633E-05
+1.680000E+00,+1.248316E-04,+0.000000E+00,-1.607245E-05
+1.679000E+00,+1.249575E-04,+0.000000E+00,-1.605899E-05
+1.678000E+00,+1.247637E-04,+0.000000E+00,-1.608395E-05
+1.677000E+00,+1.246122E-04,+0.000000E+00,-1.608946E-05
+1.676000E+00,+1.245367E-04,+0.000000E+00,-1.605887E-05
+1.675000E+00,+1.247702E-04,+0.000000E+00,-1.602105E-05
+1.674000E+00,+1.244019E-04,+0.000000E+00,-1.602132E-05
+1.673000E+00,+1.244621E-04,+0.000000E+00,-1.604969E-05
+1.672000E+00,+1.243392E-04,+0.000000E+00,-1.606337E-05
