VDD,IDD,VREF,IREF
+0.000000E+00,-1.244838E-08,+0.000000E+00,-2.452812E-10
+1.000000E-03,-1.124346E-08,+0.000000E+00,-1.798099E-10
+2.000000E-03,-8.683019E-09,+0.000000E+00,-2.150640E-10
+3.000000E-03,-6.172779E-09,+0.000000E+00,-2.906081E-10
+4.000000E-03,-6.674814E-09,+0.000000E+00,-2.150638E-10
+5.000000E-03,-6.072372E-09,+0.000000E+00,-2.704630E-10
+6.000000E-03,-4.013964E-09,+0.000000E+00,-2.503173E-10
+7.000000E-03,-2.859257E-09,+0.000000E+00,-2.906073E-10
+8.000000E-03,-2.357218E-09,+0.000000E+00,-2.402443E-10
+9.000000E-03,-3.489973E-10,+0.000000E+00,-2.956441E-10
+1.000000E-02,-1.001665E-09,+0.000000E+00,-3.862959E-10
+1.100000E-02,+6.550920E-10,+0.000000E+00,-2.805345E-10
+1.200000E-02,-1.252699E-09,+0.000000E+00,-3.611144E-10
+1.300000E-02,-3.160475E-09,+0.000000E+00,-3.460054E-10
+1.400000E-02,-1.804951E-09,+0.000000E+00,-3.812592E-10
+1.500000E-02,-3.813136E-09,+0.000000E+00,-3.107520E-10
+1.600000E-02,-3.511927E-09,+0.000000E+00,-4.618392E-10
+1.700000E-02,-1.503722E-09,+0.000000E+00,-3.711868E-10
+1.800000E-02,-1.102078E-09,+0.000000E+00,-4.165130E-10
+1.900000E-02,-2.457631E-09,+0.000000E+00,-4.165133E-10
+2.000000E-02,-6.000445E-10,+0.000000E+00,-4.316227E-10
+2.100000E-02,+1.257538E-09,+0.000000E+00,-4.014044E-10
+2.200000E-02,+1.056710E-09,+0.000000E+00,-5.021299E-10
+2.300000E-02,+3.165331E-09,+0.000000E+00,-3.258601E-10
+2.400000E-02,+5.546692E-10,+0.000000E+00,-4.366579E-10
+2.500000E-02,+3.215533E-09,+0.000000E+00,-4.769486E-10
+2.600000E-02,-9.798562E-11,+0.000000E+00,-4.668756E-10
+2.700000E-02,+1.408146E-09,+0.000000E+00,-4.165138E-10
+2.800000E-02,-9.514611E-10,+0.000000E+00,-4.870206E-10
+2.900000E-02,-1.202496E-09,+0.000000E+00,-4.416952E-10
+3.000000E-02,-6.000338E-10,+0.000000E+00,-4.316220E-10
+3.100000E-02,-1.302912E-09,+0.000000E+00,-5.172380E-10
+3.200000E-02,-3.110276E-09,+0.000000E+00,-4.719123E-10
+3.300000E-02,-7.506387E-10,+0.000000E+00,-4.819843E-10
+3.400000E-02,+4.069019E-09,+0.000000E+00,-5.021287E-10
+3.500000E-02,+2.813877E-09,+0.000000E+00,-4.668756E-10
+3.600000E-02,+2.311834E-09,+0.000000E+00,-4.467317E-10
+3.700000E-02,+3.265724E-09,+0.000000E+00,-4.014042E-10
+3.800000E-02,+5.073124E-09,+0.000000E+00,-4.568025E-10
+3.900000E-02,+3.566976E-09,+0.000000E+00,-5.827093E-10
+4.000000E-02,+2.562864E-09,+0.000000E+00,-4.618395E-10
+4.100000E-02,+2.211458E-09,+0.000000E+00,-4.467304E-10
+4.200000E-02,+3.538716E-10,+0.000000E+00,-5.273108E-10
+4.300000E-02,+3.538521E-10,+0.000000E+00,-4.668762E-10
+4.400000E-02,+7.554863E-10,+0.000000E+00,-4.819842E-10
+4.500000E-02,-2.987957E-10,+0.000000E+00,-5.625643E-10
+4.600000E-02,-1.983871E-10,+0.000000E+00,-5.524918E-10
+4.700000E-02,+4.542926E-10,+0.000000E+00,-5.676006E-10
+4.800000E-02,+1.608996E-09,+0.000000E+00,-4.920570E-10
+4.900000E-02,+2.663297E-09,+0.000000E+00,-4.416940E-10
+5.000000E-02,+3.466525E-09,+0.000000E+00,-4.668752E-10
+5.100000E-02,+4.219633E-09,+0.000000E+00,-6.028544E-10
+5.200000E-02,+4.320020E-09,+0.000000E+00,-5.676002E-10
+5.300000E-02,+4.621269E-09,+0.000000E+00,-5.122016E-10
+5.400000E-02,+3.817989E-09,+0.000000E+00,-4.920568E-10
+5.500000E-02,+5.073117E-09,+0.000000E+00,-5.474554E-10
+5.600000E-02,+3.014735E-09,+0.000000E+00,-4.970930E-10
+5.700000E-02,+1.709392E-09,+0.000000E+00,-5.424189E-10
+5.800000E-02,+2.060817E-09,+0.000000E+00,-5.726363E-10
+5.900000E-02,+1.408178E-09,+0.000000E+00,-5.424192E-10
+6.000000E-02,+4.542589E-10,+0.000000E+00,-5.021291E-10
+6.100000E-02,+9.563159E-10,+0.000000E+00,-5.524914E-10
+6.200000E-02,+4.169447E-09,+0.000000E+00,-5.877453E-10
+6.300000E-02,+3.968626E-09,+0.000000E+00,-5.474552E-10
+6.400000E-02,+3.416341E-09,+0.000000E+00,-6.028535E-10
+6.500000E-02,+5.474725E-09,+0.000000E+00,-5.524916E-10
+6.600000E-02,+5.775940E-09,+0.000000E+00,-5.827092E-10
+6.700000E-02,+6.780065E-09,+0.000000E+00,-5.021295E-10
+6.800000E-02,+5.424567E-09,+0.000000E+00,-5.726366E-10
+6.900000E-02,+5.575149E-09,+0.000000E+00,-6.330717E-10
+7.000000E-02,+4.219659E-09,+0.000000E+00,-5.424186E-10
+7.100000E-02,+1.257540E-09,+0.000000E+00,-5.474552E-10
+7.200000E-02,+3.466573E-09,+0.000000E+00,-5.424189E-10
+7.300000E-02,+1.659190E-09,+0.000000E+00,-5.373829E-10
+7.400000E-02,+1.659156E-09,+0.000000E+00,-5.676001E-10
+7.500000E-02,+2.211427E-09,+0.000000E+00,-5.172381E-10
+7.600000E-02,+2.964525E-09,+0.000000E+00,-4.719120E-10
+7.700000E-02,+3.617169E-09,+0.000000E+00,-6.683252E-10
+7.800000E-02,+6.629460E-09,+0.000000E+00,-6.330717E-10
+7.900000E-02,+7.081283E-09,+0.000000E+00,-5.676000E-10
+8.000000E-02,+6.629408E-09,+0.000000E+00,-6.431440E-10
+8.100000E-02,+8.185802E-09,+0.000000E+00,-6.330715E-10
+8.200000E-02,+8.135594E-09,+0.000000E+00,-5.827089E-10
+8.300000E-02,+8.035205E-09,+0.000000E+00,-5.122017E-10
+8.400000E-02,+5.625377E-09,+0.000000E+00,-5.726364E-10
+8.500000E-02,+5.675579E-09,+0.000000E+00,-6.179628E-10
+8.600000E-02,+4.922518E-09,+0.000000E+00,-5.877453E-10
+8.700000E-02,+2.211424E-09,+0.000000E+00,-5.222741E-10
+8.800000E-02,+4.219631E-09,+0.000000E+00,-6.381077E-10
+8.900000E-02,+4.119205E-09,+0.000000E+00,-5.222736E-10
+9.000000E-02,+5.022894E-09,+0.000000E+00,-6.381077E-10
+9.100000E-02,+4.621272E-09,+0.000000E+00,-5.424188E-10
+9.200000E-02,+4.269840E-09,+0.000000E+00,-5.676003E-10
+9.300000E-02,+8.687888E-09,+0.000000E+00,-6.381075E-10
