VREF,IREF,VDD,IDD
+0.000000E+00,-1.840471E-05,+1.800000E+00,+1.918443E-04
+1.000000E-03,-1.839368E-05,+1.800000E+00,+1.919003E-04
+2.000000E-03,-1.840334E-05,+1.800000E+00,+1.918545E-04
+3.000000E-03,-1.839901E-05,+1.800000E+00,+1.919511E-04
+4.000000E-03,-1.836848E-05,+1.800000E+00,+1.917685E-04
+5.000000E-03,-1.839090E-05,+1.800000E+00,+1.920270E-04
+6.000000E-03,-1.839128E-05,+1.800000E+00,+1.918988E-04
+7.000000E-03,-1.837559E-05,+1.800000E+00,+1.918841E-04
+8.000000E-03,-1.839581E-05,+1.800000E+00,+1.915519E-04
+9.000000E-03,-1.837250E-05,+1.800000E+00,+1.916346E-04
+1.000000E-02,-1.838384E-05,+1.800000E+00,+1.916699E-04
+1.100000E-02,-1.840263E-05,+1.800000E+00,+1.918735E-04
+1.200000E-02,-1.838173E-05,+1.800000E+00,+1.917998E-04
+1.300000E-02,-1.838988E-05,+1.800000E+00,+1.918088E-04
+1.400000E-02,-1.838710E-05,+1.800000E+00,+1.917057E-04
+1.500000E-02,-1.837723E-05,+1.800000E+00,+1.919859E-04
+1.600000E-02,-1.836844E-05,+1.800000E+00,+1.918594E-04
+1.700000E-02,-1.837752E-05,+1.800000E+00,+1.918973E-04
+1.800000E-02,-1.838237E-05,+1.800000E+00,+1.919114E-04
+1.900000E-02,-1.837742E-05,+1.800000E+00,+1.918619E-04
+2.000000E-02,-1.838791E-05,+1.800000E+00,+1.918996E-04
+2.100000E-02,-1.837362E-05,+1.800000E+00,+1.918431E-04
+2.200000E-02,-1.837619E-05,+1.800000E+00,+1.918723E-04
+2.300000E-02,-1.832823E-05,+1.800000E+00,+1.917361E-04
+2.400000E-02,-1.834550E-05,+1.800000E+00,+1.917185E-04
+2.500000E-02,-1.836461E-05,+1.800000E+00,+1.917410E-04
+2.600000E-02,-1.833064E-05,+1.800000E+00,+1.916319E-04
+2.700000E-02,-1.833971E-05,+1.800000E+00,+1.918965E-04
+2.800000E-02,-1.833743E-05,+1.800000E+00,+1.916708E-04
+2.900000E-02,-1.830929E-05,+1.800000E+00,+1.916340E-04
+3.000000E-02,-1.835815E-05,+1.800000E+00,+1.916739E-04
+3.100000E-02,-1.829978E-05,+1.800000E+00,+1.918635E-04
+3.200000E-02,-1.833341E-05,+1.800000E+00,+1.914762E-04
+3.300000E-02,-1.832812E-05,+1.800000E+00,+1.917419E-04
+3.400000E-02,-1.834078E-05,+1.800000E+00,+1.916667E-04
+3.500000E-02,-1.834791E-05,+1.800000E+00,+1.919413E-04
+3.600000E-02,-1.835242E-05,+1.800000E+00,+1.918749E-04
+3.700000E-02,-1.836025E-05,+1.800000E+00,+1.917905E-04
+3.800000E-02,-1.832769E-05,+1.800000E+00,+1.918469E-04
+3.900000E-02,-1.833038E-05,+1.800000E+00,+1.919120E-04
+4.000000E-02,-1.835680E-05,+1.800000E+00,+1.917081E-04
+4.100000E-02,-1.836526E-05,+1.800000E+00,+1.916855E-04
+4.200000E-02,-1.837538E-05,+1.800000E+00,+1.919116E-04
+4.300000E-02,-1.836103E-05,+1.800000E+00,+1.920432E-04
+4.400000E-02,-1.836467E-05,+1.800000E+00,+1.919091E-04
+4.500000E-02,-1.834860E-05,+1.800000E+00,+1.919327E-04
+4.600000E-02,-1.835579E-05,+1.800000E+00,+1.918165E-04
+4.700000E-02,-1.833894E-05,+1.800000E+00,+1.918931E-04
+4.800000E-02,-1.833226E-05,+1.800000E+00,+1.918317E-04
+4.900000E-02,-1.836391E-05,+1.800000E+00,+1.919583E-04
+5.000000E-02,-1.837120E-05,+1.800000E+00,+1.918083E-04
+5.100000E-02,-1.834257E-05,+1.800000E+00,+1.918833E-04
+5.200000E-02,-1.833470E-05,+1.800000E+00,+1.918758E-04
+5.300000E-02,-1.834488E-05,+1.800000E+00,+1.917827E-04
