VDD,IDD,VREF,IREF
+1.800000E+00,+7.619902E-05,+0.000000E+00,-9.039119E-06
+1.799000E+00,+7.325988E-05,+1.000000E-03,-8.942198E-06
+1.798000E+00,+7.412686E-05,+2.000000E-03,-9.002414E-06
+1.797000E+00,+7.420798E-05,+3.000000E-03,-9.006614E-06
+1.796000E+00,+7.458942E-05,+4.000000E-03,-9.032073E-06
+1.795000E+00,+7.366233E-05,+5.000000E-03,-8.993586E-06
+1.794000E+00,+7.575492E-05,+6.000000E-03,-9.105525E-06
+1.793000E+00,+7.458824E-05,+7.000000E-03,-9.046261E-06
+1.792000E+00,+7.310603E-05,+8.000000E-03,-8.982451E-06
+1.791000E+00,+7.351346E-05,+9.000000E-03,-9.014545E-06
+1.790000E+00,+7.341065E-05,+1.000000E-02,-9.017880E-06
+1.789000E+00,+7.289629E-05,+1.100000E-02,-8.987439E-06
+1.788000E+00,+7.222254E-05,+1.200000E-02,-8.956235E-06
+1.787000E+00,+7.233596E-05,+1.300000E-02,-8.962011E-06
+1.786000E+00,+7.251387E-05,+1.400000E-02,-8.983227E-06
+1.785000E+00,+7.238002E-05,+1.500000E-02,-8.980829E-06
+1.784000E+00,+7.201882E-05,+1.600000E-02,-8.958016E-06
+1.783000E+00,+7.197890E-05,+1.700000E-02,-8.975855E-06
+1.782000E+00,+7.181284E-05,+1.800000E-02,-8.980259E-06
+1.781000E+00,+7.177009E-05,+1.900000E-02,-8.978885E-06
+1.780000E+00,+7.165264E-05,+2.000000E-02,-8.965423E-06
+1.779000E+00,+7.132838E-05,+2.100000E-02,-8.968381E-06
+1.778000E+00,+7.059055E-05,+2.200000E-02,-8.924597E-06
+1.777000E+00,+7.018797E-05,+2.300000E-02,-8.909899E-06
+1.776000E+00,+7.017639E-05,+2.400000E-02,-8.917102E-06
+1.775000E+00,+7.000934E-05,+2.500000E-02,-8.913758E-06
+1.774000E+00,+7.003298E-05,+2.600000E-02,-8.919419E-06
+1.773000E+00,+7.030187E-05,+2.700000E-02,-8.948507E-06
+1.772000E+00,+7.019522E-05,+2.800000E-02,-8.940552E-06
+1.771000E+00,+6.972158E-05,+2.900000E-02,-8.921123E-06
+1.770000E+00,+7.023090E-05,+3.000000E-02,-8.956744E-06
+1.769000E+00,+6.986547E-05,+3.100000E-02,-8.933735E-06
+1.768000E+00,+6.939001E-05,+3.200000E-02,-8.909764E-06
+1.767000E+00,+6.968034E-05,+3.300000E-02,-8.931738E-06
+1.766000E+00,+6.968366E-05,+3.400000E-02,-8.939012E-06
+1.765000E+00,+7.016799E-05,+3.500000E-02,-8.974775E-06
+1.764000E+00,+6.959214E-05,+3.600000E-02,-8.949316E-06
+1.763000E+00,+7.167536E-05,+3.700000E-02,-9.108670E-06
+1.762000E+00,+7.329767E-05,+3.800000E-02,-9.172389E-06
+1.761000E+00,+7.174237E-05,+3.900000E-02,-9.095689E-06
+1.760000E+00,+7.157683E-05,+4.000000E-02,-9.098863E-06
+1.759000E+00,+7.190287E-05,+4.100000E-02,-9.109241E-06
+1.758000E+00,+7.209742E-05,+4.200000E-02,-9.150287E-06
+1.757000E+00,+7.122380E-05,+4.300000E-02,-9.081195E-06
+1.756000E+00,+7.110859E-05,+4.400000E-02,-9.088378E-06
+1.755000E+00,+7.093033E-05,+4.500000E-02,-9.096181E-06
+1.754000E+00,+7.083382E-05,+4.600000E-02,-9.086330E-06
+1.753000E+00,+7.115108E-05,+4.700000E-02,-9.121575E-06
+1.752000E+00,+7.170525E-05,+4.800000E-02,-9.169057E-06
+1.751000E+00,+7.182678E-05,+4.900000E-02,-9.166983E-06
+1.750000E+00,+7.155923E-05,+5.000000E-02,-9.162659E-06
+1.749000E+00,+7.177926E-05,+5.100000E-02,-9.200144E-06
+1.748000E+00,+7.158488E-05,+5.200000E-02,-9.182254E-06
+1.747000E+00,+7.184328E-05,+5.300000E-02,-9.222379E-06
+1.746000E+00,+7.188504E-05,+5.400000E-02,-9.218039E-06
+1.745000E+00,+7.168538E-05,+5.500000E-02,-9.217169E-06
+1.744000E+00,+7.145899E-05,+5.600000E-02,-9.202898E-06
+1.743000E+00,+7.131464E-05,+5.700000E-02,-9.212460E-06
+1.742000E+00,+7.122987E-05,+5.800000E-02,-9.218144E-06
+1.741000E+00,+7.124957E-05,+5.900000E-02,-9.211022E-06
+1.740000E+00,+7.148773E-05,+6.000000E-02,-9.246396E-06
+1.739000E+00,+7.108356E-05,+6.100000E-02,-9.229491E-06
+1.738000E+00,+7.106381E-05,+6.200000E-02,-9.239819E-06
+1.737000E+00,+7.066142E-05,+6.300000E-02,-9.224608E-06
+1.736000E+00,+7.078053E-05,+6.400000E-02,-9.238447E-06
+1.735000E+00,+7.148265E-05,+6.500000E-02,-9.291783E-06
+1.734000E+00,+7.141658E-05,+6.600000E-02,-9.300828E-06
+1.733000E+00,+7.124830E-05,+6.700000E-02,-9.322230E-06
+1.732000E+00,+7.177719E-05,+6.800000E-02,-9.321118E-06
+1.731000E+00,+7.056414E-05,+6.900000E-02,-9.262657E-06
+1.730000E+00,+7.083206E-05,+7.000000E-02,-9.299004E-06
+1.729000E+00,+7.041893E-05,+7.100000E-02,-9.276625E-06
+1.728000E+00,+7.151716E-05,+7.200000E-02,-9.360201E-06
+1.727000E+00,+7.169149E-05,+7.300000E-02,-9.359358E-06
+1.726000E+00,+7.022650E-05,+7.400000E-02,-9.276346E-06
+1.725000E+00,+7.169609E-05,+7.500000E-02,-9.415031E-06
+1.724000E+00,+7.187550E-05,+7.600000E-02,-9.428017E-06
+1.723000E+00,+7.204501E-05,+7.700000E-02,-9.455172E-06
+1.722000E+00,+7.147932E-05,+7.800000E-02,-9.426259E-06
+1.721000E+00,+7.022105E-05,+7.900000E-02,-9.338814E-06
+1.720000E+00,+6.994152E-05,+8.000000E-02,-9.339482E-06
+1.719000E+00,+7.005674E-05,+8.100000E-02,-9.364789E-06
+1.718000E+00,+7.066195E-05,+8.200000E-02,-9.399606E-06
+1.717000E+00,+7.057501E-05,+8.300000E-02,-9.424723E-06
+1.716000E+00,+7.083554E-05,+8.400000E-02,-9.444097E-06
+1.715000E+00,+7.111995E-05,+8.500000E-02,-9.472146E-06
+1.714000E+00,+7.087902E-05,+8.600000E-02,-9.468074E-06
+1.713000E+00,+7.021263E-05,+8.700000E-02,-9.437800E-06
+1.712000E+00,+6.998079E-05,+8.800000E-02,-9.435415E-06
+1.711000E+00,+7.040647E-05,+8.900000E-02,-9.460025E-06
+1.710000E+00,+7.001030E-05,+9.000000E-02,-9.446156E-06
+1.709000E+00,+7.072290E-05,+9.100000E-02,-9.505069E-06
+1.708000E+00,+7.070630E-05,+9.200000E-02,-9.520369E-06
