VDD,IDD,VREF,IREF
+1.800000E+00,+1.507064E-04,+0.000000E+00,-1.281047E-05
+1.799000E+00,+1.507918E-04,+0.000000E+00,-1.284516E-05
+1.798000E+00,+1.508432E-04,+0.000000E+00,-1.287514E-05
+1.797000E+00,+1.509405E-04,+0.000000E+00,-1.290721E-05
+1.796000E+00,+1.509238E-04,+0.000000E+00,-1.293301E-05
+1.795000E+00,+1.510450E-04,+0.000000E+00,-1.296545E-05
+1.794000E+00,+1.511449E-04,+0.000000E+00,-1.300357E-05
+1.793000E+00,+1.512307E-04,+0.000000E+00,-1.303958E-05
+1.792000E+00,+1.512977E-04,+0.000000E+00,-1.307235E-05
+1.791000E+00,+1.513174E-04,+0.000000E+00,-1.310117E-05
+1.790000E+00,+1.514236E-04,+0.000000E+00,-1.314095E-05
+1.789000E+00,+1.515200E-04,+0.000000E+00,-1.317932E-05
+1.788000E+00,+1.515878E-04,+0.000000E+00,-1.321206E-05
+1.787000E+00,+1.517923E-04,+0.000000E+00,-1.326807E-05
+1.786000E+00,+1.515835E-04,+0.000000E+00,-1.325375E-05
+1.785000E+00,+1.520213E-04,+0.000000E+00,-1.334818E-05
+1.784000E+00,+1.520066E-04,+0.000000E+00,-1.337086E-05
+1.783000E+00,+1.521144E-04,+0.000000E+00,-1.341296E-05
+1.782000E+00,+1.522305E-04,+0.000000E+00,-1.345468E-05
+1.781000E+00,+1.522807E-04,+0.000000E+00,-1.348652E-05
+1.780000E+00,+1.523889E-04,+0.000000E+00,-1.352705E-05
+1.779000E+00,+1.524876E-04,+0.000000E+00,-1.356858E-05
+1.778000E+00,+1.526301E-04,+0.000000E+00,-1.361374E-05
+1.777000E+00,+1.527419E-04,+0.000000E+00,-1.365658E-05
+1.776000E+00,+1.528273E-04,+0.000000E+00,-1.369360E-05
+1.775000E+00,+1.529559E-04,+0.000000E+00,-1.374331E-05
+1.774000E+00,+1.530740E-04,+0.000000E+00,-1.378517E-05
+1.773000E+00,+1.532298E-04,+0.000000E+00,-1.383510E-05
+1.772000E+00,+1.533447E-04,+0.000000E+00,-1.388035E-05
+1.771000E+00,+1.535120E-04,+0.000000E+00,-1.392925E-05
+1.770000E+00,+1.536377E-04,+0.000000E+00,-1.397133E-05
+1.769000E+00,+1.537471E-04,+0.000000E+00,-1.402156E-05
+1.768000E+00,+1.539155E-04,+0.000000E+00,-1.407049E-05
+1.767000E+00,+1.540711E-04,+0.000000E+00,-1.411826E-05
+1.766000E+00,+1.542676E-04,+0.000000E+00,-1.417935E-05
+1.765000E+00,+1.544035E-04,+0.000000E+00,-1.422351E-05
+1.764000E+00,+1.545610E-04,+0.000000E+00,-1.427552E-05
+1.763000E+00,+1.547360E-04,+0.000000E+00,-1.432596E-05
+1.762000E+00,+1.548813E-04,+0.000000E+00,-1.437695E-05
+1.761000E+00,+1.551524E-04,+0.000000E+00,-1.445016E-05
+1.760000E+00,+1.552278E-04,+0.000000E+00,-1.448982E-05
+1.759000E+00,+1.554388E-04,+0.000000E+00,-1.454853E-05
+1.758000E+00,+1.556088E-04,+0.000000E+00,-1.460458E-05
+1.757000E+00,+1.556977E-04,+0.000000E+00,-1.465100E-05
+1.756000E+00,+1.560004E-04,+0.000000E+00,-1.471356E-05
+1.755000E+00,+1.561598E-04,+0.000000E+00,-1.477414E-05
+1.754000E+00,+1.563467E-04,+0.000000E+00,-1.482730E-05
+1.753000E+00,+1.565767E-04,+0.000000E+00,-1.489288E-05
+1.752000E+00,+1.568325E-04,+0.000000E+00,-1.496399E-05
+1.751000E+00,+1.569302E-04,+0.000000E+00,-1.501320E-05
+1.750000E+00,+1.572349E-04,+0.000000E+00,-1.508609E-05
+1.749000E+00,+1.574549E-04,+0.000000E+00,-1.514793E-05
+1.748000E+00,+1.577704E-04,+0.000000E+00,-1.523300E-05
+1.747000E+00,+1.579576E-04,+0.000000E+00,-1.528778E-05
+1.746000E+00,+1.581632E-04,+0.000000E+00,-1.535813E-05
+1.745000E+00,+1.583949E-04,+0.000000E+00,-1.541676E-05
+1.744000E+00,+1.583915E-04,+0.000000E+00,-1.544799E-05
+1.743000E+00,+1.589433E-04,+0.000000E+00,-1.557229E-05
+1.742000E+00,+1.593328E-04,+0.000000E+00,-1.566697E-05
+1.741000E+00,+1.596155E-04,+0.000000E+00,-1.574729E-05
+1.740000E+00,+1.598885E-04,+0.000000E+00,-1.582518E-05
+1.739000E+00,+1.601802E-04,+0.000000E+00,-1.590334E-05
+1.738000E+00,+1.604460E-04,+0.000000E+00,-1.597680E-05
+1.737000E+00,+1.607941E-04,+0.000000E+00,-1.606480E-05
+1.736000E+00,+1.609928E-04,+0.000000E+00,-1.613543E-05
+1.735000E+00,+1.613514E-04,+0.000000E+00,-1.622350E-05
+1.734000E+00,+1.617863E-04,+0.000000E+00,-1.632444E-05
+1.733000E+00,+1.621106E-04,+0.000000E+00,-1.641141E-05
+1.732000E+00,+1.624288E-04,+0.000000E+00,-1.650118E-05
+1.731000E+00,+1.627703E-04,+0.000000E+00,-1.659472E-05
+1.730000E+00,+1.628762E-04,+0.000000E+00,-1.663849E-05
