VDD,IDD,VREF,IREF
+0.000000E+00,+4.119471E-09,+0.000000E+00,+8.935377E-10
+1.000000E-03,-5.319202E-09,+0.000000E+00,+8.935421E-10
+2.000000E-03,-2.808894E-09,+0.000000E+00,+1.295785E-09
+3.000000E-03,-6.624470E-09,+0.000000E+00,+6.924239E-10
+4.000000E-03,-1.571168E-08,+0.000000E+00,+7.929843E-10
+5.000000E-03,-1.189605E-08,+0.000000E+00,+1.195237E-09
+6.000000E-03,-3.411290E-09,+0.000000E+00,+6.421415E-10
+7.000000E-03,-1.101846E-09,+0.000000E+00,-6.177991E-11
+8.000000E-03,+4.069362E-09,+0.000000E+00,+3.907417E-10
+9.000000E-03,+1.107223E-09,+0.000000E+00,+8.935421E-10
+1.000000E-02,-7.076334E-09,+0.000000E+00,+9.941044E-10
+1.100000E-02,-7.427732E-09,+0.000000E+00,+2.398997E-10
+1.200000E-02,-1.440634E-08,+0.000000E+00,+8.432650E-10
+1.300000E-02,-1.038988E-08,+0.000000E+00,+4.913003E-10
+1.400000E-02,-6.775109E-09,+0.000000E+00,+6.421352E-10
+1.500000E-02,-2.206371E-09,+0.000000E+00,+9.438184E-10
+1.600000E-02,+1.810054E-09,+0.000000E+00,+8.432623E-10
+1.700000E-02,+6.529408E-09,+0.000000E+00,+6.924203E-10
+1.800000E-02,-6.624495E-09,+0.000000E+00,+1.295780E-09
+1.900000E-02,-5.419618E-09,+0.000000E+00,+2.398970E-10
+2.000000E-02,-9.636819E-09,+0.000000E+00,+1.547175E-09
+2.100000E-02,-1.310098E-08,+0.000000E+00,+1.446621E-09
+2.200000E-02,-5.118300E-09,+0.000000E+00,+7.929772E-10
+2.300000E-02,-1.854894E-09,+0.000000E+00,+8.432588E-10
+2.400000E-02,-1.152092E-09,+0.000000E+00,+6.421423E-10
+2.500000E-02,+1.508795E-09,+0.000000E+00,+1.446612E-09
+2.600000E-02,-1.905207E-09,+0.000000E+00,+7.427010E-10
+2.700000E-02,-5.118377E-09,+0.000000E+00,+1.094653E-09
+2.800000E-02,-9.235150E-09,+0.000000E+00,+3.907381E-10
+2.900000E-02,-1.390428E-08,+0.000000E+00,+9.941088E-10
+3.000000E-02,-8.030267E-09,+0.000000E+00,+4.912977E-10
+3.100000E-02,-1.139407E-08,+0.000000E+00,+7.929755E-10
+3.200000E-02,+1.360843E-08,+0.000000E+00,+4.913074E-10
+3.300000E-02,+2.914575E-09,+0.000000E+00,+3.907479E-10
