VREF,IREF,VDD,IDD
+0.000000E+00,-1.269784E-05,+1.800000E+00,+1.537915E-04
+1.000000E-03,-1.269874E-05,+1.800000E+00,+1.537685E-04
+2.000000E-03,-1.269075E-05,+1.800000E+00,+1.537698E-04
+3.000000E-03,-1.269383E-05,+1.800000E+00,+1.537841E-04
+4.000000E-03,-1.269091E-05,+1.800000E+00,+1.537628E-04
+5.000000E-03,-1.269195E-05,+1.800000E+00,+1.537655E-04
+6.000000E-03,-1.268754E-05,+1.800000E+00,+1.536823E-04
+7.000000E-03,-1.269383E-05,+1.800000E+00,+1.537530E-04
+8.000000E-03,-1.268791E-05,+1.800000E+00,+1.537150E-04
+9.000000E-03,-1.268126E-05,+1.800000E+00,+1.537967E-04
+1.000000E-02,-1.269561E-05,+1.800000E+00,+1.537564E-04
+1.100000E-02,-1.271158E-05,+1.800000E+00,+1.538872E-04
+1.200000E-02,-1.269940E-05,+1.800000E+00,+1.536950E-04
+1.300000E-02,-1.268347E-05,+1.800000E+00,+1.538507E-04
+1.400000E-02,-1.268579E-05,+1.800000E+00,+1.538018E-04
+1.500000E-02,-1.269127E-05,+1.800000E+00,+1.537658E-04
+1.600000E-02,-1.268263E-05,+1.800000E+00,+1.537456E-04
+1.700000E-02,-1.268842E-05,+1.800000E+00,+1.537912E-04
+1.800000E-02,-1.269552E-05,+1.800000E+00,+1.538175E-04
+1.900000E-02,-1.269203E-05,+1.800000E+00,+1.538545E-04
+2.000000E-02,-1.269391E-05,+1.800000E+00,+1.538323E-04
+2.100000E-02,-1.268937E-05,+1.800000E+00,+1.538109E-04
+2.200000E-02,-1.268592E-05,+1.800000E+00,+1.538220E-04
+2.300000E-02,-1.268396E-05,+1.800000E+00,+1.538089E-04
+2.400000E-02,-1.268071E-05,+1.800000E+00,+1.537764E-04
+2.500000E-02,-1.266831E-05,+1.800000E+00,+1.537415E-04
+2.600000E-02,-1.267211E-05,+1.800000E+00,+1.537440E-04
