VREF,IREF,VDD,IDD
+0.000000E+00,-2.497330E-05,+1.800000E+00,+2.260070E-04
+1.000000E-03,-2.494982E-05,+1.800000E+00,+2.260491E-04
+2.000000E-03,-2.497894E-05,+1.800000E+00,+2.260059E-04
+3.000000E-03,-2.494916E-05,+1.800000E+00,+2.260022E-04
+4.000000E-03,-2.495631E-05,+1.800000E+00,+2.260394E-04
+5.000000E-03,-2.492733E-05,+1.800000E+00,+2.260032E-04
+6.000000E-03,-2.495026E-05,+1.800000E+00,+2.260809E-04
+7.000000E-03,-2.494862E-05,+1.800000E+00,+2.260713E-04
+8.000000E-03,-2.495167E-05,+1.800000E+00,+2.260378E-04
+9.000000E-03,-2.496216E-05,+1.800000E+00,+2.258959E-04
+1.000000E-02,-2.493283E-05,+1.800000E+00,+2.260605E-04
+1.100000E-02,-2.498836E-05,+1.800000E+00,+2.260655E-04
+1.200000E-02,-2.496438E-05,+1.800000E+00,+2.261475E-04
+1.300000E-02,-2.498752E-05,+1.800000E+00,+2.262045E-04
+1.400000E-02,-2.497380E-05,+1.800000E+00,+2.261257E-04
+1.500000E-02,-2.498757E-05,+1.800000E+00,+2.261135E-04
+1.600000E-02,-2.494968E-05,+1.800000E+00,+2.260676E-04
+1.700000E-02,-2.497992E-05,+1.800000E+00,+2.262633E-04
+1.800000E-02,-2.496854E-05,+1.800000E+00,+2.261305E-04
+1.900000E-02,-2.499387E-05,+1.800000E+00,+2.260401E-04
+2.000000E-02,-2.497293E-05,+1.800000E+00,+2.262113E-04
+2.100000E-02,-2.494912E-05,+1.800000E+00,+2.260555E-04
+2.200000E-02,-2.495562E-05,+1.800000E+00,+2.260783E-04
+2.300000E-02,-2.495865E-05,+1.800000E+00,+2.261681E-04
+2.400000E-02,-2.494162E-05,+1.800000E+00,+2.260723E-04
+2.500000E-02,-2.495254E-05,+1.800000E+00,+2.261109E-04
+2.600000E-02,-2.495591E-05,+1.800000E+00,+2.261172E-04
+2.700000E-02,-2.495133E-05,+1.800000E+00,+2.261352E-04
+2.800000E-02,-2.493118E-05,+1.800000E+00,+2.261438E-04
+2.900000E-02,-2.492477E-05,+1.800000E+00,+2.260366E-04
+3.000000E-02,-2.493723E-05,+1.800000E+00,+2.260060E-04
+3.100000E-02,-2.493748E-05,+1.800000E+00,+2.260461E-04
+3.200000E-02,-2.490653E-05,+1.800000E+00,+2.259752E-04
+3.300000E-02,-2.490802E-05,+1.800000E+00,+2.259577E-04
+3.400000E-02,-2.489578E-05,+1.800000E+00,+2.257895E-04
+3.500000E-02,-2.494114E-05,+1.800000E+00,+2.258694E-04
+3.600000E-02,-2.490166E-05,+1.800000E+00,+2.259539E-04
