VDD,IDD,VREF,IREF
+1.800000E+00,+2.039275E-04,+0.000000E+00,-2.048735E-05
+1.799000E+00,+2.037619E-04,+0.000000E+00,-2.047362E-05
+1.798000E+00,+2.038758E-04,+0.000000E+00,-2.049952E-05
+1.797000E+00,+2.038361E-04,+0.000000E+00,-2.049029E-05
+1.796000E+00,+2.035452E-04,+0.000000E+00,-2.046333E-05
+1.795000E+00,+2.033345E-04,+0.000000E+00,-2.050526E-05
+1.794000E+00,+2.036310E-04,+0.000000E+00,-2.049631E-05
+1.793000E+00,+2.033510E-04,+0.000000E+00,-2.052079E-05
+1.792000E+00,+2.033840E-04,+0.000000E+00,-2.052981E-05
+1.791000E+00,+2.032368E-04,+0.000000E+00,-2.052464E-05
+1.790000E+00,+2.033738E-04,+0.000000E+00,-2.055095E-05
+1.789000E+00,+2.033205E-04,+0.000000E+00,-2.053613E-05
+1.788000E+00,+2.032266E-04,+0.000000E+00,-2.056735E-05
+1.787000E+00,+2.033615E-04,+0.000000E+00,-2.060127E-05
+1.786000E+00,+2.030322E-04,+0.000000E+00,-2.058028E-05
+1.785000E+00,+2.028096E-04,+0.000000E+00,-2.057556E-05
+1.784000E+00,+2.030551E-04,+0.000000E+00,-2.057463E-05
+1.783000E+00,+2.028913E-04,+0.000000E+00,-2.057939E-05
+1.782000E+00,+2.027404E-04,+0.000000E+00,-2.060463E-05
+1.781000E+00,+2.029061E-04,+0.000000E+00,-2.059665E-05
+1.780000E+00,+2.027550E-04,+0.000000E+00,-2.060187E-05
+1.779000E+00,+2.025229E-04,+0.000000E+00,-2.059857E-05
+1.778000E+00,+2.026784E-04,+0.000000E+00,-2.062637E-05
+1.777000E+00,+2.025820E-04,+0.000000E+00,-2.065133E-05
+1.776000E+00,+2.025556E-04,+0.000000E+00,-2.065942E-05
+1.775000E+00,+2.024370E-04,+0.000000E+00,-2.065911E-05
+1.774000E+00,+2.023480E-04,+0.000000E+00,-2.064557E-05
+1.773000E+00,+2.022137E-04,+0.000000E+00,-2.066998E-05
+1.772000E+00,+2.021868E-04,+0.000000E+00,-2.067001E-05
+1.771000E+00,+2.020589E-04,+0.000000E+00,-2.064857E-05
+1.770000E+00,+2.021360E-04,+0.000000E+00,-2.066333E-05
+1.769000E+00,+2.021300E-04,+0.000000E+00,-2.067357E-05
+1.768000E+00,+2.020075E-04,+0.000000E+00,-2.069591E-05
+1.767000E+00,+2.019139E-04,+0.000000E+00,-2.066728E-05
+1.766000E+00,+2.018039E-04,+0.000000E+00,-2.069574E-05
+1.765000E+00,+2.017695E-04,+0.000000E+00,-2.072149E-05
+1.764000E+00,+2.016333E-04,+0.000000E+00,-2.072942E-05
+1.763000E+00,+2.016708E-04,+0.000000E+00,-2.071198E-05
+1.762000E+00,+2.014819E-04,+0.000000E+00,-2.069592E-05
+1.761000E+00,+2.015034E-04,+0.000000E+00,-2.071079E-05
+1.760000E+00,+2.014108E-04,+0.000000E+00,-2.072703E-05
+1.759000E+00,+2.013744E-04,+0.000000E+00,-2.073909E-05
+1.758000E+00,+2.013382E-04,+0.000000E+00,-2.077148E-05
+1.757000E+00,+2.014787E-04,+0.000000E+00,-2.078080E-05
+1.756000E+00,+2.015734E-04,+0.000000E+00,-2.083845E-05
