VDD,IDD,VREF,IREF
+0.000000E+00,-1.552960E-09,+0.000000E+00,+2.181478E-10
+1.000000E-03,-4.985807E-10,+0.000000E+00,+2.282224E-10
+2.000000E-03,-1.402320E-09,+0.000000E+00,+2.080763E-10
+3.000000E-03,-9.002434E-10,+0.000000E+00,+1.828914E-10
+4.000000E-03,-9.504539E-10,+0.000000E+00,+1.476348E-10
+5.000000E-03,-1.301906E-09,+0.000000E+00,+1.577075E-10
+6.000000E-03,-7.496226E-10,+0.000000E+00,+1.224516E-10
+7.000000E-03,-6.993996E-10,+0.000000E+00,+9.223167E-11
+8.000000E-03,-7.998384E-10,+0.000000E+00,+1.577078E-10
+9.000000E-03,-1.552960E-09,+0.000000E+00,+1.425976E-10
+1.000000E-02,-1.000670E-09,+0.000000E+00,+1.425977E-10
+1.100000E-02,-1.352136E-09,+0.000000E+00,+1.577085E-10
+1.200000E-02,-1.352108E-09,+0.000000E+00,+1.224525E-10
+1.300000E-02,-1.000677E-09,+0.000000E+00,+1.023051E-10
+1.400000E-02,-1.502750E-09,+0.000000E+00,-3.872103E-11
+1.500000E-02,-8.500258E-10,+0.000000E+00,+7.712220E-11
+1.600000E-02,-1.603169E-09,+0.000000E+00,+6.704848E-11
+1.700000E-02,-1.050882E-09,+0.000000E+00,+3.682865E-11
+1.800000E-02,-2.155452E-09,+0.000000E+00,+3.682932E-11
+1.900000E-02,-1.050877E-09,+0.000000E+00,+2.675549E-11
+2.000000E-02,-1.050870E-09,+0.000000E+00,+1.164546E-11
+2.100000E-02,-7.998260E-10,+0.000000E+00,+3.682843E-11
+2.200000E-02,-8.500400E-10,+0.000000E+00,+1.668277E-11
+2.300000E-02,-1.201496E-09,+0.000000E+00,-2.864764E-11
+2.400000E-02,-1.352124E-09,+0.000000E+00,+3.682976E-11
+2.500000E-02,-5.989982E-10,+0.000000E+00,-4.375722E-11
+2.600000E-02,-6.994174E-10,+0.000000E+00,-3.464673E-12
+2.700000E-02,-1.000664E-09,+0.000000E+00,+1.668166E-11
+2.800000E-02,-4.985754E-10,+0.000000E+00,+1.571854E-12
+2.900000E-02,-5.488001E-10,+0.000000E+00,-3.368361E-11
+3.000000E-02,-1.000673E-09,+0.000000E+00,-2.864753E-11
+3.100000E-02,-5.488019E-10,+0.000000E+00,-5.886724E-11
+3.200000E-02,-9.002488E-10,+0.000000E+00,+6.201151E-11
