VREF,IREF,VDD,IDD
+0.000000E+00,-1.567071E-05,+1.800000E+00,+1.281893E-04
+1.000000E-03,-1.566691E-05,+1.800000E+00,+1.281801E-04
+2.000000E-03,-1.566845E-05,+1.800000E+00,+1.282283E-04
+3.000000E-03,-1.564850E-05,+1.800000E+00,+1.280905E-04
+4.000000E-03,-1.568453E-05,+1.800000E+00,+1.282672E-04
+5.000000E-03,-1.566458E-05,+1.800000E+00,+1.281986E-04
+6.000000E-03,-1.569965E-05,+1.800000E+00,+1.283173E-04
+7.000000E-03,-1.566797E-05,+1.800000E+00,+1.281064E-04
+8.000000E-03,-1.570340E-05,+1.800000E+00,+1.284243E-04
+9.000000E-03,-1.569147E-05,+1.800000E+00,+1.283274E-04
+1.000000E-02,-1.569701E-05,+1.800000E+00,+1.283587E-04
+1.100000E-02,-1.565486E-05,+1.800000E+00,+1.281305E-04
+1.200000E-02,-1.568629E-05,+1.800000E+00,+1.282818E-04
+1.300000E-02,-1.565187E-05,+1.800000E+00,+1.281177E-04
+1.400000E-02,-1.564580E-05,+1.800000E+00,+1.280698E-04
+1.500000E-02,-1.568379E-05,+1.800000E+00,+1.283326E-04
+1.600000E-02,-1.565983E-05,+1.800000E+00,+1.281906E-04
+1.700000E-02,-1.569561E-05,+1.800000E+00,+1.283775E-04
+1.800000E-02,-1.570477E-05,+1.800000E+00,+1.284668E-04
+1.900000E-02,-1.565676E-05,+1.800000E+00,+1.282179E-04
+2.000000E-02,-1.566672E-05,+1.800000E+00,+1.282865E-04
+2.100000E-02,-1.566384E-05,+1.800000E+00,+1.282490E-04
+2.200000E-02,-1.568863E-05,+1.800000E+00,+1.283102E-04
+2.300000E-02,-1.563717E-05,+1.800000E+00,+1.280142E-04
+2.400000E-02,-1.564841E-05,+1.800000E+00,+1.281374E-04
+2.500000E-02,-1.566073E-05,+1.800000E+00,+1.283117E-04
+2.600000E-02,-1.565220E-05,+1.800000E+00,+1.281551E-04
+2.700000E-02,-1.567689E-05,+1.800000E+00,+1.283374E-04
+2.800000E-02,-1.569301E-05,+1.800000E+00,+1.285115E-04
+2.900000E-02,-1.565976E-05,+1.800000E+00,+1.282849E-04
+3.000000E-02,-1.566315E-05,+1.800000E+00,+1.282401E-04
+3.100000E-02,-1.563269E-05,+1.800000E+00,+1.281057E-04
+3.200000E-02,-1.566437E-05,+1.800000E+00,+1.282878E-04
+3.300000E-02,-1.566339E-05,+1.800000E+00,+1.282337E-04
+3.400000E-02,-1.566066E-05,+1.800000E+00,+1.282700E-04
+3.500000E-02,-1.564722E-05,+1.800000E+00,+1.281795E-04
+3.600000E-02,-1.567067E-05,+1.800000E+00,+1.283261E-04
+3.700000E-02,-1.565100E-05,+1.800000E+00,+1.282108E-04
+3.800000E-02,-1.561290E-05,+1.800000E+00,+1.281247E-04
+3.900000E-02,-1.562724E-05,+1.800000E+00,+1.281505E-04
+4.000000E-02,-1.567106E-05,+1.800000E+00,+1.284538E-04
+4.100000E-02,-1.567869E-05,+1.800000E+00,+1.284545E-04
+4.200000E-02,-1.568565E-05,+1.800000E+00,+1.284818E-04
+4.300000E-02,-1.568050E-05,+1.800000E+00,+1.283742E-04
+4.400000E-02,-1.564649E-05,+1.800000E+00,+1.283759E-04
+4.500000E-02,-1.565213E-05,+1.800000E+00,+1.284260E-04
+4.600000E-02,-1.560731E-05,+1.800000E+00,+1.280851E-04
+4.700000E-02,-1.562902E-05,+1.800000E+00,+1.281569E-04
+4.800000E-02,-1.563087E-05,+1.800000E+00,+1.282342E-04
+4.900000E-02,-1.564131E-05,+1.800000E+00,+1.282757E-04
+5.000000E-02,-1.566129E-05,+1.800000E+00,+1.283879E-04
+5.100000E-02,-1.564586E-05,+1.800000E+00,+1.284404E-04
+5.200000E-02,-1.565902E-05,+1.800000E+00,+1.284064E-04
+5.300000E-02,-1.564451E-05,+1.800000E+00,+1.283941E-04
+5.400000E-02,-1.563345E-05,+1.800000E+00,+1.282872E-04
+5.500000E-02,-1.565045E-05,+1.800000E+00,+1.283567E-04
+5.600000E-02,-1.567736E-05,+1.800000E+00,+1.285224E-04
+5.700000E-02,-1.566995E-05,+1.800000E+00,+1.284890E-04
+5.800000E-02,-1.561896E-05,+1.800000E+00,+1.281855E-04
+5.900000E-02,-1.563000E-05,+1.800000E+00,+1.283308E-04
+6.000000E-02,-1.564150E-05,+1.800000E+00,+1.283812E-04
+6.100000E-02,-1.564348E-05,+1.800000E+00,+1.283712E-04
+6.200000E-02,-1.560890E-05,+1.800000E+00,+1.281570E-04
+6.300000E-02,-1.563369E-05,+1.800000E+00,+1.283253E-04
+6.400000E-02,-1.562704E-05,+1.800000E+00,+1.282191E-04
+6.500000E-02,-1.559818E-05,+1.800000E+00,+1.281025E-04
+6.600000E-02,-1.561930E-05,+1.800000E+00,+1.282491E-04
+6.700000E-02,-1.559899E-05,+1.800000E+00,+1.282311E-04
+6.800000E-02,-1.561206E-05,+1.800000E+00,+1.282198E-04
+6.900000E-02,-1.559949E-05,+1.800000E+00,+1.281347E-04
+7.000000E-02,-1.561006E-05,+1.800000E+00,+1.281942E-04
+7.100000E-02,-1.560591E-05,+1.800000E+00,+1.282134E-04
+7.200000E-02,-1.563143E-05,+1.800000E+00,+1.283728E-04
+7.300000E-02,-1.559746E-05,+1.800000E+00,+1.281671E-04
+7.400000E-02,-1.562805E-05,+1.800000E+00,+1.283765E-04
+7.500000E-02,-1.562467E-05,+1.800000E+00,+1.283291E-04
+7.600000E-02,-1.562904E-05,+1.800000E+00,+1.283819E-04
+7.700000E-02,-1.562412E-05,+1.800000E+00,+1.282944E-04
+7.800000E-02,-1.561704E-05,+1.800000E+00,+1.283154E-04
+7.900000E-02,-1.561949E-05,+1.800000E+00,+1.283430E-04
+8.000000E-02,-1.561921E-05,+1.800000E+00,+1.283570E-04
+8.100000E-02,-1.556795E-05,+1.800000E+00,+1.280652E-04
+8.200000E-02,-1.557741E-05,+1.800000E+00,+1.280767E-04
+8.300000E-02,-1.556645E-05,+1.800000E+00,+1.279936E-04
+8.400000E-02,-1.556616E-05,+1.800000E+00,+1.280622E-04
+8.500000E-02,-1.556824E-05,+1.800000E+00,+1.280280E-04
+8.600000E-02,-1.553591E-05,+1.800000E+00,+1.279552E-04
+8.700000E-02,-1.556404E-05,+1.800000E+00,+1.280834E-04
+8.800000E-02,-1.555319E-05,+1.800000E+00,+1.279898E-04
+8.900000E-02,-1.556922E-05,+1.800000E+00,+1.280768E-04
+9.000000E-02,-1.555435E-05,+1.800000E+00,+1.279793E-04
+9.100000E-02,-1.557669E-05,+1.800000E+00,+1.280667E-04
+9.200000E-02,-1.556384E-05,+1.800000E+00,+1.280814E-04
+9.300000E-02,-1.557209E-05,+1.800000E+00,+1.281243E-04
+9.400000E-02,-1.556564E-05,+1.800000E+00,+1.281095E-04
