VDD,IDD,VREF,IREF
+0.000000E+00,-4.114177E-09,+0.000000E+00,-1.949070E-10
+1.000000E-03,-1.152053E-09,+0.000000E+00,-1.243965E-10
+2.000000E-03,+3.065201E-09,+0.000000E+00,-1.848335E-10
+3.000000E-03,+7.081658E-09,+0.000000E+00,-1.898709E-10
+4.000000E-03,+1.144955E-08,+0.000000E+00,-2.351968E-10
+5.000000E-03,+1.536561E-08,+0.000000E+00,-2.100161E-10
+6.000000E-03,+1.837789E-08,+0.000000E+00,-2.754878E-10
+7.000000E-03,+2.329810E-08,+0.000000E+00,-2.351968E-10
+8.000000E-03,+2.761570E-08,+0.000000E+00,-2.855605E-10
+9.000000E-03,+3.133098E-08,+0.000000E+00,-1.797972E-10
+1.000000E-02,+3.524707E-08,+0.000000E+00,-2.503068E-10
+1.100000E-02,+3.956467E-08,+0.000000E+00,-2.754878E-10
+1.200000E-02,+4.398280E-08,+0.000000E+00,-3.258502E-10
+1.300000E-02,+4.840090E-08,+0.000000E+00,-1.898687E-10
+1.400000E-02,+5.266834E-08,+0.000000E+00,-2.805244E-10
+1.500000E-02,+5.628320E-08,+0.000000E+00,-3.560682E-10
+1.600000E-02,+6.019926E-08,+0.000000E+00,-3.611045E-10
+1.700000E-02,+6.401484E-08,+0.000000E+00,-3.560689E-10
+1.800000E-02,+6.788068E-08,+0.000000E+00,-4.013955E-10
+1.900000E-02,+7.234893E-08,+0.000000E+00,-3.560685E-10
+2.000000E-02,+7.757038E-08,+0.000000E+00,-2.603778E-10
+2.100000E-02,+8.058268E-08,+0.000000E+00,-3.359226E-10
+2.200000E-02,+8.464939E-08,+0.000000E+00,-3.409595E-10
+2.300000E-02,+8.911773E-08,+0.000000E+00,-3.812500E-10
+2.400000E-02,+9.308389E-08,+0.000000E+00,-3.359227E-10
+2.500000E-02,+9.664839E-08,+0.000000E+00,-3.258501E-10
+2.600000E-02,+1.016691E-07,+0.000000E+00,-3.661408E-10
+2.700000E-02,+1.055349E-07,+0.000000E+00,-4.870133E-10
+2.800000E-02,+1.089487E-07,+0.000000E+00,-3.560693E-10
+2.900000E-02,+1.127143E-07,+0.000000E+00,-4.970857E-10
+3.000000E-02,+1.168813E-07,+0.000000E+00,-3.459955E-10
+3.100000E-02,+1.210987E-07,+0.000000E+00,-3.913225E-10
+3.200000E-02,+1.247135E-07,+0.000000E+00,-3.762142E-10
+3.300000E-02,+1.301357E-07,+0.000000E+00,-3.963582E-10
+3.400000E-02,+1.336500E-07,+0.000000E+00,-4.920492E-10
