VREF,IREF,VDD,IDD
+0.000000E+00,-2.055544E-05,+1.800000E+00,+2.047251E-04
+1.000000E-03,-2.056736E-05,+1.800000E+00,+2.047429E-04
+2.000000E-03,-2.052278E-05,+1.800000E+00,+2.044604E-04
+3.000000E-03,-2.049527E-05,+1.800000E+00,+2.042654E-04
+4.000000E-03,-2.052413E-05,+1.800000E+00,+2.044023E-04
+5.000000E-03,-2.052649E-05,+1.800000E+00,+2.043970E-04
+6.000000E-03,-2.051395E-05,+1.800000E+00,+2.042989E-04
+7.000000E-03,-2.050071E-05,+1.800000E+00,+2.042033E-04
+8.000000E-03,-2.053635E-05,+1.800000E+00,+2.044211E-04
+9.000000E-03,-2.050692E-05,+1.800000E+00,+2.042412E-04
+1.000000E-02,-2.049604E-05,+1.800000E+00,+2.041805E-04
+1.100000E-02,-2.050404E-05,+1.800000E+00,+2.042031E-04
+1.200000E-02,-2.049382E-05,+1.800000E+00,+2.041251E-04
+1.300000E-02,-2.050279E-05,+1.800000E+00,+2.042103E-04
+1.400000E-02,-2.051112E-05,+1.800000E+00,+2.042520E-04
+1.500000E-02,-2.053679E-05,+1.800000E+00,+2.043937E-04
+1.600000E-02,-2.050817E-05,+1.800000E+00,+2.042189E-04
+1.700000E-02,-2.053457E-05,+1.800000E+00,+2.043620E-04
+1.800000E-02,-2.052516E-05,+1.800000E+00,+2.043174E-04
+1.900000E-02,-2.055317E-05,+1.800000E+00,+2.044940E-04
+2.000000E-02,-2.053790E-05,+1.800000E+00,+2.044146E-04
+2.100000E-02,-2.052106E-05,+1.800000E+00,+2.042982E-04
+2.200000E-02,-2.053665E-05,+1.800000E+00,+2.043460E-04
+2.300000E-02,-2.053238E-05,+1.800000E+00,+2.043486E-04
+2.400000E-02,-2.053067E-05,+1.800000E+00,+2.043490E-04
+2.500000E-02,-2.053552E-05,+1.800000E+00,+2.043757E-04
+2.600000E-02,-2.054740E-05,+1.800000E+00,+2.044350E-04
+2.700000E-02,-2.051976E-05,+1.800000E+00,+2.043194E-04
+2.800000E-02,-2.052709E-05,+1.800000E+00,+2.043354E-04
+2.900000E-02,-2.052968E-05,+1.800000E+00,+2.043745E-04
+3.000000E-02,-2.052647E-05,+1.800000E+00,+2.043513E-04
+3.100000E-02,-2.054032E-05,+1.800000E+00,+2.044371E-04
+3.200000E-02,-2.051932E-05,+1.800000E+00,+2.043227E-04
+3.300000E-02,-2.048630E-05,+1.800000E+00,+2.041413E-04
+3.400000E-02,-2.049659E-05,+1.800000E+00,+2.041972E-04
+3.500000E-02,-2.047593E-05,+1.800000E+00,+2.040748E-04
+3.600000E-02,-2.051201E-05,+1.800000E+00,+2.043054E-04
+3.700000E-02,-2.047592E-05,+1.800000E+00,+2.041196E-04
+3.800000E-02,-2.048917E-05,+1.800000E+00,+2.041668E-04
+3.900000E-02,-2.044026E-05,+1.800000E+00,+2.039173E-04
+4.000000E-02,-2.049694E-05,+1.800000E+00,+2.042415E-04
+4.100000E-02,-2.051799E-05,+1.800000E+00,+2.043483E-04
+4.200000E-02,-2.050237E-05,+1.800000E+00,+2.042713E-04
+4.300000E-02,-2.051474E-05,+1.800000E+00,+2.043314E-04
+4.400000E-02,-2.049696E-05,+1.800000E+00,+2.042732E-04
+4.500000E-02,-2.047994E-05,+1.800000E+00,+2.041981E-04
+4.600000E-02,-2.050432E-05,+1.800000E+00,+2.043412E-04
+4.700000E-02,-2.046949E-05,+1.800000E+00,+2.041195E-04
+4.800000E-02,-2.048523E-05,+1.800000E+00,+2.042223E-04
+4.900000E-02,-2.047816E-05,+1.800000E+00,+2.041997E-04
+5.000000E-02,-2.048537E-05,+1.800000E+00,+2.042386E-04
+5.100000E-02,-2.044458E-05,+1.800000E+00,+2.040207E-04
+5.200000E-02,-2.047371E-05,+1.800000E+00,+2.041761E-04
+5.300000E-02,-2.047782E-05,+1.800000E+00,+2.042189E-04
+5.400000E-02,-2.046686E-05,+1.800000E+00,+2.041509E-04
+5.500000E-02,-2.044375E-05,+1.800000E+00,+2.040248E-04
+5.600000E-02,-2.042924E-05,+1.800000E+00,+2.039645E-04
+5.700000E-02,-2.045533E-05,+1.800000E+00,+2.041243E-04
+5.800000E-02,-2.044569E-05,+1.800000E+00,+2.040778E-04
+5.900000E-02,-2.045868E-05,+1.800000E+00,+2.041541E-04
+6.000000E-02,-2.045764E-05,+1.800000E+00,+2.041511E-04
+6.100000E-02,-2.046703E-05,+1.800000E+00,+2.041977E-04
+6.200000E-02,-2.043261E-05,+1.800000E+00,+2.040043E-04
+6.300000E-02,-2.044649E-05,+1.800000E+00,+2.040836E-04
+6.400000E-02,-2.041124E-05,+1.800000E+00,+2.039013E-04
+6.500000E-02,-2.044518E-05,+1.800000E+00,+2.040918E-04
+6.600000E-02,-2.043013E-05,+1.800000E+00,+2.040020E-04
+6.700000E-02,-2.045683E-05,+1.800000E+00,+2.041780E-04
+6.800000E-02,-2.045477E-05,+1.800000E+00,+2.041554E-04
+6.900000E-02,-2.044704E-05,+1.800000E+00,+2.041328E-04
+7.000000E-02,-2.042434E-05,+1.800000E+00,+2.040144E-04
+7.100000E-02,-2.041114E-05,+1.800000E+00,+2.039454E-04
+7.200000E-02,-2.042973E-05,+1.800000E+00,+2.040489E-04
+7.300000E-02,-2.042572E-05,+1.800000E+00,+2.040393E-04
+7.400000E-02,-2.041535E-05,+1.800000E+00,+2.040065E-04
+7.500000E-02,-2.040918E-05,+1.800000E+00,+2.039502E-04
+7.600000E-02,-2.041192E-05,+1.800000E+00,+2.039668E-04
+7.700000E-02,-2.039892E-05,+1.800000E+00,+2.038927E-04
+7.800000E-02,-2.043122E-05,+1.800000E+00,+2.040871E-04
+7.900000E-02,-2.041199E-05,+1.800000E+00,+2.039724E-04
+8.000000E-02,-2.038078E-05,+1.800000E+00,+2.038048E-04
+8.100000E-02,-2.038084E-05,+1.800000E+00,+2.038132E-04
+8.200000E-02,-2.042042E-05,+1.800000E+00,+2.040352E-04
+8.300000E-02,-2.040201E-05,+1.800000E+00,+2.039372E-04
+8.400000E-02,-2.039003E-05,+1.800000E+00,+2.039171E-04
+8.500000E-02,-2.041220E-05,+1.800000E+00,+2.040209E-04
+8.600000E-02,-2.040823E-05,+1.800000E+00,+2.039946E-04
+8.700000E-02,-2.037087E-05,+1.800000E+00,+2.038054E-04
+8.800000E-02,-2.038281E-05,+1.800000E+00,+2.038798E-04
+8.900000E-02,-2.036620E-05,+1.800000E+00,+2.037733E-04
+9.000000E-02,-2.039925E-05,+1.800000E+00,+2.039604E-04
+9.100000E-02,-2.043015E-05,+1.800000E+00,+2.041654E-04
+9.200000E-02,-2.041651E-05,+1.800000E+00,+2.040660E-04
+9.300000E-02,-2.040919E-05,+1.800000E+00,+2.040590E-04
+9.400000E-02,-2.042001E-05,+1.800000E+00,+2.041103E-04
+9.500000E-02,-2.043456E-05,+1.800000E+00,+2.041897E-04
+9.600000E-02,-2.042720E-05,+1.800000E+00,+2.041638E-04
+9.700000E-02,-2.040308E-05,+1.800000E+00,+2.040307E-04
+9.800000E-02,-2.043451E-05,+1.800000E+00,+2.042294E-04
+9.900000E-02,-2.039919E-05,+1.800000E+00,+2.040222E-04
+1.000000E-01,-2.040864E-05,+1.800000E+00,+2.040957E-04
+1.010000E-01,-2.039798E-05,+1.800000E+00,+2.040334E-04
+1.020000E-01,-2.039360E-05,+1.800000E+00,+2.040324E-04
+1.030000E-01,-2.039859E-05,+1.800000E+00,+2.040699E-04
+1.040000E-01,-2.038437E-05,+1.800000E+00,+2.040066E-04
+1.050000E-01,-2.034950E-05,+1.800000E+00,+2.037983E-04
+1.060000E-01,-2.038466E-05,+1.800000E+00,+2.039903E-04
+1.070000E-01,-2.036428E-05,+1.800000E+00,+2.038772E-04
+1.080000E-01,-2.036542E-05,+1.800000E+00,+2.038959E-04
+1.090000E-01,-2.037054E-05,+1.800000E+00,+2.039390E-04
+1.100000E-01,-2.040764E-05,+1.800000E+00,+2.041478E-04
+1.110000E-01,-2.040723E-05,+1.800000E+00,+2.041223E-04
+1.120000E-01,-2.038421E-05,+1.800000E+00,+2.040290E-04
+1.130000E-01,-2.039117E-05,+1.800000E+00,+2.040464E-04
+1.140000E-01,-2.039288E-05,+1.800000E+00,+2.040669E-04
+1.150000E-01,-2.042505E-05,+1.800000E+00,+2.042777E-04
+1.160000E-01,-2.037561E-05,+1.800000E+00,+2.039786E-04
+1.170000E-01,-2.040594E-05,+1.800000E+00,+2.041636E-04
+1.180000E-01,-2.038816E-05,+1.800000E+00,+2.040885E-04
+1.190000E-01,-2.032686E-05,+1.800000E+00,+2.037410E-04
+1.200000E-01,-2.036923E-05,+1.800000E+00,+2.039752E-04
+1.210000E-01,-2.036123E-05,+1.800000E+00,+2.039282E-04
+1.220000E-01,-2.036590E-05,+1.800000E+00,+2.039886E-04
+1.230000E-01,-2.038960E-05,+1.800000E+00,+2.041297E-04
+1.240000E-01,-2.034098E-05,+1.800000E+00,+2.038431E-04
+1.250000E-01,-2.035343E-05,+1.800000E+00,+2.039388E-04
+1.260000E-01,-2.033214E-05,+1.800000E+00,+2.038012E-04
+1.270000E-01,-2.035571E-05,+1.800000E+00,+2.039470E-04
+1.280000E-01,-2.036179E-05,+1.800000E+00,+2.039929E-04
+1.290000E-01,-2.035779E-05,+1.800000E+00,+2.039676E-04
+1.300000E-01,-2.035520E-05,+1.800000E+00,+2.039757E-04
+1.310000E-01,-2.034675E-05,+1.800000E+00,+2.039001E-04
+1.320000E-01,-2.032460E-05,+1.800000E+00,+2.038085E-04
+1.330000E-01,-2.031738E-05,+1.800000E+00,+2.037683E-04
+1.340000E-01,-2.034156E-05,+1.800000E+00,+2.039354E-04
+1.350000E-01,-2.034158E-05,+1.800000E+00,+2.039320E-04
+1.360000E-01,-2.036385E-05,+1.800000E+00,+2.040571E-04
+1.370000E-01,-2.036047E-05,+1.800000E+00,+2.040194E-04
+1.380000E-01,-2.034477E-05,+1.800000E+00,+2.039635E-04
+1.390000E-01,-2.036279E-05,+1.800000E+00,+2.040569E-04
+1.400000E-01,-2.036595E-05,+1.800000E+00,+2.040882E-04
+1.410000E-01,-2.035735E-05,+1.800000E+00,+2.040479E-04
+1.420000E-01,-2.035300E-05,+1.800000E+00,+2.040382E-04
+1.430000E-01,-2.036137E-05,+1.800000E+00,+2.040753E-04
+1.440000E-01,-2.033511E-05,+1.800000E+00,+2.039356E-04
+1.450000E-01,-2.034376E-05,+1.800000E+00,+2.040054E-04
+1.460000E-01,-2.034479E-05,+1.800000E+00,+2.040153E-04
+1.470000E-01,-2.030239E-05,+1.800000E+00,+2.037830E-04
+1.480000E-01,-2.030603E-05,+1.800000E+00,+2.038040E-04
+1.490000E-01,-2.031284E-05,+1.800000E+00,+2.038612E-04
+1.500000E-01,-2.034533E-05,+1.800000E+00,+2.040381E-04
+1.510000E-01,-2.034553E-05,+1.800000E+00,+2.040490E-04
+1.520000E-01,-2.033085E-05,+1.800000E+00,+2.039577E-04
+1.530000E-01,-2.032683E-05,+1.800000E+00,+2.039694E-04
+1.540000E-01,-2.031557E-05,+1.800000E+00,+2.039155E-04
+1.550000E-01,-2.033872E-05,+1.800000E+00,+2.040473E-04
+1.560000E-01,-2.034535E-05,+1.800000E+00,+2.040891E-04
+1.570000E-01,-2.034002E-05,+1.800000E+00,+2.040592E-04
+1.580000E-01,-2.030429E-05,+1.800000E+00,+2.038709E-04
+1.590000E-01,-2.030804E-05,+1.800000E+00,+2.038918E-04
+1.600000E-01,-2.034030E-05,+1.800000E+00,+2.040738E-04
+1.610000E-01,-2.032073E-05,+1.800000E+00,+2.039627E-04
+1.620000E-01,-2.034010E-05,+1.800000E+00,+2.040949E-04
+1.630000E-01,-2.033661E-05,+1.800000E+00,+2.040614E-04
+1.640000E-01,-2.033241E-05,+1.800000E+00,+2.040819E-04
+1.650000E-01,-2.029294E-05,+1.800000E+00,+2.038306E-04
+1.660000E-01,-2.030918E-05,+1.800000E+00,+2.039410E-04
+1.670000E-01,-2.033203E-05,+1.800000E+00,+2.040806E-04
+1.680000E-01,-2.033929E-05,+1.800000E+00,+2.041298E-04
+1.690000E-01,-2.032252E-05,+1.800000E+00,+2.040500E-04
+1.700000E-01,-2.030934E-05,+1.800000E+00,+2.039441E-04
+1.710000E-01,-2.028562E-05,+1.800000E+00,+2.038345E-04
+1.720000E-01,-2.031135E-05,+1.800000E+00,+2.040092E-04
+1.730000E-01,-2.029027E-05,+1.800000E+00,+2.038890E-04
+1.740000E-01,-2.029141E-05,+1.800000E+00,+2.038949E-04
+1.750000E-01,-2.030696E-05,+1.800000E+00,+2.039991E-04
+1.760000E-01,-2.032050E-05,+1.800000E+00,+2.040826E-04
+1.770000E-01,-2.028002E-05,+1.800000E+00,+2.038601E-04
+1.780000E-01,-2.029248E-05,+1.800000E+00,+2.039224E-04
+1.790000E-01,-2.029891E-05,+1.800000E+00,+2.039786E-04
+1.800000E-01,-2.030692E-05,+1.800000E+00,+2.040444E-04
+1.810000E-01,-2.029378E-05,+1.800000E+00,+2.039635E-04
+1.820000E-01,-2.029064E-05,+1.800000E+00,+2.039428E-04
+1.830000E-01,-2.024681E-05,+1.800000E+00,+2.037027E-04
+1.840000E-01,-2.027031E-05,+1.800000E+00,+2.038354E-04
+1.850000E-01,-2.028254E-05,+1.800000E+00,+2.039219E-04
+1.860000E-01,-2.025280E-05,+1.800000E+00,+2.037830E-04
+1.870000E-01,-2.027524E-05,+1.800000E+00,+2.039004E-04
+1.880000E-01,-2.025118E-05,+1.800000E+00,+2.037712E-04
+1.890000E-01,-2.023166E-05,+1.800000E+00,+2.036614E-04
+1.900000E-01,-2.023899E-05,+1.800000E+00,+2.036912E-04
+1.910000E-01,-2.023831E-05,+1.800000E+00,+2.036667E-04
+1.920000E-01,-2.022262E-05,+1.800000E+00,+2.035998E-04
+1.930000E-01,-2.025067E-05,+1.800000E+00,+2.037684E-04
+1.940000E-01,-2.021299E-05,+1.800000E+00,+2.035641E-04
+1.950000E-01,-2.024004E-05,+1.800000E+00,+2.037149E-04
+1.960000E-01,-2.022019E-05,+1.800000E+00,+2.036242E-04
+1.970000E-01,-2.024794E-05,+1.800000E+00,+2.037742E-04
+1.980000E-01,-2.023122E-05,+1.800000E+00,+2.037009E-04
+1.990000E-01,-2.024645E-05,+1.800000E+00,+2.037914E-04
+2.000000E-01,-2.022430E-05,+1.800000E+00,+2.036809E-04
+2.010000E-01,-2.022135E-05,+1.800000E+00,+2.036268E-04
+2.020000E-01,-2.023044E-05,+1.800000E+00,+2.036998E-04
+2.030000E-01,-2.022564E-05,+1.800000E+00,+2.036850E-04
+2.040000E-01,-2.024431E-05,+1.800000E+00,+2.038096E-04
+2.050000E-01,-2.019665E-05,+1.800000E+00,+2.035759E-04
+2.060000E-01,-2.021350E-05,+1.800000E+00,+2.036586E-04
+2.070000E-01,-2.020248E-05,+1.800000E+00,+2.035955E-04
+2.080000E-01,-2.019004E-05,+1.800000E+00,+2.035381E-04
+2.090000E-01,-2.020033E-05,+1.800000E+00,+2.036134E-04
+2.100000E-01,-2.020041E-05,+1.800000E+00,+2.036117E-04
+2.110000E-01,-2.020789E-05,+1.800000E+00,+2.036667E-04
+2.120000E-01,-2.018287E-05,+1.800000E+00,+2.035210E-04
+2.130000E-01,-2.020603E-05,+1.800000E+00,+2.036635E-04
+2.140000E-01,-2.021304E-05,+1.800000E+00,+2.037052E-04
+2.150000E-01,-2.023192E-05,+1.800000E+00,+2.038382E-04
+2.160000E-01,-2.020309E-05,+1.800000E+00,+2.036792E-04
+2.170000E-01,-2.019829E-05,+1.800000E+00,+2.036401E-04
+2.180000E-01,-2.021701E-05,+1.800000E+00,+2.037717E-04
+2.190000E-01,-2.022394E-05,+1.800000E+00,+2.037670E-04
+2.200000E-01,-2.025661E-05,+1.800000E+00,+2.039843E-04
+2.210000E-01,-2.019476E-05,+1.800000E+00,+2.036653E-04
+2.220000E-01,-2.021080E-05,+1.800000E+00,+2.037634E-04
+2.230000E-01,-2.022241E-05,+1.800000E+00,+2.037943E-04
+2.240000E-01,-2.023604E-05,+1.800000E+00,+2.038794E-04
