VDD,IDD,VREF,IREF
+1.800000E+00,+2.050294E-04,+0.000000E+00,-2.059725E-05
+1.799000E+00,+2.048163E-04,+0.000000E+00,-2.056836E-05
+1.798000E+00,+2.045099E-04,+0.000000E+00,-2.058216E-05
+1.797000E+00,+2.044860E-04,+0.000000E+00,-2.058012E-05
+1.796000E+00,+2.041625E-04,+0.000000E+00,-2.059032E-05
+1.795000E+00,+2.041180E-04,+0.000000E+00,-2.053641E-05
+1.794000E+00,+2.041795E-04,+0.000000E+00,-2.056601E-05
+1.793000E+00,+2.041061E-04,+0.000000E+00,-2.053420E-05
+1.792000E+00,+2.039144E-04,+0.000000E+00,-2.058374E-05
+1.791000E+00,+2.039355E-04,+0.000000E+00,-2.057740E-05
+1.790000E+00,+2.038166E-04,+0.000000E+00,-2.058381E-05
+1.789000E+00,+2.037540E-04,+0.000000E+00,-2.062183E-05
+1.788000E+00,+2.037025E-04,+0.000000E+00,-2.058962E-05
+1.787000E+00,+2.037624E-04,+0.000000E+00,-2.061519E-05
+1.786000E+00,+2.037553E-04,+0.000000E+00,-2.066110E-05
+1.785000E+00,+2.037117E-04,+0.000000E+00,-2.066170E-05
+1.784000E+00,+2.036233E-04,+0.000000E+00,-2.067912E-05
+1.783000E+00,+2.036720E-04,+0.000000E+00,-2.066230E-05
+1.782000E+00,+2.035544E-04,+0.000000E+00,-2.070591E-05
+1.781000E+00,+2.034573E-04,+0.000000E+00,-2.072266E-05
+1.780000E+00,+2.035176E-04,+0.000000E+00,-2.068423E-05
+1.779000E+00,+2.032892E-04,+0.000000E+00,-2.070512E-05
+1.778000E+00,+2.033773E-04,+0.000000E+00,-2.071744E-05
+1.777000E+00,+2.032953E-04,+0.000000E+00,-2.075013E-05
+1.776000E+00,+2.030079E-04,+0.000000E+00,-2.075503E-05
+1.775000E+00,+2.029781E-04,+0.000000E+00,-2.074915E-05
+1.774000E+00,+2.029353E-04,+0.000000E+00,-2.075244E-05
+1.773000E+00,+2.027843E-04,+0.000000E+00,-2.075646E-05
+1.772000E+00,+2.027764E-04,+0.000000E+00,-2.076313E-05
+1.771000E+00,+2.028717E-04,+0.000000E+00,-2.075558E-05
+1.770000E+00,+2.026488E-04,+0.000000E+00,-2.079184E-05
+1.769000E+00,+2.023536E-04,+0.000000E+00,-2.077895E-05
+1.768000E+00,+2.026077E-04,+0.000000E+00,-2.075858E-05
+1.767000E+00,+2.026605E-04,+0.000000E+00,-2.078897E-05
+1.766000E+00,+2.026145E-04,+0.000000E+00,-2.082919E-05
+1.765000E+00,+2.025793E-04,+0.000000E+00,-2.084902E-05
+1.764000E+00,+2.025700E-04,+0.000000E+00,-2.085529E-05
+1.763000E+00,+2.022446E-04,+0.000000E+00,-2.087384E-05
+1.762000E+00,+2.024064E-04,+0.000000E+00,-2.087357E-05
+1.761000E+00,+2.022949E-04,+0.000000E+00,-2.088016E-05
+1.760000E+00,+2.021771E-04,+0.000000E+00,-2.088046E-05
+1.759000E+00,+2.021027E-04,+0.000000E+00,-2.087582E-05
+1.758000E+00,+2.020803E-04,+0.000000E+00,-2.089448E-05
+1.757000E+00,+2.019884E-04,+0.000000E+00,-2.088285E-05
+1.756000E+00,+2.017592E-04,+0.000000E+00,-2.088084E-05
+1.755000E+00,+2.017471E-04,+0.000000E+00,-2.090437E-05
+1.754000E+00,+2.016551E-04,+0.000000E+00,-2.088002E-05
+1.753000E+00,+2.015147E-04,+0.000000E+00,-2.089849E-05
+1.752000E+00,+2.015455E-04,+0.000000E+00,-2.093615E-05
+1.751000E+00,+2.014641E-04,+0.000000E+00,-2.094528E-05
+1.750000E+00,+2.013409E-04,+0.000000E+00,-2.093155E-05
+1.749000E+00,+2.013707E-04,+0.000000E+00,-2.093283E-05
+1.748000E+00,+2.013783E-04,+0.000000E+00,-2.095245E-05
+1.747000E+00,+2.012284E-04,+0.000000E+00,-2.096909E-05
+1.746000E+00,+2.011644E-04,+0.000000E+00,-2.095341E-05
+1.745000E+00,+2.010569E-04,+0.000000E+00,-2.097588E-05
+1.744000E+00,+2.010150E-04,+0.000000E+00,-2.098449E-05
+1.743000E+00,+2.007819E-04,+0.000000E+00,-2.100398E-05
+1.742000E+00,+2.008826E-04,+0.000000E+00,-2.099201E-05
+1.741000E+00,+2.006122E-04,+0.000000E+00,-2.097856E-05
+1.740000E+00,+2.007237E-04,+0.000000E+00,-2.097095E-05
+1.739000E+00,+2.006835E-04,+0.000000E+00,-2.099915E-05
+1.738000E+00,+2.004835E-04,+0.000000E+00,-2.103081E-05
+1.737000E+00,+2.003763E-04,+0.000000E+00,-2.102172E-05
+1.736000E+00,+2.003966E-04,+0.000000E+00,-2.104204E-05
+1.735000E+00,+2.003384E-04,+0.000000E+00,-2.101018E-05
+1.734000E+00,+2.002037E-04,+0.000000E+00,-2.103932E-05
+1.733000E+00,+1.998883E-04,+0.000000E+00,-2.104411E-05
+1.732000E+00,+1.999410E-04,+0.000000E+00,-2.101714E-05
+1.731000E+00,+1.997707E-04,+0.000000E+00,-2.105482E-05
+1.730000E+00,+1.997777E-04,+0.000000E+00,-2.104533E-05
+1.729000E+00,+1.998441E-04,+0.000000E+00,-2.107571E-05
+1.728000E+00,+1.995619E-04,+0.000000E+00,-2.107282E-05
+1.727000E+00,+1.995912E-04,+0.000000E+00,-2.108646E-05
+1.726000E+00,+1.995862E-04,+0.000000E+00,-2.111701E-05
+1.725000E+00,+1.994829E-04,+0.000000E+00,-2.110966E-05
+1.724000E+00,+1.993960E-04,+0.000000E+00,-2.111275E-05
+1.723000E+00,+1.993002E-04,+0.000000E+00,-2.110916E-05
+1.722000E+00,+1.993265E-04,+0.000000E+00,-2.112463E-05
+1.721000E+00,+1.992851E-04,+0.000000E+00,-2.115572E-05
+1.720000E+00,+1.992830E-04,+0.000000E+00,-2.115292E-05
+1.719000E+00,+1.991791E-04,+0.000000E+00,-2.116206E-05
+1.718000E+00,+1.989710E-04,+0.000000E+00,-2.117430E-05
+1.717000E+00,+1.987575E-04,+0.000000E+00,-2.115677E-05
+1.716000E+00,+1.987603E-04,+0.000000E+00,-2.117670E-05
