VREF,IREF,VDD,IDD
+0.000000E+00,-1.533329E-05,+1.800000E+00,+1.719928E-04
+1.000000E-03,-1.533737E-05,+1.800000E+00,+1.720864E-04
+2.000000E-03,-1.532176E-05,+1.800000E+00,+1.720782E-04
+3.000000E-03,-1.529233E-05,+1.800000E+00,+1.718984E-04
+4.000000E-03,-1.530504E-05,+1.800000E+00,+1.718741E-04
+5.000000E-03,-1.529983E-05,+1.800000E+00,+1.718593E-04
+6.000000E-03,-1.531078E-05,+1.800000E+00,+1.718846E-04
+7.000000E-03,-1.531747E-05,+1.800000E+00,+1.718980E-04
+8.000000E-03,-1.528244E-05,+1.800000E+00,+1.719960E-04
+9.000000E-03,-1.529032E-05,+1.800000E+00,+1.718279E-04
+1.000000E-02,-1.529181E-05,+1.800000E+00,+1.718699E-04
+1.100000E-02,-1.530833E-05,+1.800000E+00,+1.718588E-04
+1.200000E-02,-1.531633E-05,+1.800000E+00,+1.719636E-04
+1.300000E-02,-1.530181E-05,+1.800000E+00,+1.719071E-04
+1.400000E-02,-1.530560E-05,+1.800000E+00,+1.719094E-04
+1.500000E-02,-1.529356E-05,+1.800000E+00,+1.719583E-04
+1.600000E-02,-1.529783E-05,+1.800000E+00,+1.718850E-04
+1.700000E-02,-1.531393E-05,+1.800000E+00,+1.718986E-04
+1.800000E-02,-1.529487E-05,+1.800000E+00,+1.719000E-04
+1.900000E-02,-1.528856E-05,+1.800000E+00,+1.719148E-04
+2.000000E-02,-1.528721E-05,+1.800000E+00,+1.718948E-04
+2.100000E-02,-1.528011E-05,+1.800000E+00,+1.718752E-04
+2.200000E-02,-1.528326E-05,+1.800000E+00,+1.718695E-04
+2.300000E-02,-1.529663E-05,+1.800000E+00,+1.719406E-04
+2.400000E-02,-1.526992E-05,+1.800000E+00,+1.719271E-04
+2.500000E-02,-1.528839E-05,+1.800000E+00,+1.718772E-04
+2.600000E-02,-1.527984E-05,+1.800000E+00,+1.718984E-04
+2.700000E-02,-1.528469E-05,+1.800000E+00,+1.718895E-04
+2.800000E-02,-1.528121E-05,+1.800000E+00,+1.717997E-04
+2.900000E-02,-1.526707E-05,+1.800000E+00,+1.719481E-04
+3.000000E-02,-1.526380E-05,+1.800000E+00,+1.717926E-04
+3.100000E-02,-1.527185E-05,+1.800000E+00,+1.719414E-04
+3.200000E-02,-1.526916E-05,+1.800000E+00,+1.718233E-04
+3.300000E-02,-1.527488E-05,+1.800000E+00,+1.718327E-04
+3.400000E-02,-1.525501E-05,+1.800000E+00,+1.717947E-04
+3.500000E-02,-1.524875E-05,+1.800000E+00,+1.718386E-04
+3.600000E-02,-1.525449E-05,+1.800000E+00,+1.717627E-04
+3.700000E-02,-1.524776E-05,+1.800000E+00,+1.717812E-04
+3.800000E-02,-1.525788E-05,+1.800000E+00,+1.717366E-04
+3.900000E-02,-1.524239E-05,+1.800000E+00,+1.718087E-04
+4.000000E-02,-1.525775E-05,+1.800000E+00,+1.717889E-04
+4.100000E-02,-1.525689E-05,+1.800000E+00,+1.718182E-04
+4.200000E-02,-1.525469E-05,+1.800000E+00,+1.719123E-04
+4.300000E-02,-1.526943E-05,+1.800000E+00,+1.717849E-04
+4.400000E-02,-1.526122E-05,+1.800000E+00,+1.717897E-04
+4.500000E-02,-1.526154E-05,+1.800000E+00,+1.718389E-04
+4.600000E-02,-1.526144E-05,+1.800000E+00,+1.718708E-04
+4.700000E-02,-1.524362E-05,+1.800000E+00,+1.718012E-04
+4.800000E-02,-1.526634E-05,+1.800000E+00,+1.717509E-04
+4.900000E-02,-1.523446E-05,+1.800000E+00,+1.718976E-04
+5.000000E-02,-1.525409E-05,+1.800000E+00,+1.718029E-04
+5.100000E-02,-1.525379E-05,+1.800000E+00,+1.717494E-04
+5.200000E-02,-1.524350E-05,+1.800000E+00,+1.717289E-04
+5.300000E-02,-1.524857E-05,+1.800000E+00,+1.718686E-04
+5.400000E-02,-1.523138E-05,+1.800000E+00,+1.717860E-04
+5.500000E-02,-1.525300E-05,+1.800000E+00,+1.718133E-04
+5.600000E-02,-1.525668E-05,+1.800000E+00,+1.718818E-04
+5.700000E-02,-1.525145E-05,+1.800000E+00,+1.718403E-04
+5.800000E-02,-1.522836E-05,+1.800000E+00,+1.718383E-04
+5.900000E-02,-1.523508E-05,+1.800000E+00,+1.717602E-04
+6.000000E-02,-1.524591E-05,+1.800000E+00,+1.717377E-04
+6.100000E-02,-1.524899E-05,+1.800000E+00,+1.718084E-04
+6.200000E-02,-1.523040E-05,+1.800000E+00,+1.718814E-04
+6.300000E-02,-1.523360E-05,+1.800000E+00,+1.717970E-04
+6.400000E-02,-1.522384E-05,+1.800000E+00,+1.717344E-04
+6.500000E-02,-1.524215E-05,+1.800000E+00,+1.716729E-04
+6.600000E-02,-1.523124E-05,+1.800000E+00,+1.716932E-04
+6.700000E-02,-1.522496E-05,+1.800000E+00,+1.718511E-04
+6.800000E-02,-1.520758E-05,+1.800000E+00,+1.716442E-04
+6.900000E-02,-1.523656E-05,+1.800000E+00,+1.717647E-04
+7.000000E-02,-1.522517E-05,+1.800000E+00,+1.717789E-04
+7.100000E-02,-1.522225E-05,+1.800000E+00,+1.717846E-04
+7.200000E-02,-1.520961E-05,+1.800000E+00,+1.717861E-04
+7.300000E-02,-1.522023E-05,+1.800000E+00,+1.718302E-04
+7.400000E-02,-1.522756E-05,+1.800000E+00,+1.717700E-04
+7.500000E-02,-1.523364E-05,+1.800000E+00,+1.718172E-04
+7.600000E-02,-1.521970E-05,+1.800000E+00,+1.718208E-04
+7.700000E-02,-1.523495E-05,+1.800000E+00,+1.717413E-04
+7.800000E-02,-1.521677E-05,+1.800000E+00,+1.718691E-04
+7.900000E-02,-1.520462E-05,+1.800000E+00,+1.717783E-04
+8.000000E-02,-1.521642E-05,+1.800000E+00,+1.716246E-04
+8.100000E-02,-1.520065E-05,+1.800000E+00,+1.716306E-04
+8.200000E-02,-1.521817E-05,+1.800000E+00,+1.716037E-04
+8.300000E-02,-1.519202E-05,+1.800000E+00,+1.716017E-04
+8.400000E-02,-1.520028E-05,+1.800000E+00,+1.715938E-04
+8.500000E-02,-1.519542E-05,+1.800000E+00,+1.717079E-04
+8.600000E-02,-1.518266E-05,+1.800000E+00,+1.715207E-04
+8.700000E-02,-1.517488E-05,+1.800000E+00,+1.715479E-04
+8.800000E-02,-1.516755E-05,+1.800000E+00,+1.715159E-04
+8.900000E-02,-1.518193E-05,+1.800000E+00,+1.716335E-04
+9.000000E-02,-1.519969E-05,+1.800000E+00,+1.715580E-04
+9.100000E-02,-1.517815E-05,+1.800000E+00,+1.715836E-04
+9.200000E-02,-1.518149E-05,+1.800000E+00,+1.715415E-04
+9.300000E-02,-1.521106E-05,+1.800000E+00,+1.716081E-04
+9.400000E-02,-1.519147E-05,+1.800000E+00,+1.716107E-04
