VREF,IREF,VDD,IDD
+0.000000E+00,-2.506839E-05,+1.800000E+00,+2.266143E-04
+1.000000E-03,-2.511488E-05,+1.800000E+00,+2.264034E-04
+2.000000E-03,-2.510236E-05,+1.800000E+00,+2.265107E-04
+3.000000E-03,-2.507253E-05,+1.800000E+00,+2.264876E-04
+4.000000E-03,-2.507211E-05,+1.800000E+00,+2.264483E-04
+5.000000E-03,-2.509658E-05,+1.800000E+00,+2.263677E-04
+6.000000E-03,-2.505545E-05,+1.800000E+00,+2.265079E-04
+7.000000E-03,-2.508443E-05,+1.800000E+00,+2.264974E-04
+8.000000E-03,-2.511947E-05,+1.800000E+00,+2.264973E-04
+9.000000E-03,-2.510526E-05,+1.800000E+00,+2.264606E-04
+1.000000E-02,-2.508938E-05,+1.800000E+00,+2.266077E-04
+1.100000E-02,-2.505329E-05,+1.800000E+00,+2.266234E-04
+1.200000E-02,-2.504162E-05,+1.800000E+00,+2.264002E-04
+1.300000E-02,-2.506023E-05,+1.800000E+00,+2.263701E-04
+1.400000E-02,-2.506286E-05,+1.800000E+00,+2.265639E-04
+1.500000E-02,-2.508458E-05,+1.800000E+00,+2.264103E-04
+1.600000E-02,-2.508704E-05,+1.800000E+00,+2.263972E-04
+1.700000E-02,-2.508454E-05,+1.800000E+00,+2.265509E-04
+1.800000E-02,-2.506353E-05,+1.800000E+00,+2.264350E-04
+1.900000E-02,-2.507766E-05,+1.800000E+00,+2.265270E-04
+2.000000E-02,-2.507185E-05,+1.800000E+00,+2.264437E-04
+2.100000E-02,-2.506561E-05,+1.800000E+00,+2.264473E-04
+2.200000E-02,-2.506431E-05,+1.800000E+00,+2.264792E-04
+2.300000E-02,-2.508317E-05,+1.800000E+00,+2.265486E-04
+2.400000E-02,-2.508042E-05,+1.800000E+00,+2.265104E-04
+2.500000E-02,-2.503201E-05,+1.800000E+00,+2.266102E-04
+2.600000E-02,-2.506451E-05,+1.800000E+00,+2.263962E-04
+2.700000E-02,-2.503123E-05,+1.800000E+00,+2.263895E-04
+2.800000E-02,-2.505794E-05,+1.800000E+00,+2.263560E-04
+2.900000E-02,-2.500816E-05,+1.800000E+00,+2.264197E-04
+3.000000E-02,-2.502104E-05,+1.800000E+00,+2.263432E-04
+3.100000E-02,-2.502197E-05,+1.800000E+00,+2.263139E-04
+3.200000E-02,-2.504562E-05,+1.800000E+00,+2.263799E-04
+3.300000E-02,-2.504810E-05,+1.800000E+00,+2.263701E-04
+3.400000E-02,-2.501739E-05,+1.800000E+00,+2.263730E-04
+3.500000E-02,-2.502843E-05,+1.800000E+00,+2.263661E-04
+3.600000E-02,-2.504912E-05,+1.800000E+00,+2.264320E-04
+3.700000E-02,-2.501987E-05,+1.800000E+00,+2.263509E-04
+3.800000E-02,-2.504181E-05,+1.800000E+00,+2.263994E-04
+3.900000E-02,-2.500230E-05,+1.800000E+00,+2.264267E-04
+4.000000E-02,-2.502178E-05,+1.800000E+00,+2.263291E-04
+4.100000E-02,-2.499920E-05,+1.800000E+00,+2.263536E-04
+4.200000E-02,-2.499183E-05,+1.800000E+00,+2.263613E-04
+4.300000E-02,-2.500234E-05,+1.800000E+00,+2.263207E-04
+4.400000E-02,-2.502748E-05,+1.800000E+00,+2.263565E-04
+4.500000E-02,-2.500846E-05,+1.800000E+00,+2.263912E-04
+4.600000E-02,-2.501365E-05,+1.800000E+00,+2.263916E-04
+4.700000E-02,-2.503198E-05,+1.800000E+00,+2.263519E-04
+4.800000E-02,-2.499261E-05,+1.800000E+00,+2.263304E-04
+4.900000E-02,-2.498588E-05,+1.800000E+00,+2.262924E-04
+5.000000E-02,-2.500306E-05,+1.800000E+00,+2.263097E-04
+5.100000E-02,-2.498082E-05,+1.800000E+00,+2.263626E-04
+5.200000E-02,-2.498863E-05,+1.800000E+00,+2.262400E-04
+5.300000E-02,-2.497653E-05,+1.800000E+00,+2.262606E-04
+5.400000E-02,-2.498922E-05,+1.800000E+00,+2.262493E-04
+5.500000E-02,-2.498841E-05,+1.800000E+00,+2.263223E-04
+5.600000E-02,-2.500209E-05,+1.800000E+00,+2.264147E-04
+5.700000E-02,-2.501302E-05,+1.800000E+00,+2.262150E-04
+5.800000E-02,-2.498043E-05,+1.800000E+00,+2.263024E-04
+5.900000E-02,-2.497664E-05,+1.800000E+00,+2.264336E-04
+6.000000E-02,-2.499052E-05,+1.800000E+00,+2.262747E-04
+6.100000E-02,-2.497933E-05,+1.800000E+00,+2.263761E-04
+6.200000E-02,-2.499642E-05,+1.800000E+00,+2.263186E-04
+6.300000E-02,-2.496409E-05,+1.800000E+00,+2.263680E-04
+6.400000E-02,-2.497808E-05,+1.800000E+00,+2.262168E-04
+6.500000E-02,-2.501983E-05,+1.800000E+00,+2.262127E-04
+6.600000E-02,-2.496635E-05,+1.800000E+00,+2.263903E-04
+6.700000E-02,-2.497470E-05,+1.800000E+00,+2.262716E-04
