VDD,IDD,VREF,IREF
+0.000000E+00,-7.628546E-09,+0.000000E+00,-4.880951E-11
+1.000000E-03,-5.519912E-09,+1.000000E-03,-2.866185E-11
+2.000000E-03,+1.358314E-09,+2.000000E-03,+7.710599E-11
+3.000000E-03,-4.214543E-09,+3.000000E-03,+8.214374E-11
+4.000000E-03,-6.875451E-09,+4.000000E-03,+7.710654E-11
+5.000000E-03,-7.377516E-09,+5.000000E-03,+3.681377E-11
+6.000000E-03,-1.375365E-08,+6.000000E-03,+8.214129E-11
+7.000000E-03,-8.130607E-09,+7.000000E-03,+7.710643E-11
+8.000000E-03,-4.766826E-09,+8.000000E-03,+9.725332E-11
+9.000000E-03,+2.161583E-09,+9.000000E-03,+3.177691E-11
+1.000000E-02,+7.056329E-10,+1.000000E-02,+9.725298E-11
+1.100000E-02,-3.461458E-09,+1.100000E-02,+4.688760E-11
+1.200000E-02,-8.933906E-09,+1.200000E-02,+2.170353E-11
+1.300000E-02,-1.074130E-08,+1.300000E-02,+8.214229E-11
+1.400000E-02,-5.570081E-09,+1.400000E-02,+1.022892E-10
+1.500000E-02,-2.507553E-09,+1.500000E-02,+8.717971E-11
+1.600000E-02,+2.161586E-09,+1.600000E-02,+6.199574E-11
+1.700000E-02,+1.107269E-09,+1.700000E-02,+3.681355E-11
+1.800000E-02,-5.168465E-09,+1.800000E-02,+5.695977E-11
+1.900000E-02,-1.033966E-08,+1.900000E-02,+2.673906E-11
+2.000000E-02,-1.249851E-08,+2.000000E-02,+1.274708E-10
+2.100000E-02,-4.766806E-09,+2.100000E-02,+8.717993E-11
+2.200000E-02,-3.009614E-09,+2.200000E-02,+4.688672E-11
+2.300000E-02,+1.659538E-09,+2.300000E-02,+1.073263E-10
+2.400000E-02,-1.403020E-09,+2.400000E-02,+9.725243E-11
+2.500000E-02,-5.469698E-09,+2.500000E-02,+1.022883E-10
+2.600000E-02,-1.129356E-08,+2.600000E-02,+7.206902E-11
+2.700000E-02,-1.305077E-08,+2.700000E-02,+2.170408E-11
+2.800000E-02,-5.068038E-09,+2.800000E-02,+1.073261E-10
+2.900000E-02,-1.252415E-09,+2.900000E-02,+1.425825E-10
+3.000000E-02,+4.521265E-09,+3.000000E-02,+1.557088E-12
+3.100000E-02,-3.487006E-10,+3.100000E-02,+5.695877E-11
+3.200000E-02,-4.515768E-09,+3.200000E-02,+4.184908E-11
+3.300000E-02,-1.656520E-08,+3.300000E-02,+8.214307E-11
+3.400000E-02,-1.079151E-08,+3.400000E-02,+1.123617E-10
+3.500000E-02,-5.770920E-09,+3.500000E-02,+1.224355E-10
+3.600000E-02,-3.963526E-09,+3.600000E-02,+8.214118E-11
+3.700000E-02,+1.910561E-09,+3.700000E-02,+5.695933E-11
+3.800000E-02,-1.854881E-09,+3.800000E-02,+1.556977E-12
+3.900000E-02,-5.419467E-09,+3.900000E-02,+2.673961E-11
+4.000000E-02,-1.249850E-08,+4.000000E-02,+1.022887E-10
+4.100000E-02,-1.033965E-08,+4.100000E-02,+1.123623E-10
+4.200000E-02,-4.164336E-09,+4.200000E-02,+2.170431E-11
+4.300000E-02,+2.964894E-09,+4.300000E-02,+8.717915E-11
+4.400000E-02,+3.065283E-09,+4.400000E-02,+1.073263E-10
+4.500000E-02,-1.955289E-09,+4.500000E-02,+9.725309E-11
+4.600000E-02,-5.319060E-09,+4.600000E-02,+9.725265E-11
+4.700000E-02,-1.390427E-08,+4.700000E-02,+1.425822E-10
+4.800000E-02,-9.184930E-09,+4.800000E-02,+4.688649E-11
+4.900000E-02,-5.369293E-09,+4.900000E-02,+6.199696E-11
+5.000000E-02,+8.060415E-10,+5.000000E-02,+1.375456E-10
+5.100000E-02,+5.173943E-09,+5.100000E-02,+1.879109E-10
+5.200000E-02,-4.565971E-09,+5.200000E-02,+1.325083E-10
+5.300000E-02,-1.149439E-08,+5.300000E-02,+6.199596E-11
+5.400000E-02,-1.254872E-08,+5.400000E-02,+1.022904E-10
+5.500000E-02,-9.435951E-09,+5.500000E-02,+1.325081E-10
+5.600000E-02,-4.867235E-09,+5.600000E-02,+8.214318E-11
+5.700000E-02,+4.043823E-10,+5.700000E-02,+7.710643E-11
+5.800000E-02,+3.868600E-09,+5.800000E-02,+1.022892E-10
+5.900000E-02,-4.013729E-09,+5.900000E-02,+9.725176E-11
+6.000000E-02,-7.026078E-09,+6.000000E-02,+8.718037E-11
+6.100000E-02,-1.445653E-08,+6.100000E-02,+1.224368E-10
+6.200000E-02,-8.984099E-09,+6.200000E-02,+1.022897E-10
+6.300000E-02,-1.905077E-09,+6.300000E-02,+1.375456E-10
+6.400000E-02,+6.554490E-10,+6.400000E-02,+1.173989E-10
+6.500000E-02,+3.065313E-09,+6.500000E-02,+3.681377E-11
+6.600000E-02,-5.118254E-09,+6.600000E-02,+1.173986E-10
+6.700000E-02,-6.975858E-09,+6.700000E-02,+2.170375E-11
+6.800000E-02,-1.415530E-08,+6.800000E-02,+1.123631E-10
+6.900000E-02,-7.979977E-09,+6.900000E-02,+5.192280E-11
+7.000000E-02,-4.013711E-09,+7.000000E-02,+3.681422E-11
+7.100000E-02,+3.667791E-09,+7.100000E-02,+1.274728E-10
+7.200000E-02,+6.579743E-09,+7.200000E-02,+1.576919E-10
+7.300000E-02,-5.519904E-09,+7.300000E-02,+3.177592E-11
+7.400000E-02,-7.578330E-09,+7.400000E-02,+6.703305E-11
+7.500000E-02,-1.400468E-08,+7.500000E-02,+7.710588E-11
+7.600000E-02,-6.473805E-09,+7.600000E-02,+8.717904E-11
+7.700000E-02,-1.804647E-09,+7.700000E-02,+1.224363E-10
+7.800000E-02,+3.466965E-09,+7.800000E-02,+1.375462E-10
+7.900000E-02,+1.709790E-09,+7.900000E-02,+1.627274E-10
+8.000000E-02,-4.917440E-09,+8.000000E-02,+9.221635E-11
+8.100000E-02,-1.013884E-08,+8.100000E-02,+1.325090E-10
+8.200000E-02,-1.877452E-08,+8.200000E-02,+1.073267E-10
+8.300000E-02,-3.461437E-09,+8.300000E-02,+1.375444E-10
+8.400000E-02,-2.808794E-09,+8.400000E-02,+6.703216E-11
+8.500000E-02,+4.119642E-09,+8.500000E-02,+6.703305E-11
+8.600000E-02,-3.989040E-10,+8.600000E-02,+3.681333E-11
+8.700000E-02,-4.264753E-09,+8.700000E-02,+1.022886E-10
+8.800000E-02,-9.084511E-09,+8.800000E-02,+1.073258E-10
+8.900000E-02,-1.174542E-08,+8.900000E-02,+7.207079E-11
+9.000000E-02,-4.063939E-09,+9.000000E-02,+1.576911E-10
+9.100000E-02,-1.453243E-09,+9.100000E-02,+4.688683E-11
+9.200000E-02,+1.255419E-08,+9.200000E-02,+8.214229E-11
+9.300000E-02,-2.557738E-09,+9.300000E-02,+6.593392E-12
+9.400000E-02,-5.620296E-09,+9.400000E-02,+4.688638E-11
