VDD,IDD,VREF,IREF
+1.800000E+00,+3.000015E-04,+0.000000E+00,-1.164575E-04
+1.799000E+00,+3.000029E-04,+0.000000E+00,-1.164568E-04
+1.798000E+00,+3.000017E-04,+0.000000E+00,-1.164520E-04
+1.797000E+00,+3.000026E-04,+0.000000E+00,-1.164521E-04
+1.796000E+00,+3.000022E-04,+0.000000E+00,-1.164531E-04
+1.795000E+00,+3.000043E-04,+0.000000E+00,-1.164593E-04
+1.794000E+00,+3.000033E-04,+0.000000E+00,-1.164508E-04
+1.793000E+00,+3.000003E-04,+0.000000E+00,-1.164503E-04
+1.792000E+00,+3.000013E-04,+0.000000E+00,-1.164449E-04
+1.791000E+00,+3.000007E-04,+0.000000E+00,-1.164401E-04
+1.790000E+00,+3.000011E-04,+0.000000E+00,-1.164368E-04
+1.789000E+00,+3.000023E-04,+0.000000E+00,-1.164352E-04
+1.788000E+00,+3.000018E-04,+0.000000E+00,-1.164323E-04
+1.787000E+00,+2.999991E-04,+0.000000E+00,-1.164315E-04
+1.786000E+00,+3.000044E-04,+0.000000E+00,-1.164296E-04
+1.785000E+00,+3.000008E-04,+0.000000E+00,-1.164288E-04
+1.784000E+00,+3.000024E-04,+0.000000E+00,-1.164301E-04
+1.783000E+00,+3.000011E-04,+0.000000E+00,-1.164286E-04
+1.782000E+00,+3.000028E-04,+0.000000E+00,-1.164187E-04
+1.781000E+00,+3.000037E-04,+0.000000E+00,-1.164140E-04
+1.780000E+00,+3.000040E-04,+0.000000E+00,-1.164200E-04
+1.779000E+00,+3.000046E-04,+0.000000E+00,-1.164251E-04
+1.778000E+00,+3.000035E-04,+0.000000E+00,-1.164271E-04
+1.777000E+00,+3.000037E-04,+0.000000E+00,-1.164215E-04
+1.776000E+00,+3.000025E-04,+0.000000E+00,-1.164108E-04
+1.775000E+00,+3.000028E-04,+0.000000E+00,-1.164224E-04
+1.774000E+00,+3.000029E-04,+0.000000E+00,-1.164071E-04
+1.773000E+00,+3.000005E-04,+0.000000E+00,-1.164091E-04
+1.772000E+00,+3.000030E-04,+0.000000E+00,-1.164071E-04
+1.771000E+00,+3.000038E-04,+0.000000E+00,-1.164038E-04
+1.770000E+00,+3.000021E-04,+0.000000E+00,-1.164120E-04
+1.769000E+00,+3.000014E-04,+0.000000E+00,-1.164122E-04
+1.768000E+00,+3.000034E-04,+0.000000E+00,-1.163984E-04
