VDD,IDD,VREF,IREF
+1.800000E+00,+1.505452E-04,+0.000000E+00,-1.278166E-05
+1.790000E+00,+1.509438E-04,+0.000000E+00,-1.306079E-05
+1.780000E+00,+1.521746E-04,+0.000000E+00,-1.349568E-05
+1.770000E+00,+1.533876E-04,+0.000000E+00,-1.393287E-05
+1.760000E+00,+1.549287E-04,+0.000000E+00,-1.443979E-05
+1.750000E+00,+1.568919E-04,+0.000000E+00,-1.503182E-05
+1.740000E+00,+1.594206E-04,+0.000000E+00,-1.573684E-05
+1.730000E+00,+1.625296E-04,+0.000000E+00,-1.656766E-05
+1.720000E+00,+1.664538E-04,+0.000000E+00,-1.756618E-05
+1.710000E+00,+1.720334E-04,+0.000000E+00,-1.892059E-05
+1.700000E+00,+1.790398E-04,+0.000000E+00,-2.060029E-05
+1.690000E+00,+1.890310E-04,+0.000000E+00,-2.301230E-05
+1.680000E+00,+2.053363E-04,+0.000000E+00,-2.739971E-05
+1.670000E+00,+2.651665E-04,+0.000000E+00,-6.290809E-05
+1.660000E+00,+3.159736E-04,+0.000000E+00,-1.180316E-04
+1.650000E+00,+3.094634E-04,+0.000000E+00,-1.181530E-04
+1.640000E+00,+3.020618E-04,+0.000000E+00,-1.167195E-04
+1.630000E+00,+2.948433E-04,+0.000000E+00,-1.152359E-04
+1.620000E+00,+2.878383E-04,+0.000000E+00,-1.137462E-04
+1.610000E+00,+2.810098E-04,+0.000000E+00,-1.122207E-04
+1.600000E+00,+2.743987E-04,+0.000000E+00,-1.106618E-04
+1.590000E+00,+2.678946E-04,+0.000000E+00,-1.090387E-04
+1.580000E+00,+2.615373E-04,+0.000000E+00,-1.073426E-04
+1.570000E+00,+2.552873E-04,+0.000000E+00,-1.055610E-04
+1.560000E+00,+2.490989E-04,+0.000000E+00,-1.036543E-04
+1.550000E+00,+2.429735E-04,+0.000000E+00,-1.016931E-04
+1.540000E+00,+2.372833E-04,+0.000000E+00,-1.004557E-04
+1.530000E+00,+2.320343E-04,+0.000000E+00,-9.944860E-05
+1.520000E+00,+2.270039E-04,+0.000000E+00,-9.845177E-05
+1.510000E+00,+2.222486E-04,+0.000000E+00,-9.745394E-05
+1.500000E+00,+2.177684E-04,+0.000000E+00,-9.648022E-05
+1.490000E+00,+2.135255E-04,+0.000000E+00,-9.551184E-05
+1.480000E+00,+2.095409E-04,+0.000000E+00,-9.456817E-05
+1.470000E+00,+2.057738E-04,+0.000000E+00,-9.363784E-05
+1.460000E+00,+2.021832E-04,+0.000000E+00,-9.270480E-05
+1.450000E+00,+1.987868E-04,+0.000000E+00,-9.177037E-05
+1.440000E+00,+1.955782E-04,+0.000000E+00,-9.086404E-05
+1.430000E+00,+1.925321E-04,+0.000000E+00,-8.996967E-05
+1.420000E+00,+1.896092E-04,+0.000000E+00,-8.907908E-05
+1.410000E+00,+1.867788E-04,+0.000000E+00,-8.818426E-05
+1.400000E+00,+1.840568E-04,+0.000000E+00,-8.730630E-05
+1.390000E+00,+1.814636E-04,+0.000000E+00,-8.642304E-05
+1.380000E+00,+1.789112E-04,+0.000000E+00,-8.553723E-05
+1.370000E+00,+1.764087E-04,+0.000000E+00,-8.463587E-05
+1.360000E+00,+1.739357E-04,+0.000000E+00,-8.372651E-05
+1.350000E+00,+1.714769E-04,+0.000000E+00,-8.279515E-05
+1.340000E+00,+1.690135E-04,+0.000000E+00,-8.183833E-05
+1.330000E+00,+1.665065E-04,+0.000000E+00,-8.083914E-05
+1.320000E+00,+1.639997E-04,+0.000000E+00,-7.982396E-05
+1.310000E+00,+1.614249E-04,+0.000000E+00,-7.874897E-05
+1.300000E+00,+1.588212E-04,+0.000000E+00,-7.764561E-05
+1.290000E+00,+1.561322E-04,+0.000000E+00,-7.646215E-05
+1.280000E+00,+1.534194E-04,+0.000000E+00,-7.524317E-05
+1.270000E+00,+1.505665E-04,+0.000000E+00,-7.394811E-05
+1.260000E+00,+1.476640E-04,+0.000000E+00,-7.259852E-05
+1.250000E+00,+1.445858E-04,+0.000000E+00,-7.114462E-05
+1.240000E+00,+1.414253E-04,+0.000000E+00,-6.962765E-05
+1.230000E+00,+1.381822E-04,+0.000000E+00,-6.805737E-05
+1.220000E+00,+1.348122E-04,+0.000000E+00,-6.641733E-05
+1.210000E+00,+1.313608E-04,+0.000000E+00,-6.471097E-05
+1.200000E+00,+1.277824E-04,+0.000000E+00,-6.294810E-05
+1.190000E+00,+1.241680E-04,+0.000000E+00,-6.114714E-05
+1.180000E+00,+1.204107E-04,+0.000000E+00,-5.927789E-05
+1.170000E+00,+1.165692E-04,+0.000000E+00,-5.736126E-05
+1.160000E+00,+1.126401E-04,+0.000000E+00,-5.540825E-05
+1.150000E+00,+1.085903E-04,+0.000000E+00,-5.339420E-05
+1.140000E+00,+1.044500E-04,+0.000000E+00,-5.133450E-05
+1.130000E+00,+1.002436E-04,+0.000000E+00,-4.923458E-05
+1.120000E+00,+9.595911E-05,+0.000000E+00,-4.709029E-05
+1.110000E+00,+9.158440E-05,+0.000000E+00,-4.490555E-05
+1.100000E+00,+8.714627E-05,+0.000000E+00,-4.268303E-05
+1.090000E+00,+8.263522E-05,+0.000000E+00,-4.043592E-05
+1.080000E+00,+7.805913E-05,+0.000000E+00,-3.815258E-05
+1.070000E+00,+7.345604E-05,+0.000000E+00,-3.585129E-05
+1.060000E+00,+6.878632E-05,+0.000000E+00,-3.352353E-05
+1.050000E+00,+6.409234E-05,+0.000000E+00,-3.117251E-05
+1.040000E+00,+5.938936E-05,+0.000000E+00,-2.881900E-05
+1.030000E+00,+5.468147E-05,+0.000000E+00,-2.646264E-05
+1.020000E+00,+4.995628E-05,+0.000000E+00,-2.409163E-05
+1.010000E+00,+4.525672E-05,+0.000000E+00,-2.173238E-05
+1.000000E+00,+4.055996E-05,+0.000000E+00,-1.938768E-05
+9.900000E-01,+3.594095E-05,+0.000000E+00,-1.705570E-05
+9.800000E-01,+3.134820E-05,+0.000000E+00,-1.475289E-05
+9.700000E-01,+2.691983E-05,+0.000000E+00,-1.251151E-05
+9.600000E-01,+2.262140E-05,+0.000000E+00,-1.032919E-05
+9.500000E-01,+1.852047E-05,+0.000000E+00,-8.249891E-06
+9.400000E-01,+1.473001E-05,+0.000000E+00,-6.316531E-06
+9.300000E-01,+1.135143E-05,+0.000000E+00,-4.596841E-06
+9.200000E-01,+8.487732E-06,+0.000000E+00,-3.144922E-06
+9.100000E-01,+6.243110E-06,+0.000000E+00,-2.014130E-06
+9.000000E-01,+4.646971E-06,+0.000000E+00,-1.211307E-06
+8.900000E-01,+3.599697E-06,+0.000000E+00,-6.909453E-07
+8.800000E-01,+2.967555E-06,+0.000000E+00,-3.845000E-07
+8.700000E-01,+2.597182E-06,+0.000000E+00,-2.106599E-07
+8.600000E-01,+2.368197E-06,+0.000000E+00,-1.131043E-07
+8.500000E-01,+2.224255E-06,+0.000000E+00,-5.954934E-08
+8.400000E-01,+2.123646E-06,+0.000000E+00,-3.048377E-08
+8.300000E-01,+2.040003E-06,+0.000000E+00,-1.479444E-08
+8.200000E-01,+1.971326E-06,+0.000000E+00,-7.000363E-09
+8.100000E-01,+1.911525E-06,+0.000000E+00,-2.877433E-09
+8.000000E-01,+1.859517E-06,+0.000000E+00,-1.369050E-09
+7.900000E-01,+1.807654E-06,+0.000000E+00,-1.623350E-10
+7.800000E-01,+1.758202E-06,+0.000000E+00,+9.940893E-10
+7.700000E-01,+1.711009E-06,+0.000000E+00,+7.929772E-10
+7.600000E-01,+1.660047E-06,+0.000000E+00,+9.438157E-10
+7.500000E-01,+1.601205E-06,+0.000000E+00,+1.496898E-09
+7.400000E-01,+1.549644E-06,+0.000000E+00,+1.446621E-09
+7.300000E-01,+1.492511E-06,+0.000000E+00,+8.935297E-10
+7.200000E-01,+1.442861E-06,+0.000000E+00,+8.432615E-10
+7.100000E-01,+1.397021E-06,+0.000000E+00,+7.426983E-10
+7.000000E-01,+1.355700E-06,+0.000000E+00,+7.929710E-10
+6.900000E-01,+1.307856E-06,+0.000000E+00,+1.044376E-09
+6.800000E-01,+1.261117E-06,+0.000000E+00,+9.438148E-10
+6.700000E-01,+1.204134E-06,+0.000000E+00,+9.940901E-10
+6.600000E-01,+1.151917E-06,+0.000000E+00,+1.044375E-09
+6.500000E-01,+1.101462E-06,+0.000000E+00,+1.094649E-09
+6.400000E-01,+1.047589E-06,+0.000000E+00,+1.396339E-09
+6.300000E-01,+1.007577E-06,+0.000000E+00,+1.396340E-09
+6.200000E-01,+9.655571E-07,+0.000000E+00,+1.346051E-09
+6.100000E-01,+9.061619E-07,+0.000000E+00,+9.940901E-10
+6.000000E-01,+8.754868E-07,+0.000000E+00,+8.935368E-10
+5.900000E-01,+8.258323E-07,+0.000000E+00,+7.426966E-10
+5.800000E-01,+7.791943E-07,+0.000000E+00,+9.438024E-10
+5.700000E-01,+7.291879E-07,+0.000000E+00,+3.907319E-10
+5.600000E-01,+6.816429E-07,+0.000000E+00,+8.432650E-10
+5.500000E-01,+6.418296E-07,+0.000000E+00,+1.094663E-09
+5.400000E-01,+6.032723E-07,+0.000000E+00,+9.940955E-10
+5.300000E-01,+5.659178E-07,+0.000000E+00,+2.901759E-10
+5.200000E-01,+5.286159E-07,+0.000000E+00,+6.421343E-10
+5.100000E-01,+4.852382E-07,+0.000000E+00,+1.044378E-09
+5.000000E-01,+4.377946E-07,+0.000000E+00,+7.929692E-10
+4.900000E-01,+3.996391E-07,+0.000000E+00,+1.896119E-10
+4.800000E-01,+3.565114E-07,+0.000000E+00,+1.245501E-09
+4.700000E-01,+3.234771E-07,+0.000000E+00,+7.929737E-10
