VIN,ITOT,VOUT,VDROP
3.3,-8.816045E-09,1.56704423e-05,0.000105062859
3.2,-1.123519E-08,1.21503306e-05,0.00010717835
3.1,-1.042884E-08,1.29356501e-05,9.07103288e-05
3.0,-1.163843E-08,1.89803981e-05,8.04803631e-05
2.9,-1.063042E-08,2.46158951e-05,7.04060708e-05
2.8,-1.294882E-08,2.36840195e-05,7.19933834e-05
2.7,-1.264643E-08,2.03740637e-05,7.63939366e-05
2.6,-1.335200E-08,8.72976645e-06,8.9456602e-05
2.5,-1.395681E-08,-1.40472644e-06,9.31232663e-05
2.4,-1.375519E-08,-4.53494361e-06,9.55918015e-05
2.3,-1.315041E-08,-2.88964395e-06,9.71985733e-05
2.2,-1.209205E-08,4.19758805e-06,0.000100350959
2.1,-1.274721E-08,8.40623694e-06,9.76489142e-05
2.0,-1.259601E-08,7.38863983e-06,0.000103233697
1.9,-9.572048E-09,9.19432165e-06,0.000104481864
1.8,-1.007601E-08,1.3118154e-05,0.000105718912
1.7,-9.874434E-09,1.31292148e-05,0.000106383303
1.6,-1.219284E-08,1.16111148e-05,0.000106803066
1.5,-1.199124E-08,1.31098583e-05,0.000105688333
1.4,-1.138643E-08,1.48630012e-05,9.10883927e-05
1.3,-1.098324E-08,1.76669236e-05,8.06582755e-05
1.2,-1.264643E-08,2.22599366e-05,7.69554727e-05
