VIN,ITOT,VOUT,VDROP
3.3,+3.314725E-03,2.48677711,-0.971950933
3.2,+3.287633E-03,2.4872325,-0.971909379
3.1,+3.264057E-03,2.48734053,-0.971937253
3.0,+3.144076E-03,2.48744474,-0.971915331
2.9,+3.065948E-03,2.48750619,-0.971951053
2.8,+2.976207E-03,2.48749131,-0.971895819
2.7,+2.872620E-03,2.48756356,-0.971953341
2.6,+2.767443E-03,2.48564253,-0.971869566
2.5,+2.662200E-03,1.58232462,-0.972180487
2.4,+2.557286E-03,1.49806441,-0.972195604
2.3,+2.452115E-03,1.39629542,-0.97222747
2.2,+2.347147E-03,1.29654069,-0.972244928
2.1,+2.242112E-03,1.19717143,-0.972270447
2.0,+2.137005E-03,1.09788448,-0.972315317
