VIN,ITOT,VOUT,VDROP
3.3,+3.343272E-03,1.19196914,-1.78746407
3.2,+3.219838E-03,1.19186048,-1.78748785
3.1,+3.183544E-03,1.19174837,-1.78746662
3.0,+3.160908E-03,1.19167655,-1.78745479
2.9,+3.143284E-03,1.19154265,-1.78746114
2.8,+3.128561E-03,1.19145571,-1.78745211
2.7,+3.114893E-03,1.1913234,-1.78743732
2.6,+3.102340E-03,1.19125346,-1.78747135
2.5,+3.090601E-03,1.19118926,-1.78742581
2.4,+3.079188E-03,1.19112777,-1.78744912
2.3,+3.068143E-03,1.19108867,-1.78745754
2.2,+3.057044E-03,1.19102552,-1.78743869
2.1,+3.045975E-03,1.19098281,-1.78745397
2.0,+3.031265E-03,1.19084933,-1.78744296
1.9,+2.998751E-03,1.19018712,-1.78745271
1.8,+2.915391E-03,1.1183093,-1.78749074
1.7,+2.816652E-03,1.02142724,-1.78750915
1.6,+2.714338E-03,0.923118875,-1.78750732
1.5,+2.611239E-03,0.824467408,-1.78756542
1.4,+2.507841E-03,0.72580064,-1.78755261
1.3,+2.404321E-03,0.626971442,-1.78759956
1.2,+2.300513E-03,0.528189549,-1.78763694
