VIN,ITOT,VOUT,VDROP
3.3,+3.210882E-03,2.34903736,-0.977325775
3.2,+3.187868E-03,2.34953259,-0.977359456
3.1,+3.175450E-03,2.34988298,-0.977337567
3.0,+3.163580E-03,2.3499297,-0.977330448
2.9,+3.143917E-03,2.34993622,-0.977326028
2.8,+3.089611E-03,2.35007428,-0.977333256
2.7,+2.995621E-03,2.3461048,-0.977307628
2.6,+2.896162E-03,1.83814096,-0.922363587
2.5,+2.792743E-03,1.71621089,-0.977495676
2.4,+2.688174E-03,1.61791883,-0.977547181
2.3,+2.584333E-03,1.51921716,-0.977585182
2.2,+2.480324E-03,1.42058491,-0.977575953
2.1,+2.375978E-03,1.32183332,-0.977604917
2.0,+2.271653E-03,1.22309923,-0.977684861
