VIN,ITOT,VOUT,VDROP
3.3,+3.255122E-03,1.59217554,-1.38064075
3.2,+3.178652E-03,1.59200323,-1.38062604
3.1,+3.157855E-03,1.59193619,-1.38059933
3.0,+3.143935E-03,1.59177941,-1.38062519
2.9,+3.131439E-03,1.59167903,-1.38060222
2.8,+3.120032E-03,1.59160346,-1.3806163
2.7,+3.109013E-03,1.59153056,-1.38063184
2.6,+3.098266E-03,1.59146972,-1.38061763
2.5,+3.086471E-03,1.59142429,-1.38067636
2.4,+3.068713E-03,1.59131731,-1.38061953
2.3,+3.027534E-03,1.59075871,-1.38061793
2.2,+2.941996E-03,1.51972992,-1.38064081
2.1,+2.843921E-03,1.42265651,-1.38064295
2.0,+2.742363E-03,1.32443537,-1.38069277
1.9,+2.639884E-03,1.22595256,-1.38071567
1.8,+2.537376E-03,1.12758626,-1.38076725
1.7,+2.434594E-03,1.02918495,-1.38079227
1.6,+2.331909E-03,0.93083251,-1.38080981
