VIN,ITOT,VOUT,VDROP
3.3,+3.151756E-03,1.20276213,-0.281500239
3.2,+3.139511E-03,1.20247531,-0.281536475
3.1,+3.129052E-03,1.20239588,-0.281520518
3.0,+3.118876E-03,1.20232643,-0.281498913
2.9,+3.109358E-03,1.20231268,-0.281508114
2.8,+3.099950E-03,1.20227321,-0.281559367
2.7,+3.090661E-03,1.20225861,-0.281571095
2.6,+3.081690E-03,1.20226771,-0.281541993
2.5,+3.072309E-03,1.20227621,-0.281527485
2.4,+3.063441E-03,1.20230551,-0.28158562
2.3,+3.054116E-03,1.20232968,-0.281593443
2.2,+3.031899E-03,1.20232122,-0.281596584
2.1,+2.891483E-03,1.14680804,-0.281635199
2.0,+2.691609E-03,1.0480609,-0.281610503
1.9,+2.488643E-03,0.94912142,-0.281526356
1.8,+2.286061E-03,0.850304535,-0.28150668
1.7,+2.083892E-03,0.751418923,-0.281542046
1.6,+1.881966E-03,0.652690071,-0.281594719
1.5,+1.681111E-03,0.554102337,-0.281609185
1.4,+1.479725E-03,0.455831008,-0.281609844
1.3,+1.279189E-03,0.357536764,-0.281588383
1.2,+1.079248E-03,0.259595454,-0.281622796
