VIN,ITOT,VOUT,VDROP
3.3,+3.202511E-03,0.793503087,-0.700296126
3.2,+3.186251E-03,0.793326467,-0.700314985
3.1,+3.173159E-03,0.793246959,-0.70031091
3.0,+3.161545E-03,0.793141585,-0.700322532
2.9,+3.150203E-03,0.793049255,-0.700293393
2.8,+3.139457E-03,0.7929385,-0.700309108
2.7,+3.129195E-03,0.792870357,-0.700294036
2.6,+3.119095E-03,0.792825646,-0.70030282
2.5,+3.109364E-03,0.79277399,-0.700310893
2.4,+3.099592E-03,0.792684402,-0.700310073
2.3,+3.089982E-03,0.792644824,-0.7003062
2.2,+3.080650E-03,0.792602428,-0.700319402
2.1,+3.071350E-03,0.792539389,-0.700324673
2.0,+3.062035E-03,0.792483316,-0.700345853
1.9,+3.053147E-03,0.79246185,-0.700343284
1.8,+3.043983E-03,0.792446221,-0.700303543
1.7,+3.034328E-03,0.792386998,-0.700332818
1.6,+3.020608E-03,0.792259749,-0.700327708
1.5,+2.976098E-03,0.784906,-0.700334044
1.4,+2.791489E-03,0.692269826,-0.700312422
1.3,+2.596306E-03,0.596046392,-0.700342189
1.2,+2.398724E-03,0.499253206,-0.70037458
