IL,ITOT,VOUT,VDROP
5e-05,+2.643212E-04,1.99513274,1.97469407
0.0001,+3.138378E-04,1.99510446,1.95825719
0.0003,+5.114108E-04,1.99502988,1.89279734
0.0005,+7.092010E-04,1.99499259,1.82741372
0.001,+1.203844E-03,1.99493746,1.66375288
0.002,+2.193484E-03,1.99496178,1.33654464
0.003,+3.182454E-03,1.99500536,1.00958487
0.004,+4.172324E-03,1.99503185,0.682395073
0.005,+5.162723E-03,1.99506006,0.355162357
0.006,+6.154658E-03,1.99508714,0.0272403388
0.007,+7.142736E-03,1.99517348,-0.299403748
0.008,+8.132423E-03,1.99512935,-0.626580712
0.009,+9.122434E-03,1.99511579,-0.953638027
0.01,+1.011211E-02,1.99515404,-1.28074017
