VIN,ITOT,VOUT,VDROP
3.3,+3.167716E-03,1.99898268,1.01461823
3.2,+3.157374E-03,1.99901755,1.01461611
3.1,+3.146320E-03,1.99914576,1.01459233
3.0,+3.120957E-03,1.99956168,1.01457925
2.9,+2.911702E-03,1.94779738,1.0145796
2.8,+2.613367E-03,1.84957473,1.01459438
2.7,+2.310380E-03,1.75131563,1.01457174
2.6,+2.007854E-03,1.65330523,1.01456304
2.5,+1.706754E-03,1.55557617,1.01452795
2.4,+1.406975E-03,1.45829055,1.01453788
2.3,+1.108147E-03,1.36158171,1.01455248
2.2,+8.125514E-04,1.26578368,1.01456227
2.1,+5.213345E-04,1.17152015,1.01456193
2.0,+2.435025E-04,1.08151398,1.01456786
