VIN,ITOT,VOUT,VDROP
3.3,+3.226747E-03,1.98929708,0.996058471
3.2,+3.215254E-03,1.98922274,0.996117418
3.1,+3.204623E-03,1.98915144,0.996121466
3.0,+3.193197E-03,1.98910245,0.996098815
2.9,+3.169363E-03,1.98929032,0.99606991
2.8,+3.089831E-03,1.98590817,0.996068337
2.7,+2.804128E-03,1.88997177,0.996102204
2.6,+2.509201E-03,1.79355343,0.996081458
2.5,+2.212588E-03,1.69740102,0.996088324
2.4,+1.916630E-03,1.60169087,0.996070947
2.3,+1.622553E-03,1.50650543,0.996098468
2.2,+1.330979E-03,1.41226616,0.996078492
2.1,+1.043186E-03,1.31914042,0.996106635
2.0,+7.607831E-04,1.22790066,0.996106682
