IL,ITOT,VOUT,VDROP
5e-05,+2.957690E-04,1.98932713,1.96622726
0.0001,+3.452566E-04,1.9892813,1.94980099
0.0003,+5.431981E-04,1.98916741,1.88430986
0.0005,+7.411647E-04,1.98914839,1.81882912
0.001,+1.236222E-03,1.98908057,1.65505929
0.002,+2.226915E-03,1.98905778,1.32742529
0.003,+3.216717E-03,1.98901316,1.00007046
0.004,+4.207369E-03,1.98900963,0.672481726
0.005,+5.198036E-03,1.98902277,0.344911641
0.006,+6.190010E-03,1.98899551,0.0167780667
0.007,+7.177867E-03,1.98898852,-0.309966709
0.008,+8.167795E-03,1.98897864,-0.637275091
0.009,+9.157624E-03,1.98900324,-0.964745784
0.01,+1.014803E-02,1.98901579,-1.2922565
