V Input,V Output
0.0,1.18488615
0.01,1.1848822
0.02,1.18494148
0.03,1.18487428
0.04,1.18476758
0.05,1.1849296
0.06,1.18488615
0.07,1.18483478
0.08,1.18491776
0.09,1.18484664
0.1,1.18494935
0.11,1.18492962
0.12,1.18477944
0.13,1.18493751
0.14,1.18477944
0.15,1.18470832
0.16,1.1848585
0.17,1.1847913
0.18,1.18483478
0.19,1.18481108
0.2,1.18475571
0.21,1.18482688
0.22,1.18475574
0.23,1.18469645
0.24,1.1847913
0.25,1.18469645
0.26,1.18473202
0.27,1.18471621
0.28,1.18473596
0.29,1.18474388
0.3,1.18467276
0.31,1.18454629
0.32,1.18458977
0.33,1.18446726
0.34,1.18428149
0.35000000000000003,1.18429335
0.36,1.18406413
0.37,1.18395348
0.38,1.18366105
0.39,1.1834753
0.4,1.1830248
0.41000000000000003,1.18260589
0.42,1.18199728
0.43,1.18113184
0.44,1.18029009
0.45,1.17912822
0.46,1.17763834
0.47000000000000003,1.17606153
0.48,1.17377339
0.49,1.17148129
0.5,1.16822888
0.51,1.16478281
0.52,1.16023415
0.53,1.15494651
0.54,1.14851282
0.55,1.14048255
0.56,1.13102169
0.5700000000000001,1.118178
0.58,1.10120855
0.59,1.07705845
0.6,1.029521
0.61,0.371868879
0.62,0.437079226
0.63,0.302584104
0.64,0.196570347
0.65,0.137098143
0.66,0.101380843
0.67,0.0795742143
0.68,0.0651774306
0.6900000000000001,0.0543373947
0.7000000000000001,0.0463822013
0.71,0.0400828791
0.72,0.0350718365
0.73,0.030946065
0.74,0.0276738774
0.75,0.024998455
0.76,0.0227340049
0.77,0.0208607977
0.78,0.0192682048
0.79,0.017983823
0.8,0.0168377633
0.81,0.0158774725
0.8200000000000001,0.0151581927
0.8300000000000001,0.0144547927
0.84,0.0139844879
0.85,0.0134154159
0.86,0.0131190183
0.87,0.012743607
0.88,0.0125104395
0.89,0.0122298494
0.9,0.0121270883
0.91,0.0119018367
0.92,0.0118623058
0.93,0.0116844768
0.9400000000000001,0.0116923926
0.9500000000000001,0.0115975473
0.96,0.0116133548
0.97,0.0115659322
0.98,0.0115185095
0.99,0.0115422088
1.0,0.011502702
1.01,0.011498732
1.02,0.0114829485
1.03,0.011467141
1.04,0.0114197183
1.05,0.0114710869
1.06,0.0113722957
1.07,0.0114592252
1.08,0.0113525182
1.09,0.0114355018
1.1,0.0113762415
1.11,0.0114394718
1.12,0.0113999408
1.1300000000000001,0.0114276101
1.1400000000000001,0.0114157484
1.1500000000000001,0.0114394718
1.16,0.0114118025
1.17,0.0114355018
1.18,0.0114078566
1.19,0.0114631951
1.2,0.011392025
