IL,ITOT,VOUT,VDROP
0.0001,+2.035003E-03,0.689769318,0.313867932
0.0003,+2.207126E-03,0.689637296,0.26132676
0.0005,+2.403944E-03,0.689289549,0.207971558
0.001,+2.900264E-03,0.688785374,0.0766279729
0.002,+3.895236E-03,0.688486891,-0.185964072
0.003,+4.883288E-03,0.688296374,-0.4478511
0.004,+5.872997E-03,0.68795682,-0.710604794
0.005,+6.861498E-03,0.687830782,-0.973279133
0.006,+7.850425E-03,0.687482661,-1.23603708
0.007,+8.838730E-03,0.687485191,-1.49854793
0.008,+9.827755E-03,0.687643884,-1.76128624
0.009,+1.049986E-02,0.687661778,-2.02401593
0.01,+1.049984E-02,0.69182841,-2.28667397
