IL,ITOT,VOUT,VDROP
0.0001,+2.184889E-03,0.697378689,0.318082461
0.0003,+2.379581E-03,0.697405268,0.266401385
0.0005,+2.577760E-03,0.697339973,0.213947504
0.001,+3.067199E-03,0.697431325,0.0846988573
0.002,+4.045879E-03,0.697339387,-0.173734936
0.003,+5.024299E-03,0.697352057,-0.431506371
0.004,+6.004587E-03,0.697225018,-0.690078822
0.005,+6.984353E-03,0.697097873,-0.948566989
0.006,+7.966880E-03,0.69782219,-1.20705383
0.007,+8.946739E-03,0.698120194,-1.4653313
0.008,+9.926724E-03,0.698235683,-1.72380866
0.009,+1.049991E-02,0.697279421,-1.9822904
0.01,+1.049989E-02,0.639223389,-2.24077079
