IL,ITOT,VOUT,VDROP,VISET
0.0001,+8.989606E-04,1.49717321,1.46046919,1.4794001470588236
0.0003,+1.095950E-03,1.49758719,1.40845977,1.4265401470588235
0.0005,+1.291672E-03,1.49737598,1.35649549,1.3736801470588236
0.001,+1.779932E-03,1.49749232,1.22682107,1.2415301470588234
0.002,+2.756530E-03,1.49754598,0.967178294,0.9772301470588235
0.003,+3.731296E-03,1.49756519,0.707567093,0.7129301470588235
0.004,+4.705702E-03,1.4975892,0.448104063,0.4486301470588234
0.005,+5.681657E-03,1.49752082,0.187937504,0.18433014705882345
0.006,+6.655068E-03,1.49755541,-0.0714448258,-0.07996985294117676
0.007,+7.626477E-03,1.49765852,-0.330165446,-0.34426985294117673
0.008,+8.602210E-03,1.49768986,-0.589694042,-0.6085698529411765
0.009,+9.575212E-03,1.49782715,-0.849106238,-0.8728698529411765
0.01,+1.049994E-02,1.49742874,-1.10849795,-1.137169852941177
