VIN,ITOT,VOUT,VDROP
1.8,+3.743584E-03,0.911102456,0.121278174
1.775,+3.724020E-03,0.910716209,0.121326658
1.75,+3.702603E-03,0.910165476,0.121425069
1.725,+3.683832E-03,0.909976881,0.121403725
1.7,+3.663009E-03,0.90962454,0.121410255
1.675,+3.644765E-03,0.909289549,0.121378295
1.65,+3.623693E-03,0.908703081,0.121364882
1.625,+3.604096E-03,0.908357776,0.121496868
1.6,+3.583792E-03,0.90789444,0.121452006
1.575,+3.564222E-03,0.907414026,0.121361818
1.55,+3.544007E-03,0.907089006,0.12136946
1.525,+3.523877E-03,0.906549572,0.121434142
1.5,+3.503448E-03,0.906020432,0.121437887
1.475,+3.483453E-03,0.905660073,0.121410155
1.45,+3.463405E-03,0.905223706,0.121394107
1.425,+3.442073E-03,0.904690411,0.121417936
1.4,+3.421369E-03,0.904196821,0.121549074
1.375,+3.401089E-03,0.903816585,0.121474312
1.35,+3.379769E-03,0.903311995,0.121472277
1.325,+3.358266E-03,0.902795454,0.121453424
1.3,+3.336015E-03,0.902281396,0.121466456
1.275,+3.313848E-03,0.901821945,0.121505569
1.25,+3.290895E-03,0.901367439,0.121482721
1.225,+3.268272E-03,0.900705547,0.121414116
1.2,+3.243226E-03,0.900119486,0.121407973
1.175,+3.216751E-03,0.899338377,0.121399789
1.15,+3.188427E-03,0.898483211,0.121402096
1.125,+3.154617E-03,0.897509009,0.121485228
1.1,+3.120084E-03,0.896302492,0.121457877
1.075,+3.081749E-03,0.894554697,0.121400773
1.05,+3.038461E-03,0.892704567,0.121392864
1.025,+2.995235E-03,0.890325536,0.121397223
1.0,+2.953576E-03,0.887399662,0.121433067
