VIN,ITOT,VOUT,VDROP
1.8,+3.721932E-03,1.61484189,0.819461415
1.775,+3.698558E-03,1.61427023,0.819511878
1.75,+3.675621E-03,1.61385797,0.819499997
1.725,+3.652079E-03,1.61317752,0.819563726
1.7,+3.625478E-03,1.61270403,0.819645046
1.675,+3.600633E-03,1.61206334,0.819613122
1.65,+3.574117E-03,1.61135221,0.819700043
1.625,+3.548770E-03,1.61050138,0.819770093
1.6,+3.465598E-03,1.59735901,0.81974657
1.575,+3.297519E-03,1.57241345,0.819820356
1.55,+3.133693E-03,1.54742708,0.819838856
1.525,+2.975851E-03,1.52248827,0.819768225
1.5,+2.824624E-03,1.4974983,0.819685457
1.475,+2.680220E-03,1.47255655,0.819696596
1.45,+2.543770E-03,1.44758102,0.819662142
1.425,+2.414623E-03,1.42263483,0.819710784
1.4,+2.293339E-03,1.39765991,0.819601677
1.375,+2.179065E-03,1.37270369,0.81949382
1.35,+2.068821E-03,1.34772135,0.819519984
1.325,+1.964470E-03,1.3227745,0.819554397
1.3,+1.863249E-03,1.29778595,0.819572613
1.275,+1.765487E-03,1.27284143,0.81944699
1.25,+1.669032E-03,1.24784373,0.819405806
1.225,+1.572618E-03,1.22289633,0.819419781
1.2,+1.476755E-03,1.19797736,0.81945647
1.175,+1.380690E-03,1.17299729,0.819521247
1.15,+1.285639E-03,1.14806164,0.819536883
1.125,+1.190625E-03,1.12307107,0.819591486
1.1,+1.096186E-03,1.0981349,0.819543199
1.075,+1.001738E-03,1.07317717,0.819521533
1.05,+9.077808E-04,1.04823798,0.819590168
1.025,+8.140131E-04,1.02327153,0.819568627
1.0,+7.200494E-04,0.998356266,0.819645541
