IL,ITOT,VOUT,VDROP,VISET
0.0001,+9.450740E-04,1.71893456,1.67985592,1.6801774999999999
0.0003,+1.140369E-03,1.71880146,1.62665252,1.6273175
0.0005,+1.334877E-03,1.71867535,1.57401097,1.5744574999999998
0.001,+1.816049E-03,1.71870181,1.44319844,1.4423074999999999
0.002,+2.772028E-03,1.71862889,1.18198255,1.1780074999999999
0.003,+3.725772E-03,1.71863461,0.921038428,0.9137074999999999
0.004,+4.677925E-03,1.71868841,0.660491395,0.6494074999999999
0.005,+5.630455E-03,1.71864449,0.39982555,0.38510749999999994
0.006,+6.586979E-03,1.71862033,0.138379539,0.12080749999999973
0.007,+7.539451E-03,1.71874203,-0.122196351,-0.14349250000000024
0.008,+8.490652E-03,1.7188304,-0.382256101,-0.4077925
0.009,+9.443169E-03,1.71882915,-0.642657578,-0.6720925
0.01,+1.039646E-02,1.71884181,-0.903175046,-0.9363925
