VIN,ITOT,VOUT,VDROP
1.8,+3.733205E-03,1.01501398,0.222833823
1.775,+3.713365E-03,1.0143488,0.222773969
1.75,+3.692801E-03,1.01376913,0.222686973
1.725,+3.670677E-03,1.01310544,0.222609475
1.7,+3.650025E-03,1.01237291,0.22252018
1.675,+3.629633E-03,1.01162785,0.222399275
1.65,+3.608772E-03,1.01090132,0.222296436
1.625,+3.588496E-03,1.01021897,0.222188401
1.6,+3.567851E-03,1.00951439,0.222059011
1.575,+3.547689E-03,1.00867029,0.221961262
1.55,+3.526453E-03,1.0078969,0.221854454
1.525,+3.506257E-03,1.0071573,0.22172505
1.5,+3.484515E-03,1.0063265,0.221638877
1.475,+3.464049E-03,1.00555019,0.221523045
1.45,+3.442241E-03,1.00477898,0.221418821
1.425,+3.421074E-03,1.00388442,0.221394005
1.4,+3.399841E-03,1.00281913,0.221178614
1.375,+3.376985E-03,1.0020169,0.221081558
1.35,+3.354305E-03,1.00103475,0.221002804
1.325,+3.331351E-03,1.00011273,0.220846182
1.3,+3.308268E-03,0.999265649,0.220736174
1.275,+3.283174E-03,0.998282844,0.220644657
1.25,+3.259495E-03,0.997334084,0.220527474
1.225,+3.232007E-03,0.996148768,0.22038354
1.2,+3.202015E-03,0.994817109,0.220302738
1.175,+3.169488E-03,0.99342966,0.220176545
1.15,+3.133922E-03,0.99167629,0.220124914
1.125,+3.093038E-03,0.989657828,0.219970063
1.1,+3.049992E-03,0.987119683,0.219861403
1.075,+3.003234E-03,0.984258905,0.219795548
1.05,+2.958309E-03,0.980898987,0.219668841
1.025,+2.919579E-03,0.977486787,0.219580444
1.0,+2.885994E-03,0.974034907,0.219475142
