IL,ITOT,VOUT,VDROP,VISET
0.0001,+8.589190E-04,1.10787553,-0.0105520734,1.0778454411764706
0.0003,+1.066001E-03,1.10616526,-0.0105600266,1.0249854411764707
0.0005,+1.283973E-03,1.10542757,-0.0105610023,0.9721254411764707
0.001,+1.807432E-03,1.10398018,-0.0105991924,0.8399754411764706
0.002,+2.820585E-03,1.10311168,-0.0106680306,0.5756754411764706
0.003,+3.820105E-03,1.10225435,-0.0107238673,0.31137544117647065
0.004,+4.817660E-03,1.10211155,-0.0107868205,0.04707544117647067
0.005,+5.810603E-03,1.10186456,-0.01084348,-0.2172245588235293
0.006,+6.797520E-03,1.10151322,-0.0109046291,-0.4815245588235293
0.007,+7.789012E-03,1.10154129,-0.0109639685,-0.7458245588235293
0.008,+8.779442E-03,1.10150744,-0.0110308552,-1.0101245588235295
0.009,+9.768801E-03,1.1011038,-0.0110923518,-1.2744245588235295
0.01,+1.049988E-02,1.10021863,-0.0111521943,-1.5387245588235294
