IL,ITOT,VOUT,VDROP
0.0001,+4.164429E-03,1.69541459,0.808871897
0.0003,+4.351080E-03,1.69560565,0.756701893
0.0005,+4.546466E-03,1.69558057,0.704578252
0.001,+5.041278E-03,1.69559041,0.574234316
0.002,+6.031564E-03,1.69557367,0.313513639
0.003,+7.024003E-03,1.69579457,0.0520347041
0.004,+8.012871E-03,1.69595594,-0.208493421
0.005,+8.998984E-03,1.69597561,-0.468317311
0.006,+9.988441E-03,1.69620186,-0.728944397
0.007,+1.049988E-02,1.65102928,-0.989581226
0.008,+1.049988E-02,1.49124241,-1.2502437
0.009,+1.049988E-02,1.29505259,-1.51064311
0.01,+1.049987E-02,1.05744429,-1.7712915
