IL,ITOT,VOUT,VDROP
0.0001,+9.163882E-04,0.997923378,0.957890831
0.0003,+1.120588E-03,0.99741915,0.905739716
0.0005,+1.323835E-03,0.997267354,0.853560028
0.001,+1.825527E-03,0.99718476,0.723124725
0.002,+2.821793E-03,0.996951763,0.462305165
0.003,+3.816131E-03,0.996832809,0.20069264
0.004,+4.806301E-03,0.996900095,-0.0600929222
0.005,+5.790003E-03,0.996685813,-0.320036152
0.006,+6.784045E-03,0.996981624,-0.580839355
0.007,+7.773353E-03,0.997320191,-0.841702625
0.008,+8.760849E-03,0.997124572,-1.10251388
0.009,+9.750620E-03,0.997160459,-1.36310485
0.01,+1.049987E-02,0.996521615,-1.62395024
