IL,ITOT,VOUT,VDROP,VISET
0.0001,+8.880807E-04,0.698901642,0.66081777,0.6762907352941177
0.0003,+1.098318E-03,0.698343387,0.608678255,0.6234307352941176
0.0005,+1.305337E-03,0.69792982,0.556515935,0.5705707352941176
0.001,+1.808526E-03,0.697866013,0.426095246,0.43842073529411757
0.002,+2.810982E-03,0.697708083,0.164424052,0.17412073529411753
0.003,+3.801989E-03,0.697530294,-0.0963157454,-0.09017926470588244
0.004,+4.790654E-03,0.697627522,-0.356371861,-0.35447926470588254
0.005,+5.782658E-03,0.697462486,-0.616999002,-0.6187792647058825
0.006,+6.772965E-03,0.697636694,-0.87772004,-0.8830792647058825
0.007,+7.762082E-03,0.697619533,-1.13849709,-1.1473792647058825
0.008,+8.750991E-03,0.69762466,-1.39926339,-1.4116792647058827
0.009,+9.741541E-03,0.697893712,-1.66005449,-1.6759792647058827
0.01,+1.049987E-02,0.697245572,-1.92057555,-1.9402792647058826
