IL,ITOT,VOUT,VDROP,VISET
0.0001,+6.675632E-05,1.52636252,1.53794934,1.5295944852941177
0.0003,+9.241515E-05,1.4812495,1.48521809,1.4767344852941178
0.0005,+2.687717E-04,1.47696153,1.43257738,1.4238744852941176
0.001,+7.397338E-04,1.47460593,1.30112102,1.2917244852941177
0.002,+1.693145E-03,1.47243592,1.03843568,1.0274244852941177
0.003,+2.648316E-03,1.47130439,0.775945454,0.7631244852941176
0.004,+3.603830E-03,1.47021692,0.513902473,0.4988244852941177
0.005,+4.563786E-03,1.46937055,0.250812518,0.23452448529411773
0.006,+5.522673E-03,1.46866471,-0.0113732072,-0.029775514705882244
0.007,+6.480290E-03,1.46803927,-0.273033941,-0.2940755147058822
0.008,+7.439428E-03,1.46755933,-0.535357043,-0.5583755147058824
0.009,+8.399654E-03,1.46704766,-0.79745717,-0.8226755147058824
0.01,+9.361483E-03,1.46643127,-1.05971475,-1.0869755147058824
