VIN,ITOT,VOUT,VDROP
1.8,+3.381883E-03,1.39725106,0.600080065
1.775,+3.332362E-03,1.39701112,0.600083029
1.75,+3.285275E-03,1.39682467,0.60007066
1.725,+3.242052E-03,1.39660766,0.600052426
1.7,+3.202177E-03,1.39645095,0.60006526
1.675,+3.167917E-03,1.3963487,0.600073611
1.65,+3.138834E-03,1.39620209,0.600064801
1.625,+3.115630E-03,1.39606725,0.600062204
1.6,+3.098003E-03,1.39598397,0.600081151
1.575,+3.085016E-03,1.39595842,0.600073268
1.55,+3.075372E-03,1.39588245,0.600057191
1.525,+3.068863E-03,1.39589916,0.600053123
1.5,+3.064119E-03,1.39584323,0.600046846
1.475,+3.060108E-03,1.39581242,0.600088136
1.45,+3.057125E-03,1.39571551,0.600065379
1.425,+3.054037E-03,1.39549404,0.600054124
1.4,+3.021203E-03,1.38725848,0.600058598
1.375,+2.925619E-03,1.36244928,0.600064422
1.35,+2.830031E-03,1.33754901,0.600035821
1.325,+2.734760E-03,1.31267211,0.600043957
1.3,+2.639114E-03,1.28776377,0.600087008
1.275,+2.543950E-03,1.26288224,0.6000814
1.25,+2.448396E-03,1.23798211,0.600067032
1.225,+2.353123E-03,1.21310334,0.600059577
1.2,+2.257904E-03,1.18823716,0.60007167
1.175,+2.162595E-03,1.16333004,0.600035155
1.15,+2.067378E-03,1.13845767,0.600080283
1.125,+1.971984E-03,1.11353368,0.600050778
1.1,+1.876873E-03,1.08865447,0.600057232
1.075,+1.781426E-03,1.06376619,0.600044814
1.05,+1.686399E-03,1.03890464,0.600036809
1.025,+1.591154E-03,1.01400107,0.600039093
1.0,+1.495864E-03,0.989135818,0.600056779
