VIN,ITOT,VOUT,VDROP
1.8,+3.813814E-03,1.3995618,0.599553566
1.775,+3.797091E-03,1.39945676,0.59955986
1.75,+3.779552E-03,1.39943605,0.599554158
1.725,+3.764092E-03,1.39881941,0.599545494
1.7,+3.747695E-03,1.39859276,0.599587443
1.675,+3.733811E-03,1.39848528,0.599535396
1.65,+3.712037E-03,1.39780467,0.599563073
1.625,+3.699256E-03,1.3980555,0.599568374
1.6,+3.680758E-03,1.39757898,0.599553986
1.575,+3.665964E-03,1.39772918,0.59954662
1.55,+3.649168E-03,1.39759077,0.599572076
1.525,+3.631507E-03,1.3975179,0.599577753
1.5,+3.613733E-03,1.39698017,0.599568075
1.475,+3.596367E-03,1.39679942,0.599573489
1.45,+3.578966E-03,1.3968357,0.599566278
1.425,+3.559529E-03,1.39636357,0.59952319
1.4,+3.516247E-03,1.38892164,0.599556196
1.375,+3.364511E-03,1.36408802,0.599551597
1.35,+3.213176E-03,1.3391985,0.599572038
1.325,+3.064891E-03,1.31430968,0.59956132
1.3,+2.919863E-03,1.28939038,0.599567483
1.275,+2.780688E-03,1.26451461,0.599561947
1.25,+2.645981E-03,1.23959972,0.599558176
1.225,+2.517250E-03,1.21470578,0.59953768
1.2,+2.393878E-03,1.1898092,0.599517251
1.175,+2.275301E-03,1.16490782,0.599543846
1.15,+2.161653E-03,1.14002308,0.599522081
1.125,+2.051674E-03,1.11508309,0.599536123
1.1,+1.944963E-03,1.09017301,0.599536734
1.075,+1.840756E-03,1.0652607,0.599526232
1.05,+1.738628E-03,1.04036503,0.599562644
1.025,+1.637878E-03,1.01543471,0.599515992
1.0,+1.538328E-03,0.990549202,0.599578812
