VIN,ITOT,VOUT,VDROP
1.8,+3.581643E-03,1.03689194,0.200997101
1.775,+3.546607E-03,1.03548025,0.20100663
1.75,+3.463367E-03,1.03353812,0.201001829
1.725,+3.417770E-03,1.03162174,0.20099803
1.7,+3.430733E-03,1.02925988,0.201000165
1.675,+3.449862E-03,1.02644245,0.200999462
1.65,+3.358150E-03,1.02337858,0.200990127
1.625,+3.375135E-03,1.02022234,0.200989096
1.6,+3.308561E-03,1.01663782,0.200996941
1.575,+3.300850E-03,1.01234374,0.200986502
1.55,+3.279462E-03,1.00717216,0.200988919
1.525,+3.271285E-03,1.00255461,0.201000264
1.5,+3.363458E-03,0.998257497,0.201019671
1.475,+3.316327E-03,0.998334339,0.201020497
1.45,+3.270731E-03,0.998383103,0.201001166
1.425,+3.226996E-03,0.998380485,0.201002255
1.4,+3.187570E-03,0.998502616,0.201024673
1.375,+3.154112E-03,0.998674343,0.201031271
1.35,+3.127219E-03,0.998898296,0.201043272
1.325,+3.107995E-03,0.999210602,0.20103791
1.3,+3.094457E-03,0.999524387,0.201022776
1.275,+3.086474E-03,0.999873176,0.201025771
1.25,+3.081623E-03,1.00018152,0.201026288
1.225,+3.077308E-03,1.00015397,0.201041333
1.2,+3.075451E-03,1.00030464,0.201019071
1.175,+3.073418E-03,1.00051471,0.201030386
1.15,+3.071689E-03,1.00046995,0.201022004
1.125,+3.069912E-03,1.00040295,0.201026772
1.1,+3.067261E-03,1.00016494,0.201031785
1.075,+3.063682E-03,0.999425607,0.201031359
1.05,+3.055093E-03,0.997731916,0.201030709
1.025,+3.039013E-03,0.993868493,0.201029772
1.0,+2.998499E-03,0.983652963,0.201040128
