IL,ITOT,VOUT,VDROP,VISET
0.0001,+2.695822E-04,1.4991326,1.45805894,1.4794001470588236
0.0003,+4.652774E-04,1.49897539,1.40567057,1.4265401470588235
0.0005,+6.629517E-04,1.49883492,1.35331682,1.3736801470588236
0.001,+1.157832E-03,1.49866573,1.22257979,1.2415301470588234
0.002,+2.149496E-03,1.49859849,0.960754829,0.9772301470588235
0.003,+3.141501E-03,1.49855833,0.698933552,0.7129301470588235
0.004,+4.133327E-03,1.49839493,0.437123526,0.4486301470588234
0.005,+5.127857E-03,1.49821856,0.174566714,0.18433014705882345
0.006,+6.119817E-03,1.49832535,-0.0870984446,-0.07996985294117676
0.007,+7.108104E-03,1.49826004,-0.348025364,-0.34426985294117673
0.008,+8.100152E-03,1.49829934,-0.60981002,-0.6085698529411765
0.009,+9.091532E-03,1.4982184,-0.871544509,-0.8728698529411765
0.01,+1.008335E-02,1.49822214,-1.13327428,-1.137169852941177
