VIN,ITOT,VOUT,VDROP
1.8,+3.250853E-03,1.39814209,0.599446157
1.775,+3.208206E-03,1.39814065,0.599478167
1.75,+3.173702E-03,1.39828011,0.599482052
1.725,+3.147958E-03,1.39840423,0.599483512
1.7,+3.130313E-03,1.39863673,0.599482633
1.675,+3.118800E-03,1.39885186,0.59946621
1.65,+3.111358E-03,1.39910418,0.599488642
1.625,+3.107409E-03,1.39927667,0.599505728
1.6,+3.104739E-03,1.39977535,0.59950807
1.575,+3.103386E-03,1.39977927,0.599504531
1.55,+3.102056E-03,1.39990361,0.599511939
1.525,+3.100138E-03,1.3998867,0.599503842
1.5,+3.097401E-03,1.39956797,0.599489366
1.475,+3.092736E-03,1.39873866,0.599484148
1.45,+3.083407E-03,1.39674147,0.599471318
1.425,+3.065672E-03,1.39249496,0.599494191
1.4,+3.027042E-03,1.38277799,0.599506494
