"VOUT_LINE (Temp=0,VREF_LINE=0.05) X","VOUT_LINE (Temp=0,VREF_LINE=0.05) Y","VOUT_LINE (Temp=0,VREF_LINE=0.25) X","VOUT_LINE (Temp=0,VREF_LINE=0.25) Y","VOUT_LINE (Temp=0,VREF_LINE=0.45) X","VOUT_LINE (Temp=0,VREF_LINE=0.45) Y","VOUT_LINE (Temp=0,VREF_LINE=0.65) X","VOUT_LINE (Temp=0,VREF_LINE=0.65) Y","VOUT_LINE (Temp=0,VREF_LINE=0.85) X","VOUT_LINE (Temp=0,VREF_LINE=0.85) Y","VOUT_LINE (Temp=27,VREF_LINE=0.05) X","VOUT_LINE (Temp=27,VREF_LINE=0.05) Y","VOUT_LINE (Temp=27,VREF_LINE=0.25) X","VOUT_LINE (Temp=27,VREF_LINE=0.25) Y","VOUT_LINE (Temp=27,VREF_LINE=0.45) X","VOUT_LINE (Temp=27,VREF_LINE=0.45) Y","VOUT_LINE (Temp=27,VREF_LINE=0.65) X","VOUT_LINE (Temp=27,VREF_LINE=0.65) Y","VOUT_LINE (Temp=27,VREF_LINE=0.85) X","VOUT_LINE (Temp=27,VREF_LINE=0.85) Y","VOUT_LINE (Temp=125,VREF_LINE=0.05) X","VOUT_LINE (Temp=125,VREF_LINE=0.05) Y","VOUT_LINE (Temp=125,VREF_LINE=0.25) X","VOUT_LINE (Temp=125,VREF_LINE=0.25) Y","VOUT_LINE (Temp=125,VREF_LINE=0.45) X","VOUT_LINE (Temp=125,VREF_LINE=0.45) Y","VOUT_LINE (Temp=125,VREF_LINE=0.65) X","VOUT_LINE (Temp=125,VREF_LINE=0.65) Y","VOUT_LINE (Temp=125,VREF_LINE=0.85) X","VOUT_LINE (Temp=125,VREF_LINE=0.85) Y","VOUT_LINE (Temp=-55,VREF_LINE=0.05) X","VOUT_LINE (Temp=-55,VREF_LINE=0.05) Y","VOUT_LINE (Temp=-55,VREF_LINE=0.25) X","VOUT_LINE (Temp=-55,VREF_LINE=0.25) Y","VOUT_LINE (Temp=-55,VREF_LINE=0.45) X","VOUT_LINE (Temp=-55,VREF_LINE=0.45) Y","VOUT_LINE (Temp=-55,VREF_LINE=0.65) X","VOUT_LINE (Temp=-55,VREF_LINE=0.65) Y","VOUT_LINE (Temp=-55,VREF_LINE=0.85) X","VOUT_LINE (Temp=-55,VREF_LINE=0.85) Y","VOUT_LINE (Temp=-100,VREF_LINE=0.05) X","VOUT_LINE (Temp=-100,VREF_LINE=0.05) Y","VOUT_LINE (Temp=-100,VREF_LINE=0.25) X","VOUT_LINE (Temp=-100,VREF_LINE=0.25) Y","VOUT_LINE (Temp=-100,VREF_LINE=0.45) X","VOUT_LINE (Temp=-100,VREF_LINE=0.45) Y","VOUT_LINE (Temp=-100,VREF_LINE=0.65) X","VOUT_LINE (Temp=-100,VREF_LINE=0.65) Y","VOUT_LINE (Temp=-100,VREF_LINE=0.85) X","VOUT_LINE (Temp=-100,VREF_LINE=0.85) Y"
0,-2.165122564726499,0,-2.164973041708113,0,-2.164827852446536,0,-2.164768754903702,0,-2.164698667238851,0,-2.702907777315689,0,-2.702821212801532,0,-2.702714886179621,0,-2.702645965577021,0,-2.702605497987656,0,-4.84171966754067,0,-4.841719436239122,0,-4.84171861283525,0,-4.841718109515718,0,-4.841768912060511,0,-1.77674797842082,0,-1.776312147580169,0,-1.775955756519461,0,-1.77577765271584,0,-1.775663241542779,0,-2.037500348087496,0,-2.037064333196259,0,-2.036805806054315,0,-2.03664337337728,0,-2.036581651591214
0.001,-2.157455131737171,0.001,-2.157268171684132,0.001,-2.157121582813771,0.001,-2.157037955169,0.001,-2.156991152159341,0.001,-2.694238527033518,0.001,-2.69413708540414,0.001,-2.694027346770172,0.001,-2.693958381431514,0.001,-2.693918875417375,0.001,-4.840657716335529,0.001,-4.840657543899244,0.001,-4.840656898088457,0.001,-4.840656507645539,0.001,-4.840656242361444,0.001,-1.775593525486436,0.001,-1.775153268096665,0.001,-1.774795635456854,0.001,-1.774617102387292,0.001,-1.774502348784869,0.001,-2.036502920936742,0.001,-2.036065856640924,0.001,-2.035806607457051,0.001,-2.035677044007335,0.001,-2.035582114105706
0.002,-2.149866218104226,0.002,-2.149677939074626,0.002,-2.149530042834274,0.002,-2.149445638426631,0.002,-2.14939833218182,0.002,-2.68559964589531,0.002,-2.685497273978345,0.002,-2.685386659939819,0.002,-2.685317424155543,0.002,-2.685278101515726,0.002,-4.839598297913374,0.002,-4.839598173944537,0.002,-4.839597690684048,0.002,-4.839597408093518,0.002,-4.839597220576071,0.002,-1.774446982169277,0.002,-1.774007272447647,0.002,-1.773648528800579,0.002,-1.77346952196443,0.002,-1.773354454628207,0.002,-2.035505485525566,0.002,-2.035068556577102,0.002,-2.03480831825323,0.002,-2.034678643475493,0.002,-2.034583466722242
0.003,-2.142355618156095,0.003,-2.142166338562689,0.003,-2.142017134870665,0.003,-2.141931918191316,0.003,-2.141884139797625,0.003,-2.67699258637317,0.003,-2.676889451240943,0.003,-2.676777967005449,0.003,-2.676708465857166,0.003,-2.67666934041981,0.003,-4.838540491874141,0.003,-4.838540409553286,0.003,-4.838540078081275,0.003,-4.83853990014098,0.003,-4.83853979221553,0.003,-1.773307961144537,0.003,-1.772868811685447,0.003,-1.772508973361647,0.003,-1.772329495660125,0.003,-1.772214116853905,0.003,-2.03450804225352,0.003,-2.034071264379767,0.003,-2.033810033669249,0.003,-2.033680154269648,0.003,-2.033584820890467
0.004,-2.134924477587884,0.004,-2.134734240639687,0.004,-2.134583725435336,0.004,-2.134497691734045,0.004,-2.134449440962159,0.004,-2.668418814490069,0.004,-2.66831492319618,0.004,-2.668202568732161,0.004,-2.668132808492314,0.004,-2.668093899601943,0.004,-4.83748425225164,0.004,-4.837484204713941,0.004,-4.837484014220248,0.004,-4.837483937777219,0.004,-4.837483908945591,0.004,-1.772176093028064,0.004,-1.771737523397638,0.004,-1.771376591679012,0.004,-1.771196646639808,0.004,-1.771080962646005,0.004,-2.033510591102937,0.004,-2.033073975422135,0.004,-2.032811755620355,0.004,-2.032681667295399,0.004,-2.032586182612829
0.005,-2.127573909715117,0.005,-2.127382755213369,0.005,-2.127230927033886,0.005,-2.127144074650181,0.005,-2.127095347569843,0.005,-2.659879807897584,0.005,-2.659775169382883,0.005,-2.659661940835306,0.005,-2.659591933558096,0.005,-2.659553258447004,0.005,-4.836429534437466,0.005,-4.836429514932737,0.005,-4.836429454468601,0.005,-4.836429476401825,0.005,-4.836429526196918,0.005,-1.771051025702999,0.005,-1.770613041889139,0.005,-1.770251032717504,0.005,-1.770070637064396,0.005,-1.769954641191176,0.005,-2.032513132107322,0.005,-2.032076698542159,0.005,-2.031813477779014,0.005,-2.031683186679785,0.005,-2.031587546023379
0.006,-2.120304993116897,0.006,-2.120112964407646,0.006,-2.119959821945445,0.006,-2.119872146065934,0.006,-2.119822942955346,0.006,-2.651377054585174,0.006,-2.651271675148552,0.006,-2.651157574688937,0.006,-2.651087325872607,0.006,-2.651048906526585,0.006,-4.835376295009954,0.006,-4.835376296722691,0.006,-4.835376355203906,0.006,-4.835376472500363,0.006,-4.83537660044082,0.006,-1.769928575367798,0.006,-1.769495043925669,0.006,-1.769131962155037,0.006,-1.768951105730549,0.006,-1.768834810147938,0.006,-2.031515665213579,0.006,-2.031079424670356,0.006,-2.03081520219784,0.006,-2.030684697705215,0.006,-2.030588909798708
0.007,-2.11311876930719,0.007,-2.11292590714912,0.007,-2.112771450742633,0.007,-2.112682952603497,0.007,-2.112633271798113,0.007,-2.642912051561588,0.007,-2.642805941151567,0.007,-2.642690969578617,0.007,-2.642620487715109,0.007,-2.64258234303814,0.007,-4.834324491583079,0.007,-4.834324507769232,0.007,-4.834324674025177,0.007,-4.834324883654771,0.007,-4.834325089281876,0.007,-1.768816278179757,0.007,-1.768383195039821,0.007,-1.768019057188863,0.007,-1.767837744486851,0.007,-1.767721149673294,0.007,-2.030518003862663,0.007,-2.030082158445918,0.007,-2.02981693071987,0.007,-2.029686220934637,0.007,-2.02959026786992
0.008,-2.105974051376702,0.008,-2.105822593206137,0.008,-2.105666821164867,0.008,-2.10557749617495,0.008,-2.10552733754396,0.008,-2.634466328378399,0.008,-2.634379472957904,0.008,-2.634263628795545,0.008,-2.634192924666343,0.008,-2.63415507572905,0.008,-4.833274082966585,0.008,-4.833274106846156,0.008,-4.833274369532374,0.008,-4.833274668560061,0.008,-4.833274951409066,0.008,-1.76770980918135,0.008,-1.767277207399882,0.008,-1.766912014565152,0.008,-1.766730256442376,0.008,-1.766613361628353,0.008,-2.029520307943587,0.008,-2.029084899506217,0.008,-2.028818661471704,0.008,-2.028687745413999,0.008,-2.02859164674373
0.009000000000000001,-2.098955402030994,0.009000000000000001,-2.098803983534193,0.009000000000000001,-2.098646896740914,0.009000000000000001,-2.098556741768502,0.009000000000000001,-2.098506104018431,0.009000000000000001,-2.626080393426646,0.009000000000000001,-2.625993781248348,0.009000000000000001,-2.625877066130027,0.009000000000000001,-2.625806146847986,0.009000000000000001,-2.625768616552224,0.009000000000000001,-4.832225028907696,0.009000000000000001,-4.832225053818261,0.009000000000000001,-4.832225401408915,0.009000000000000001,-4.832225786920943,0.009000000000000001,-4.832226146561063,0.009000000000000001,-1.766608887696035,0.009000000000000001,-1.76617678277133,0.009000000000000001,-1.765810550543939,0.009000000000000001,-1.765628332777228,0.009000000000000001,-1.765511145376627,0.009000000000000001,-2.028522608557563,0.009000000000000001,-2.028087648410059,0.009000000000000001,-2.027820402450812,0.009000000000000001,-2.027689279516697,0.009000000000000001,-2.027593024019459
