"VOUT_LINE (Temp=0,VREF_LINE=0.05) X","VOUT_LINE (Temp=0,VREF_LINE=0.05) Y","VOUT_LINE (Temp=0,VREF_LINE=0.25) X","VOUT_LINE (Temp=0,VREF_LINE=0.25) Y","VOUT_LINE (Temp=0,VREF_LINE=0.45) X","VOUT_LINE (Temp=0,VREF_LINE=0.45) Y","VOUT_LINE (Temp=0,VREF_LINE=0.65) X","VOUT_LINE (Temp=0,VREF_LINE=0.65) Y","VOUT_LINE (Temp=0,VREF_LINE=0.85) X","VOUT_LINE (Temp=0,VREF_LINE=0.85) Y","VOUT_LINE (Temp=27,VREF_LINE=0.05) X","VOUT_LINE (Temp=27,VREF_LINE=0.05) Y","VOUT_LINE (Temp=27,VREF_LINE=0.25) X","VOUT_LINE (Temp=27,VREF_LINE=0.25) Y","VOUT_LINE (Temp=27,VREF_LINE=0.45) X","VOUT_LINE (Temp=27,VREF_LINE=0.45) Y","VOUT_LINE (Temp=27,VREF_LINE=0.65) X","VOUT_LINE (Temp=27,VREF_LINE=0.65) Y","VOUT_LINE (Temp=27,VREF_LINE=0.85) X","VOUT_LINE (Temp=27,VREF_LINE=0.85) Y","VOUT_LINE (Temp=125,VREF_LINE=0.05) X","VOUT_LINE (Temp=125,VREF_LINE=0.05) Y","VOUT_LINE (Temp=125,VREF_LINE=0.25) X","VOUT_LINE (Temp=125,VREF_LINE=0.25) Y","VOUT_LINE (Temp=125,VREF_LINE=0.45) X","VOUT_LINE (Temp=125,VREF_LINE=0.45) Y","VOUT_LINE (Temp=125,VREF_LINE=0.65) X","VOUT_LINE (Temp=125,VREF_LINE=0.65) Y","VOUT_LINE (Temp=125,VREF_LINE=0.85) X","VOUT_LINE (Temp=125,VREF_LINE=0.85) Y","VOUT_LINE (Temp=-55,VREF_LINE=0.05) X","VOUT_LINE (Temp=-55,VREF_LINE=0.05) Y","VOUT_LINE (Temp=-55,VREF_LINE=0.25) X","VOUT_LINE (Temp=-55,VREF_LINE=0.25) Y","VOUT_LINE (Temp=-55,VREF_LINE=0.45) X","VOUT_LINE (Temp=-55,VREF_LINE=0.45) Y","VOUT_LINE (Temp=-55,VREF_LINE=0.65) X","VOUT_LINE (Temp=-55,VREF_LINE=0.65) Y","VOUT_LINE (Temp=-55,VREF_LINE=0.85) X","VOUT_LINE (Temp=-55,VREF_LINE=0.85) Y","VOUT_LINE (Temp=-100,VREF_LINE=0.05) X","VOUT_LINE (Temp=-100,VREF_LINE=0.05) Y","VOUT_LINE (Temp=-100,VREF_LINE=0.25) X","VOUT_LINE (Temp=-100,VREF_LINE=0.25) Y","VOUT_LINE (Temp=-100,VREF_LINE=0.45) X","VOUT_LINE (Temp=-100,VREF_LINE=0.45) Y","VOUT_LINE (Temp=-100,VREF_LINE=0.65) X","VOUT_LINE (Temp=-100,VREF_LINE=0.65) Y","VOUT_LINE (Temp=-100,VREF_LINE=0.85) X","VOUT_LINE (Temp=-100,VREF_LINE=0.85) Y"
0,-2.157819923097386,0,-2.156519176617092,0,-2.15713119419476,0,-2.15659143008522,0,-2.155197135976562,0,-2.696251006139847,0,-2.694946540159396,0,-2.696400242893239,0,-2.694377533535534,0,-2.693960455485995,0,-4.849230141327218,0,-4.849229921378822,0,-4.849229122318395,0,-4.849228619360973,0,-4.849228269522258,0,-1.771589234684497,0,-1.77085485641743,0,-1.771071929122728,0,-1.770084798013002,0,-1.769921895669198,0,-2.031634398104507,0,-2.030848054223768,0,-2.030212083557879,0,-2.030912143015124,0,-2.029721225417587
0.001,-2.149114022992287,0.001,-2.14888745499436,0.001,-2.148611732013836,0.001,-2.148254492415589,0.001,-2.147583940928664,0.001,-2.686377794058503,0.001,-2.686262925120756,0.001,-2.686072862861749,0.001,-2.685716910383682,0.001,-2.685335784213477,0.001,-4.848169455158171,0.001,-4.848169290033303,0.001,-4.848168671141248,0.001,-4.848168290871101,0.001,-4.848168030853193,0.001,-1.770442472732466,0.001,-1.769709108606552,0.001,-1.768956197094665,0.001,-1.768493891651795,0.001,-1.768217733162509,0.001,-2.030639929749346,0.001,-2.029855626072362,0.001,-2.029238323174455,0.001,-2.028931966342989,0.001,-2.028726971519592
0.002,-2.141560750252617,0.002,-2.141333630436291,0.002,-2.141056123081401,0.002,-2.140702040918556,0.002,-2.140048661056369,0.002,-2.677727599958839,0.002,-2.67761271416521,0.002,-2.67742248309516,0.002,-2.677088005763224,0.002,-2.676742861067567,0.002,-4.847110417269861,0.002,-4.847110300235545,0.002,-4.847109849568483,0.002,-4.847109587753895,0.002,-4.847109418220362,0.002,-1.769303421697782,0.002,-1.768570255737963,0.002,-1.767816468763064,0.002,-1.767353346942236,0.002,-1.767076680355212,0.002,-2.02964715936235,0.002,-2.028863016475741,0.002,-2.028244758703627,0.002,-2.027938032923684,0.002,-2.027732724288354
0.003,-2.134086492645586,0.003,-2.133858855622926,0.003,-2.133579561048213,0.003,-2.133228594142482,0.003,-2.132592445177167,0.003,-2.669110512267355,0.003,-2.668995625692093,0.003,-2.668805222362507,0.003,-2.668492271446402,0.003,-2.668183126350272,0.003,-4.846052980533646,0.003,-4.84605290439555,0.003,-4.846052610262888,0.003,-4.846052462895939,0.003,-4.846052382943798,0.003,-1.768171701947702,0.003,-1.767438764216568,0.003,-1.766684125261244,0.003,-1.7662201985894,0.003,-1.765943030374547,0.003,-2.028654387814625,0.003,-2.027870410907004,0.003,-2.027251197833709,0.003,-2.026944103167444,0.003,-2.026738481117444
0.004,-2.12669237361744,0.004,-2.126464254824545,0.004,-2.12618317115554,0.004,-2.125835278521078,0.004,-2.12521641381067,0.004,-2.660527999427099,0.004,-2.660413128725134,0.004,-2.660222549691095,0.004,-2.659931172256828,0.004,-2.659658033723133,0.004,-4.844997099452464,0.004,-4.844997057029296,0.004,-4.844996907655926,0.004,-4.844996870809229,0.004,-4.844996879540962,0.004,-1.76704695275707,0.004,-1.766314272501914,0.004,-1.765558803888297,0.004,-1.765094083457147,0.004,-1.764816419576589,0.004,-2.027661615039551,0.004,-2.026877809270672,0.004,-2.026257641166503,0.004,-2.025950176859389,0.004,-2.025744242082858
0.005,-2.119379483105189,0.005,-2.119150919002668,0.005,-2.118868045162948,0.005,-2.11852318708832,0.005,-2.117921654252473,0.005,-2.651981540832397,0.005,-2.651866702873647,0.005,-2.651675945220012,0.005,-2.651406183602779,0.005,-2.651169047573657,0.005,-4.843942729694323,0.005,-4.843942713821513,0.005,-4.843942697338893,0.005,-4.843942767161486,0.005,-4.843942863686685,0.005,-1.765928830386344,0.005,-1.765196435990873,0.005,-1.764440159133738,0.005,-1.763974655411429,0.005,-1.763696501673446,0.005,-2.026668840909205,0.005,-2.025885211606328,0.005,-2.025264088591927,0.005,-2.024956254074051,0.005,-2.024750007000134
0.006,-2.1121488753935,0.006,-2.111919903467416,0.006,-2.111635239205353,0.006,-2.111293377196361,0.006,-2.110709218256598,0.006,-2.64347262514558,0.006,-2.643357837023534,0.006,-2.643166898362386,0.006,-2.642918790161259,0.006,-2.64271764180093,0.006,-4.842889828065119,0.006,-4.842889831597438,0.006,-4.84288993602874,0.006,-4.842890108744576,0.006,-4.842890292181342,0.006,-1.764817007181695,0.006,-1.764084926445865,0.006,-1.76332786173873,0.006,-1.762861584668921,0.006,-1.762582946564879,0.006,-2.025676065391163,0.006,-2.024892617713164,0.006,-2.024270540083678,0.006,-2.023962334610368,0.006,-2.023755775886354
0.007,-2.105001566741935,0.007,-2.104772225520711,0.007,-2.104485771434865,0.007,-2.104146868269118,0.007,-2.103580119617767,0.007,-2.635002748984135,0.007,-2.63488802798748,0.007,-2.634696906484182,0.007,-2.634470484567077,0.007,-2.634305298446652,0.007,-4.841838352477969,0.007,-4.841838368291787,0.007,-4.841838581540795,0.007,-4.841838853447293,0.007,-4.841839122921364,0.007,-1.763711171096954,0.007,-1.762979430987266,0.007,-1.762221598093132,0.007,-1.761754557123814,0.007,-1.76147543988277,0.007,-2.024683288539676,0.007,-2.023900027676286,0.007,-2.02327699562247,0.007,-2.022968418576504,0.007,-2.022761548607185
0.008,-2.097938533079566,0.008,-2.097708862090218,0.008,-2.097420619614463,0.008,-2.097084639343909,0.008,-2.096535331887621,0.008,-2.626573415470546,0.008,-2.626458779093106,0.008,-2.62626747346181,0.008,-2.626062765990975,0.008,-2.625933506275666,0.008,-4.840788261923324,0.008,-4.840788282920552,0.008,-4.840788592759028,0.008,-4.840788960223986,0.008,-4.840789314869345,0.008,-1.762611024889878,0.008,-1.761879651856785,0.008,-1.761121069481285,0.008,-1.76065327357207,0.008,-1.760373682125924,0.008,-2.023690510208567,0.008,-2.022907441333224,0.008,-2.022283455086812,0.008,-2.021974505777608,0.008,-2.021767325342211
0.009000000000000001,-2.090960707594229,0.009000000000000001,-2.090730747347936,0.009000000000000001,-2.090440718826033,0.009000000000000001,-2.090107626763856,0.009000000000000001,-2.089575785953788,0.009000000000000001,-2.618186132807209,0.009000000000000001,-2.618071598736922,0.009000000000000001,-2.617880108225626,0.009000000000000001,-2.617697138683329,0.009000000000000001,-2.617603759341148,0.009000000000000001,-4.839739516443473,0.009000000000000001,-4.839739535552063,0.009000000000000001,-4.839739929606275,0.009000000000000001,-4.839740389067603,0.009000000000000001,-4.8397408280266,0.009000000000000001,-1.761516285473818,0.009000000000000001,-1.7607853053821,0.009000000000000001,-1.760025991425684,0.009000000000000001,-1.759557449121383,0.009000000000000001,-1.75927738813126,0.009000000000000001,-2.022697730333994,0.009000000000000001,-2.02191485870109,0.009000000000000001,-2.021289918567276,0.009000000000000001,-2.020980596236173,0.009000000000000001,-2.02077310578226
