"VOUT_LINE_VDD (Temp=0,VREF_LINE=0.05) X","VOUT_LINE_VDD (Temp=0,VREF_LINE=0.05) Y","VOUT_LINE_VDD (Temp=0,VREF_LINE=0.25) X","VOUT_LINE_VDD (Temp=0,VREF_LINE=0.25) Y","VOUT_LINE_VDD (Temp=0,VREF_LINE=0.45) X","VOUT_LINE_VDD (Temp=0,VREF_LINE=0.45) Y","VOUT_LINE_VDD (Temp=0,VREF_LINE=0.65) X","VOUT_LINE_VDD (Temp=0,VREF_LINE=0.65) Y","VOUT_LINE_VDD (Temp=0,VREF_LINE=0.85) X","VOUT_LINE_VDD (Temp=0,VREF_LINE=0.85) Y","VOUT_LINE_VDD (Temp=27,VREF_LINE=0.05) X","VOUT_LINE_VDD (Temp=27,VREF_LINE=0.05) Y","VOUT_LINE_VDD (Temp=27,VREF_LINE=0.25) X","VOUT_LINE_VDD (Temp=27,VREF_LINE=0.25) Y","VOUT_LINE_VDD (Temp=27,VREF_LINE=0.45) X","VOUT_LINE_VDD (Temp=27,VREF_LINE=0.45) Y","VOUT_LINE_VDD (Temp=27,VREF_LINE=0.65) X","VOUT_LINE_VDD (Temp=27,VREF_LINE=0.65) Y","VOUT_LINE_VDD (Temp=27,VREF_LINE=0.85) X","VOUT_LINE_VDD (Temp=27,VREF_LINE=0.85) Y","VOUT_LINE_VDD (Temp=125,VREF_LINE=0.05) X","VOUT_LINE_VDD (Temp=125,VREF_LINE=0.05) Y","VOUT_LINE_VDD (Temp=125,VREF_LINE=0.25) X","VOUT_LINE_VDD (Temp=125,VREF_LINE=0.25) Y","VOUT_LINE_VDD (Temp=125,VREF_LINE=0.45) X","VOUT_LINE_VDD (Temp=125,VREF_LINE=0.45) Y","VOUT_LINE_VDD (Temp=125,VREF_LINE=0.65) X","VOUT_LINE_VDD (Temp=125,VREF_LINE=0.65) Y","VOUT_LINE_VDD (Temp=125,VREF_LINE=0.85) X","VOUT_LINE_VDD (Temp=125,VREF_LINE=0.85) Y","VOUT_LINE_VDD (Temp=-55,VREF_LINE=0.05) X","VOUT_LINE_VDD (Temp=-55,VREF_LINE=0.05) Y","VOUT_LINE_VDD (Temp=-55,VREF_LINE=0.25) X","VOUT_LINE_VDD (Temp=-55,VREF_LINE=0.25) Y","VOUT_LINE_VDD (Temp=-55,VREF_LINE=0.45) X","VOUT_LINE_VDD (Temp=-55,VREF_LINE=0.45) Y","VOUT_LINE_VDD (Temp=-55,VREF_LINE=0.65) X","VOUT_LINE_VDD (Temp=-55,VREF_LINE=0.65) Y","VOUT_LINE_VDD (Temp=-55,VREF_LINE=0.85) X","VOUT_LINE_VDD (Temp=-55,VREF_LINE=0.85) Y","VOUT_LINE_VDD (Temp=-100,VREF_LINE=0.05) X","VOUT_LINE_VDD (Temp=-100,VREF_LINE=0.05) Y","VOUT_LINE_VDD (Temp=-100,VREF_LINE=0.25) X","VOUT_LINE_VDD (Temp=-100,VREF_LINE=0.25) Y","VOUT_LINE_VDD (Temp=-100,VREF_LINE=0.45) X","VOUT_LINE_VDD (Temp=-100,VREF_LINE=0.45) Y","VOUT_LINE_VDD (Temp=-100,VREF_LINE=0.65) X","VOUT_LINE_VDD (Temp=-100,VREF_LINE=0.65) Y","VOUT_LINE_VDD (Temp=-100,VREF_LINE=0.85) X","VOUT_LINE_VDD (Temp=-100,VREF_LINE=0.85) Y"
0,-2.165222564726499,0,-2.165073041708113,0,-2.164927852446536,0,-2.164868754903702,0,-2.164798667238851,0,-2.703007777315689,0,-2.702921212801531,0,-2.70281488617962,0,-2.702745965577021,0,-2.702705497987656,0,-4.84181966754067,0,-4.841819436239122,0,-4.84181861283525,0,-4.841818109515719,0,-4.841868912060511,0,-1.77684797842082,0,-1.776412147580169,0,-1.776055756519461,0,-1.77587765271584,0,-1.775763241542779,0,-2.037600348087496,0,-2.037164333196259,0,-2.036905806054315,0,-2.03674337337728,0,-2.036681651591215
0.001,-2.157555131737171,0.001,-2.157368171684132,0.001,-2.157221582813771,0.001,-2.157137955169,0.001,-2.157091152159341,0.001,-2.694338527033517,0.001,-2.69423708540414,0.001,-2.694127346770172,0.001,-2.694058381431514,0.001,-2.694018875417375,0.001,-4.840757716335529,0.001,-4.840757543899244,0.001,-4.840756898088457,0.001,-4.840756507645539,0.001,-4.840756242361444,0.001,-1.775693525486436,0.001,-1.775253268096665,0.001,-1.774895635456854,0.001,-1.774717102387292,0.001,-1.774602348784869,0.001,-2.036602920936741,0.001,-2.036165856640924,0.001,-2.035906607457051,0.001,-2.035777044007335,0.001,-2.035682114105706
0.002,-2.149966218104226,0.002,-2.149777939074625,0.002,-2.149630042834274,0.002,-2.149545638426631,0.002,-2.14949833218182,0.002,-2.685699645895311,0.002,-2.685597273978344,0.002,-2.685486659939819,0.002,-2.685417424155543,0.002,-2.685378101515726,0.002,-4.839698297913374,0.002,-4.839698173944536,0.002,-4.839697690684048,0.002,-4.839697408093517,0.002,-4.83969722057607,0.002,-1.774546982169277,0.002,-1.774107272447647,0.002,-1.773748528800578,0.002,-1.77356952196443,0.002,-1.773454454628207,0.002,-2.035605485525565,0.002,-2.035168556577102,0.002,-2.03490831825323,0.002,-2.034778643475493,0.002,-2.034683466722242
0.003,-2.142455618156094,0.003,-2.142266338562689,0.003,-2.142117134870665,0.003,-2.142031918191316,0.003,-2.141984139797625,0.003,-2.67709258637317,0.003,-2.676989451240943,0.003,-2.676877967005449,0.003,-2.676808465857166,0.003,-2.67676934041981,0.003,-4.83864049187414,0.003,-4.838640409553286,0.003,-4.838640078081275,0.003,-4.83863990014098,0.003,-4.838639792215529,0.003,-1.773407961144537,0.003,-1.772968811685447,0.003,-1.772608973361647,0.003,-1.772429495660125,0.003,-1.772314116853905,0.003,-2.034608042253521,0.003,-2.034171264379767,0.003,-2.033910033669248,0.003,-2.033780154269648,0.003,-2.033684820890468
0.004,-2.135024477587884,0.004,-2.134834240639687,0.004,-2.134683725435336,0.004,-2.134597691734045,0.004,-2.134549440962159,0.004,-2.668518814490069,0.004,-2.668414923196179,0.004,-2.668302568732161,0.004,-2.668232808492314,0.004,-2.668193899601942,0.004,-4.83758425225164,0.004,-4.837584204713941,0.004,-4.837584014220248,0.004,-4.837583937777219,0.004,-4.837583908945591,0.004,-1.772276093028064,0.004,-1.771837523397638,0.004,-1.771476591679012,0.004,-1.771296646639808,0.004,-1.771180962646005,0.004,-2.033610591102938,0.004,-2.033173975422135,0.004,-2.032911755620355,0.004,-2.032781667295399,0.004,-2.032686182612829
0.005,-2.127673909715117,0.005,-2.127482755213369,0.005,-2.127330927033886,0.005,-2.12724407465018,0.005,-2.127195347569843,0.005,-2.659979807897583,0.005,-2.659875169382883,0.005,-2.659761940835306,0.005,-2.659691933558096,0.005,-2.659653258447004,0.005,-4.836529534437465,0.005,-4.836529514932737,0.005,-4.836529454468601,0.005,-4.836529476401824,0.005,-4.836529526196918,0.005,-1.771151025702999,0.005,-1.770713041889139,0.005,-1.770351032717504,0.005,-1.770170637064396,0.005,-1.770054641191176,0.005,-2.032613132107322,0.005,-2.032176698542159,0.005,-2.031913477779014,0.005,-2.031783186679784,0.005,-2.03168754602338
0.006,-2.120404993116896,0.006,-2.120212964407645,0.006,-2.120059821945445,0.006,-2.119972146065934,0.006,-2.119922942955346,0.006,-2.651477054585174,0.006,-2.651371675148552,0.006,-2.651257574688937,0.006,-2.651187325872607,0.006,-2.651148906526585,0.006,-4.835476295009954,0.006,-4.835476296722691,0.006,-4.835476355203905,0.006,-4.835476472500362,0.006,-4.83547660044082,0.006,-1.770028575367798,0.006,-1.769595043925669,0.006,-1.769231962155037,0.006,-1.769051105730549,0.006,-1.768934810147938,0.006,-2.031615665213579,0.006,-2.031179424670356,0.006,-2.03091520219784,0.006,-2.030784697705215,0.006,-2.030688909798708
0.007,-2.113218769307191,0.007,-2.11302590714912,0.007,-2.112871450742632,0.007,-2.112782952603497,0.007,-2.112733271798112,0.007,-2.643012051561588,0.007,-2.642905941151567,0.007,-2.642790969578617,0.007,-2.642720487715108,0.007,-2.64268234303814,0.007,-4.834424491583079,0.007,-4.834424507769231,0.007,-4.834424674025176,0.007,-4.834424883654771,0.007,-4.834425089281877,0.007,-1.768916278179757,0.007,-1.768483195039821,0.007,-1.768119057188863,0.007,-1.767937744486851,0.007,-1.767821149673294,0.007,-2.030618003862663,0.007,-2.030182158445918,0.007,-2.029916930719871,0.007,-2.029786220934637,0.007,-2.02969026786992
0.008,-2.106074051376702,0.008,-2.105922593206137,0.008,-2.105766821164868,0.008,-2.10567749617495,0.008,-2.10562733754396,0.008,-2.634566328378399,0.008,-2.634479472957905,0.008,-2.634363628795545,0.008,-2.634292924666343,0.008,-2.63425507572905,0.008,-4.833374082966585,0.008,-4.833374106846156,0.008,-4.833374369532374,0.008,-4.833374668560061,0.008,-4.833374951409066,0.008,-1.76780980918135,0.008,-1.767377207399882,0.008,-1.767012014565152,0.008,-1.766830256442376,0.008,-1.766713361628353,0.008,-2.029620307943587,0.008,-2.029184899506217,0.008,-2.028918661471704,0.008,-2.028787745413999,0.008,-2.028691646743729
0.009000000000000001,-2.099055402030994,0.009000000000000001,-2.098903983534193,0.009000000000000001,-2.098746896740914,0.009000000000000001,-2.098656741768502,0.009000000000000001,-2.098606104018431,0.009000000000000001,-2.626180393426646,0.009000000000000001,-2.626093781248348,0.009000000000000001,-2.625977066130027,0.009000000000000001,-2.625906146847986,0.009000000000000001,-2.625868616552224,0.009000000000000001,-4.832325028907696,0.009000000000000001,-4.832325053818261,0.009000000000000001,-4.832325401408915,0.009000000000000001,-4.832325786920943,0.009000000000000001,-4.832326146561063,0.009000000000000001,-1.766708887696035,0.009000000000000001,-1.76627678277133,0.009000000000000001,-1.765910550543939,0.009000000000000001,-1.765728332777228,0.009000000000000001,-1.765611145376627,0.009000000000000001,-2.028622608557563,0.009000000000000001,-2.028187648410059,0.009000000000000001,-2.027920402450812,0.009000000000000001,-2.027789279516697,0.009000000000000001,-2.027693024019459
