"VOUT_LINE_VDD (Temp=0,VREF_LINE=0.05) X","VOUT_LINE_VDD (Temp=0,VREF_LINE=0.05) Y","VOUT_LINE_VDD (Temp=0,VREF_LINE=0.25) X","VOUT_LINE_VDD (Temp=0,VREF_LINE=0.25) Y","VOUT_LINE_VDD (Temp=0,VREF_LINE=0.45) X","VOUT_LINE_VDD (Temp=0,VREF_LINE=0.45) Y","VOUT_LINE_VDD (Temp=0,VREF_LINE=0.65) X","VOUT_LINE_VDD (Temp=0,VREF_LINE=0.65) Y","VOUT_LINE_VDD (Temp=0,VREF_LINE=0.85) X","VOUT_LINE_VDD (Temp=0,VREF_LINE=0.85) Y","VOUT_LINE_VDD (Temp=27,VREF_LINE=0.05) X","VOUT_LINE_VDD (Temp=27,VREF_LINE=0.05) Y","VOUT_LINE_VDD (Temp=27,VREF_LINE=0.25) X","VOUT_LINE_VDD (Temp=27,VREF_LINE=0.25) Y","VOUT_LINE_VDD (Temp=27,VREF_LINE=0.45) X","VOUT_LINE_VDD (Temp=27,VREF_LINE=0.45) Y","VOUT_LINE_VDD (Temp=27,VREF_LINE=0.65) X","VOUT_LINE_VDD (Temp=27,VREF_LINE=0.65) Y","VOUT_LINE_VDD (Temp=27,VREF_LINE=0.85) X","VOUT_LINE_VDD (Temp=27,VREF_LINE=0.85) Y","VOUT_LINE_VDD (Temp=125,VREF_LINE=0.05) X","VOUT_LINE_VDD (Temp=125,VREF_LINE=0.05) Y","VOUT_LINE_VDD (Temp=125,VREF_LINE=0.25) X","VOUT_LINE_VDD (Temp=125,VREF_LINE=0.25) Y","VOUT_LINE_VDD (Temp=125,VREF_LINE=0.45) X","VOUT_LINE_VDD (Temp=125,VREF_LINE=0.45) Y","VOUT_LINE_VDD (Temp=125,VREF_LINE=0.65) X","VOUT_LINE_VDD (Temp=125,VREF_LINE=0.65) Y","VOUT_LINE_VDD (Temp=125,VREF_LINE=0.85) X","VOUT_LINE_VDD (Temp=125,VREF_LINE=0.85) Y","VOUT_LINE_VDD (Temp=-55,VREF_LINE=0.05) X","VOUT_LINE_VDD (Temp=-55,VREF_LINE=0.05) Y","VOUT_LINE_VDD (Temp=-55,VREF_LINE=0.25) X","VOUT_LINE_VDD (Temp=-55,VREF_LINE=0.25) Y","VOUT_LINE_VDD (Temp=-55,VREF_LINE=0.45) X","VOUT_LINE_VDD (Temp=-55,VREF_LINE=0.45) Y","VOUT_LINE_VDD (Temp=-55,VREF_LINE=0.65) X","VOUT_LINE_VDD (Temp=-55,VREF_LINE=0.65) Y","VOUT_LINE_VDD (Temp=-55,VREF_LINE=0.85) X","VOUT_LINE_VDD (Temp=-55,VREF_LINE=0.85) Y","VOUT_LINE_VDD (Temp=-100,VREF_LINE=0.05) X","VOUT_LINE_VDD (Temp=-100,VREF_LINE=0.05) Y","VOUT_LINE_VDD (Temp=-100,VREF_LINE=0.25) X","VOUT_LINE_VDD (Temp=-100,VREF_LINE=0.25) Y","VOUT_LINE_VDD (Temp=-100,VREF_LINE=0.45) X","VOUT_LINE_VDD (Temp=-100,VREF_LINE=0.45) Y","VOUT_LINE_VDD (Temp=-100,VREF_LINE=0.65) X","VOUT_LINE_VDD (Temp=-100,VREF_LINE=0.65) Y","VOUT_LINE_VDD (Temp=-100,VREF_LINE=0.85) X","VOUT_LINE_VDD (Temp=-100,VREF_LINE=0.85) Y"
0,-2.157919923097386,0,-2.156619176617092,0,-2.15723119419476,0,-2.156691430085221,0,-2.155297135976562,0,-2.696351006139848,0,-2.695046540159395,0,-2.696500242893239,0,-2.694477533535534,0,-2.694060455485995,0,-4.849330141327218,0,-4.849329921378822,0,-4.849329122318395,0,-4.849328619360973,0,-4.849328269522258,0,-1.771689234684497,0,-1.77095485641743,0,-1.771171929122728,0,-1.770184798013002,0,-1.770021895669198,0,-2.031734398104507,0,-2.030948054223768,0,-2.030312083557879,0,-2.031012143015124,0,-2.029821225417587
0.001,-2.149214022992286,0.001,-2.14898745499436,0.001,-2.148711732013836,0.001,-2.148354492415589,0.001,-2.147683940928664,0.001,-2.686477794058503,0.001,-2.686362925120755,0.001,-2.686172862861749,0.001,-2.685816910383682,0.001,-2.685435784213476,0.001,-4.848269455158171,0.001,-4.848269290033302,0.001,-4.848268671141247,0.001,-4.848268290871101,0.001,-4.848268030853193,0.001,-1.770542472732466,0.001,-1.769809108606552,0.001,-1.769056197094665,0.001,-1.768593891651795,0.001,-1.768317733162509,0.001,-2.030739929749346,0.001,-2.029955626072363,0.001,-2.029338323174455,0.001,-2.029031966342989,0.001,-2.028826971519592
0.002,-2.141660750252617,0.002,-2.14143363043629,0.002,-2.141156123081401,0.002,-2.140802040918556,0.002,-2.140148661056369,0.002,-2.677827599958839,0.002,-2.67771271416521,0.002,-2.67752248309516,0.002,-2.677188005763225,0.002,-2.676842861067567,0.002,-4.847210417269861,0.002,-4.847210300235544,0.002,-4.847209849568483,0.002,-4.847209587753895,0.002,-4.847209418220362,0.002,-1.769403421697782,0.002,-1.768670255737963,0.002,-1.767916468763064,0.002,-1.767453346942236,0.002,-1.767176680355212,0.002,-2.02974715936235,0.002,-2.028963016475741,0.002,-2.028344758703628,0.002,-2.028038032923684,0.002,-2.027832724288353
0.003,-2.134186492645587,0.003,-2.133958855622927,0.003,-2.133679561048213,0.003,-2.133328594142482,0.003,-2.132692445177167,0.003,-2.669210512267354,0.003,-2.669095625692093,0.003,-2.668905222362507,0.003,-2.668592271446403,0.003,-2.668283126350272,0.003,-4.846152980533646,0.003,-4.84615290439555,0.003,-4.846152610262887,0.003,-4.846152462895938,0.003,-4.846152382943798,0.003,-1.768271701947702,0.003,-1.767538764216568,0.003,-1.766784125261244,0.003,-1.7663201985894,0.003,-1.766043030374547,0.003,-2.028754387814625,0.003,-2.027970410907005,0.003,-2.027351197833709,0.003,-2.027044103167444,0.003,-2.026838481117444
0.004,-2.12679237361744,0.004,-2.126564254824546,0.004,-2.12628317115554,0.004,-2.125935278521077,0.004,-2.125316413810669,0.004,-2.660627999427098,0.004,-2.660513128725134,0.004,-2.660322549691095,0.004,-2.660031172256828,0.004,-2.659758033723133,0.004,-4.845097099452464,0.004,-4.845097057029297,0.004,-4.845096907655926,0.004,-4.845096870809229,0.004,-4.845096879540962,0.004,-1.76714695275707,0.004,-1.766414272501914,0.004,-1.765658803888296,0.004,-1.765194083457147,0.004,-1.764916419576589,0.004,-2.02776161503955,0.004,-2.026977809270672,0.004,-2.026357641166503,0.004,-2.026050176859389,0.004,-2.025844242082858
0.005,-2.119479483105188,0.005,-2.119250919002668,0.005,-2.118968045162949,0.005,-2.11862318708832,0.005,-2.118021654252474,0.005,-2.652081540832397,0.005,-2.651966702873647,0.005,-2.651775945220012,0.005,-2.651506183602779,0.005,-2.651269047573657,0.005,-4.844042729694324,0.005,-4.844042713821513,0.005,-4.844042697338893,0.005,-4.844042767161485,0.005,-4.844042863686686,0.005,-1.766028830386344,0.005,-1.765296435990872,0.005,-1.764540159133738,0.005,-1.764074655411429,0.005,-1.763796501673446,0.005,-2.026768840909206,0.005,-2.025985211606328,0.005,-2.025364088591927,0.005,-2.025056254074051,0.005,-2.024850007000134
0.006,-2.1122488753935,0.006,-2.112019903467416,0.006,-2.111735239205353,0.006,-2.111393377196361,0.006,-2.110809218256598,0.006,-2.64357262514558,0.006,-2.643457837023534,0.006,-2.643266898362385,0.006,-2.643018790161258,0.006,-2.64281764180093,0.006,-4.842989828065119,0.006,-4.842989831597439,0.006,-4.84298993602874,0.006,-4.842990108744575,0.006,-4.842990292181342,0.006,-1.764917007181695,0.006,-1.764184926445865,0.006,-1.76342786173873,0.006,-1.762961584668921,0.006,-1.762682946564879,0.006,-2.025776065391163,0.006,-2.024992617713163,0.006,-2.024370540083678,0.006,-2.024062334610368,0.006,-2.023855775886354
0.007,-2.105101566741935,0.007,-2.104872225520711,0.007,-2.104585771434865,0.007,-2.104246868269119,0.007,-2.103680119617767,0.007,-2.635102748984135,0.007,-2.63498802798748,0.007,-2.634796906484182,0.007,-2.634570484567077,0.007,-2.634405298446652,0.007,-4.841938352477968,0.007,-4.841938368291787,0.007,-4.841938581540795,0.007,-4.841938853447293,0.007,-4.841939122921364,0.007,-1.763811171096954,0.007,-1.763079430987266,0.007,-1.762321598093132,0.007,-1.761854557123814,0.007,-1.76157543988277,0.007,-2.024783288539676,0.007,-2.024000027676285,0.007,-2.023376995622471,0.007,-2.023068418576504,0.007,-2.022861548607186
0.008,-2.098038533079566,0.008,-2.097808862090218,0.008,-2.097520619614463,0.008,-2.097184639343909,0.008,-2.096635331887621,0.008,-2.626673415470545,0.008,-2.626558779093106,0.008,-2.626367473461809,0.008,-2.626162765990975,0.008,-2.626033506275665,0.008,-4.840888261923324,0.008,-4.840888282920552,0.008,-4.840888592759027,0.008,-4.840888960223986,0.008,-4.840889314869345,0.008,-1.762711024889878,0.008,-1.761979651856785,0.008,-1.761221069481285,0.008,-1.76075327357207,0.008,-1.760473682125924,0.008,-2.023790510208567,0.008,-2.023007441333224,0.008,-2.022383455086812,0.008,-2.022074505777608,0.008,-2.021867325342211
0.009000000000000001,-2.091060707594229,0.009000000000000001,-2.090830747347936,0.009000000000000001,-2.090540718826033,0.009000000000000001,-2.090207626763856,0.009000000000000001,-2.089675785953788,0.009000000000000001,-2.618286132807209,0.009000000000000001,-2.618171598736923,0.009000000000000001,-2.617980108225626,0.009000000000000001,-2.617797138683328,0.009000000000000001,-2.617703759341147,0.009000000000000001,-4.839839516443472,0.009000000000000001,-4.839839535552063,0.009000000000000001,-4.839839929606276,0.009000000000000001,-4.839840389067604,0.009000000000000001,-4.8398408280266,0.009000000000000001,-1.761616285473818,0.009000000000000001,-1.7608853053821,0.009000000000000001,-1.760125991425684,0.009000000000000001,-1.759657449121383,0.009000000000000001,-1.75937738813126,0.009000000000000001,-2.022797730333994,0.009000000000000001,-2.022014858701091,0.009000000000000001,-2.021389918567276,0.009000000000000001,-2.021080596236173,0.009000000000000001,-2.020873105782261
