VIN,VOUT
0.0,-1.776055756519461
0.001,-1.774895635456854
0.002,-1.773748528800578
0.003,-1.772608973361647
0.004,-1.771476591679012
0.005,-1.770351032717504
0.006,-1.769231962155037
0.007,-1.768119057188863
0.008,-1.767012014565152
0.009,-1.765910550543939
0.01,-1.764814375033898
0.011,-1.763723234310899
0.012,-1.762636870994295
0.013,-1.76155505815411
0.014,-1.760477554946059
0.015,-1.75940415863918
0.016,-1.758334653680492
0.017,-1.757268849347633
0.018,-1.756206561383457
0.019,-1.755147603961882
0.02,-1.754091826220139
0.021,-1.753039052242546
0.022,-1.751989143661265
0.023,-1.750941943852066
0.024,-1.749897323799029
0.025,-1.748855152128511
0.026,-1.74781530220964
0.027,-1.746777659170268
0.028,-1.74574211423562
0.029,-1.744708555545796
0.03,-1.743676885792514
0.031,-1.742647004559773
0.032,-1.741618828584685
0.033,-1.740592270264721
0.034,-1.739567240894429
0.035,-1.738543665732789
0.036,-1.737521473338292
0.037,-1.736500595313558
0.038,-1.735480961835301
0.039,-1.734462506547304
0.04,-1.733445172684967
0.041,-1.732428905030772
0.042,-1.731413645680224
0.043,-1.730399343209859
0.044,-1.729385952726064
0.045,-1.728373428674135
0.046,-1.727361723263034
0.047,-1.726350793520262
0.048,-1.725340606252457
0.049,-1.724331114480458
0.05,-1.723322296523554
0.051,-1.722314106469276
0.052,-1.721306508903798
0.053,-1.720299486229738
0.054,-1.719293001734468
0.055,-1.718287030234804
0.056,-1.71728154784948
0.057,-1.716276523415868
0.058,-1.715271938999512
0.059,-1.71426776996948
0.06,-1.713263997189122
0.061,-1.71226060018011
0.062,-1.711257558089468
0.063,-1.710254848022649
0.064,-1.709252465231525
0.065,-1.708250387607202
0.066,-1.707248593162015
0.067,-1.706247075276882
0.068,-1.705245815652123
0.069,-1.704244807335325
0.07,-1.703244036290063
0.071,-1.702243482206707
0.072,-1.701243139792913
0.073,-1.70024300082329
0.074,-1.699243054424378
0.075,-1.698243290252756
0.076,-1.697243694898557
0.077,-1.696244262184849
0.078,-1.695244986505849
