Point,Corner,Temp,VREF_LINE,Pass/Fail,VOUT_LINE,VOUT_LINE_VDD,DC_PSR_PLOT,DC_PSR_MIN,DC_PSR_VAL,DC_PSR_VDD_PLOT,DC_PSR_VDD_MIN,DC_PSR_VDD_VAL
1,nom,-100,50e-3,,,,,-76.32,-46.1,,-76.32,-46.1
2,nom,-100,250e-3,,,,,-136.5,-67.64,,-136.5,-67.64
3,nom,-100,450e-3,,,,,-73.08,-68.79,,-73.08,-68.79
4,nom,-100,650e-3,,,,,-70.61,-69.32,,-70.61,-69.32
5,nom,-100,850e-3,,,,,-64.78,-64.78,,-64.78,-64.78
6,nom,-55,50e-3,,,,,-73.1,-54.71,,-73.1,-54.71
7,nom,-55,250e-3,,,,,-76.98,-62.49,,-76.98,-62.49
8,nom,-55,450e-3,,,,,-71.92,-64.24,,-71.92,-64.24
9,nom,-55,650e-3,,,,,-69.37,-65.73,,-69.37,-65.73
10,nom,-55,850e-3,,,,,-61.06,-61.06,,-61.06,-61.06
11,nom,0,50e-3,,,,,-70.08,-68,,-70.08,-68
12,nom,0,250e-3,,,,,-88.95,-57.24,,-88.95,-57.24
13,nom,0,450e-3,,,,,-72.67,-59.31,,-72.67,-59.31
14,nom,0,650e-3,,,,,-69.12,-61.45,,-69.12,-61.45
15,nom,0,850e-3,,,,,-58.06,-58.06,,-58.06,-58.06
16,nom,27,50e-3,,,,,-106.2,-61.77,,-106.2,-61.77
17,nom,27,250e-3,,,,,-86.23,-54.37,,-86.23,-54.37
18,nom,27,450e-3,,,,,-72.24,-56.48,,-72.24,-56.48
19,nom,27,650e-3,,,,,-68.2,-58.74,,-68.2,-58.74
20,nom,27,850e-3,,,,,-55.38,-55.38,,-55.38,-55.38
21,nom,125,50e-3,,,,,-115,-43.99,,-115,-43.99
22,nom,125,250e-3,,,,,-84.18,-44.91,,-84.18,-44.91
23,nom,125,450e-3,,,,,-69.98,-46.92,,-69.98,-46.92
24,nom,125,650e-3,,,,,-62.65,-49.14,,-62.65,-49.14
25,nom,125,850e-3,,,,,-45.32,-45.32,,-45.32,-45.32

