Point,Corner,Temp,VREF_LINE,Pass/Fail,VOUT_LINE,VOUT_LINE_VDD,DC_PSR_PLOT,DC_PSR_MIN,DC_PSR_VAL,DC_PSR_VDD_PLOT,DC_PSR_VDD_MIN,DC_PSR_VDD_VAL
1,nom,-100,50e-3,,,,,-83.4,-48.83,,-83.4,-48.83
2,nom,-100,250e-3,,,,,-142.9,-68.67,,-142.9,-68.67
3,nom,-100,450e-3,,,,,-85.38,-70.78,,-85.38,-70.78
4,nom,-100,650e-3,,,,,-81.42,-73.26,,-81.42,-73.26
5,nom,-100,850e-3,,,,,-69.32,-69.32,,-69.32,-69.32
6,nom,-55,50e-3,,,,,-87.99,-58.68,,-87.99,-58.68
7,nom,-55,250e-3,,,,,-140.4,-62.53,,-140.4,-62.53
8,nom,-55,450e-3,,,,,-82.04,-64.78,,-82.04,-64.78
9,nom,-55,650e-3,,,,,-78.1,-67.33,,-78.1,-67.33
10,nom,-55,850e-3,,,,,-63.05,-63.05,,-63.05,-63.05
11,nom,0,50e-3,,,,,-105.2,-79.29,,-105.2,-79.29
12,nom,0,250e-3,,,,,-143,-56.68,,-143,-56.68
13,nom,0,450e-3,,,,,-80.25,-58.95,,-80.25,-58.95
14,nom,0,650e-3,,,,,-74.59,-61.51,,-74.59,-61.51
15,nom,0,850e-3,,,,,-58.68,-58.68,,-58.68,-58.68
16,nom,27,50e-3,,,,,-102.4,-57.96,,-102.4,-57.96
17,nom,27,250e-3,,,,,-129.5,-53.75,,-129.5,-53.75
18,nom,27,450e-3,,,,,-79.04,-55.98,,-79.04,-55.98
19,nom,27,650e-3,,,,,-72.63,-58.5,,-72.63,-58.5
20,nom,27,850e-3,,,,,-55.66,-55.66,,-55.66,-55.66
21,nom,125,50e-3,,,,,-105.1,-43.17,,-105.1,-43.17
22,nom,125,250e-3,,,,,-150.5,-44.28,,-150.5,-44.28
23,nom,125,450e-3,,,,,-74.29,-46.31,,-74.29,-46.31
24,nom,125,650e-3,,,,,-63.98,-48.58,,-63.98,-48.58
25,nom,125,850e-3,,,,,-45.16,-45.16,,-45.16,-45.16

