"VOUT_TRAN_VDD (Temp=0,VREF_TRAN=0.05) X","VOUT_TRAN_VDD (Temp=0,VREF_TRAN=0.05) Y","VOUT_TRAN_VDD (Temp=0,VREF_TRAN=0.25) X","VOUT_TRAN_VDD (Temp=0,VREF_TRAN=0.25) Y","VOUT_TRAN_VDD (Temp=0,VREF_TRAN=0.45) X","VOUT_TRAN_VDD (Temp=0,VREF_TRAN=0.45) Y","VOUT_TRAN_VDD (Temp=0,VREF_TRAN=0.65) X","VOUT_TRAN_VDD (Temp=0,VREF_TRAN=0.65) Y","VOUT_TRAN_VDD (Temp=0,VREF_TRAN=0.85) X","VOUT_TRAN_VDD (Temp=0,VREF_TRAN=0.85) Y","VOUT_TRAN_VDD (Temp=27,VREF_TRAN=0.05) X","VOUT_TRAN_VDD (Temp=27,VREF_TRAN=0.05) Y","VOUT_TRAN_VDD (Temp=27,VREF_TRAN=0.25) X","VOUT_TRAN_VDD (Temp=27,VREF_TRAN=0.25) Y","VOUT_TRAN_VDD (Temp=27,VREF_TRAN=0.45) X","VOUT_TRAN_VDD (Temp=27,VREF_TRAN=0.45) Y","VOUT_TRAN_VDD (Temp=27,VREF_TRAN=0.65) X","VOUT_TRAN_VDD (Temp=27,VREF_TRAN=0.65) Y","VOUT_TRAN_VDD (Temp=27,VREF_TRAN=0.85) X","VOUT_TRAN_VDD (Temp=27,VREF_TRAN=0.85) Y","VOUT_TRAN_VDD (Temp=125,VREF_TRAN=0.05) X","VOUT_TRAN_VDD (Temp=125,VREF_TRAN=0.05) Y","VOUT_TRAN_VDD (Temp=125,VREF_TRAN=0.25) X","VOUT_TRAN_VDD (Temp=125,VREF_TRAN=0.25) Y","VOUT_TRAN_VDD (Temp=125,VREF_TRAN=0.45) X","VOUT_TRAN_VDD (Temp=125,VREF_TRAN=0.45) Y","VOUT_TRAN_VDD (Temp=125,VREF_TRAN=0.65) X","VOUT_TRAN_VDD (Temp=125,VREF_TRAN=0.65) Y","VOUT_TRAN_VDD (Temp=125,VREF_TRAN=0.85) X","VOUT_TRAN_VDD (Temp=125,VREF_TRAN=0.85) Y","VOUT_TRAN_VDD (Temp=-55,VREF_TRAN=0.05) X","VOUT_TRAN_VDD (Temp=-55,VREF_TRAN=0.05) Y","VOUT_TRAN_VDD (Temp=-55,VREF_TRAN=0.25) X","VOUT_TRAN_VDD (Temp=-55,VREF_TRAN=0.25) Y","VOUT_TRAN_VDD (Temp=-55,VREF_TRAN=0.45) X","VOUT_TRAN_VDD (Temp=-55,VREF_TRAN=0.45) Y","VOUT_TRAN_VDD (Temp=-55,VREF_TRAN=0.65) X","VOUT_TRAN_VDD (Temp=-55,VREF_TRAN=0.65) Y","VOUT_TRAN_VDD (Temp=-55,VREF_TRAN=0.85) X","VOUT_TRAN_VDD (Temp=-55,VREF_TRAN=0.85) Y","VOUT_TRAN_VDD (Temp=-100,VREF_TRAN=0.05) X","VOUT_TRAN_VDD (Temp=-100,VREF_TRAN=0.05) Y","VOUT_TRAN_VDD (Temp=-100,VREF_TRAN=0.25) X","VOUT_TRAN_VDD (Temp=-100,VREF_TRAN=0.25) Y","VOUT_TRAN_VDD (Temp=-100,VREF_TRAN=0.45) X","VOUT_TRAN_VDD (Temp=-100,VREF_TRAN=0.45) Y","VOUT_TRAN_VDD (Temp=-100,VREF_TRAN=0.65) X","VOUT_TRAN_VDD (Temp=-100,VREF_TRAN=0.65) Y","VOUT_TRAN_VDD (Temp=-100,VREF_TRAN=0.85) X","VOUT_TRAN_VDD (Temp=-100,VREF_TRAN=0.85) Y"
0,0.1074116143156965,0,0.5039604314297144,0,0.9032484494241606,0,1.302834761107666,0,1.702507487971969,0,0.1101318444122005,0,0.5055025093154053,0,0.9044048283164904,0,1.30377818344201,0,1.703289131807369,0,0.1346967051055027,0,0.5197806763531575,0,0.914996855729398,0,1.312201064304131,0,1.709813529931028,0,0.1031942252745593,0,0.5011738887229414,0,0.900855629604553,0,1.300663993326882,0,1.700510228143504,0,0.1030668909482973,0,0.5010527573907224,0,0.9008721405778655,0,1.300766105968556,0,1.700683625828496
9.999999999999999e-12,0.1074116143156671,9.999999999999999e-12,0.5039604314615327,9.999999999999999e-12,0.9032484495078035,9.999999999999999e-12,1.302834761108362,9.999999999999999e-12,1.702507487979592,9.999999999999999e-12,0.1101318444121921,9.999999999999999e-12,0.5055025093363316,9.999999999999999e-12,0.904404828322908,9.999999999999999e-12,1.303778183529902,9.999999999999999e-12,1.703289131809034,9.999999999999999e-12,0.1346967051054231,9.999999999999999e-12,0.5197806763533012,9.999999999999999e-12,0.9149968557294722,9.999999999999999e-12,1.312201064304253,9.999999999999999e-12,1.709813529931198,9.999999999999999e-12,0.1031942252744785,9.999999999999999e-12,0.5011738887240832,9.999999999999999e-12,0.9008556296042685,9.999999999999999e-12,1.300663993326874,9.999999999999999e-12,1.700510228143559,9.999999999999999e-12,0.1030668913158554,9.999999999999999e-12,0.501052779467545,9.999999999999999e-12,0.900872140593619,9.999999999999999e-12,1.300766106187266,9.999999999999999e-12,1.700683626007666
1.189043126726295e-11,0.1072036642373733,1.189110858736586e-11,0.5037524651098412,1.189199105872178e-11,0.9030404616609337,1.189333520985635e-11,1.30262673925358,1.189523009275888e-11,1.70229941642264,1.190765961859843e-11,0.109924310133606,1.190834967332694e-11,0.5052949590226906,1.190923847074887e-11,0.9041972567741841,1.191056212160325e-11,1.303570579141748,1.191246892196334e-11,1.703081478327274,1.196412232357361e-11,0.1344904760835541,1.196486660282471e-11,0.5195744320126973,1.196582483019637e-11,0.9147905909448713,1.196716398954154e-11,1.311994769488259,1.196913830558092e-11,1.709607188048509,1.185404912568816e-11,0.1029853681628088,1.185472311142619e-11,0.5009650148961928,1.18555992075308e-11,0.9006467337393713,1.185699310270784e-11,1.300455060417397,1.185883464458098e-11,1.70030124455961,1.182368482134907e-11,0.1028572444080086,1.182432542258228e-11,0.5008431192987525,1.182521356916687e-11,0.9006624539518063,1.182667403311046e-11,1.300556378697174,1.182843476863383e-11,1.700473847992164
1.567129380178886e-11,0.1070731063295622,1.567332576209759e-11,0.5036219065248234,1.567597317616535e-11,0.9029098994966916,1.568000562956906e-11,1.302496163684506,1.568569027827664e-11,1.702168810506759,1.572297885579529e-11,0.1097947499694987,1.572504901998083e-11,0.5051653992336036,1.572771541224662e-11,0.9040676943450433,1.573168636480976e-11,1.303441005375302,1.573740676589002e-11,1.702951876393261,1.589236697072085e-11,0.1343640252141173,1.589459980847414e-11,0.5194479852432844,1.589747449058911e-11,0.9146641460014745,1.590149196862462e-11,1.311868320042352,1.590741491674277e-11,1.709480717872998,1.556214737706447e-11,0.1028526276780094,1.556416933427858e-11,0.5008322723863103,1.556679762259241e-11,0.9005139857826376,1.557097930812353e-11,1.300322293693735,1.557650393374295e-11,1.700168442752821,1.547105446404722e-11,0.1027226028446028,1.547297626774683e-11,0.500708480927708,1.547564070750061e-11,0.9005278014075369,1.548002209933138e-11,1.300421701090518,1.548530430590149e-11,1.700339132148901
1.860947961326166e-11,0.1069726074345799,1.861141067396384e-11,0.5035214938940505,1.861394682793327e-11,0.902809593631874,1.861785991305484e-11,1.30239600584158,1.862343933780781e-11,1.702068839078179,1.867907962398924e-11,0.1096953266339345,1.868105278109502e-11,0.5050660633176191,1.868360880056435e-11,0.9039684653819271,1.868745936134091e-11,1.30334192217458,1.869307466736382e-11,1.702852980246696,1.89076258966205e-11,0.1342679136747753,1.89097774785078e-11,0.5193519661709423,1.89125605756114e-11,0.9145682401492863,1.891647887520143e-11,1.311772560671529,1.892231147311377e-11,1.709385150004104,1.846266501893385e-11,0.102749760680521,1.846458689313998e-11,0.5007294923329423,1.84671064170605e-11,0.900411312907751,1.847116509567986e-11,1.300219774008422,1.847657561484397e-11,1.700066105359328,1.834018456997922e-11,0.1026176650677424,1.834199454612499e-11,0.5006036335667781,1.834455911125836e-11,0.9004230567329696,1.834880769888572e-11,1.300317115710941,1.835396631199213e-11,1.700234722150522
2.274224032356323e-11,0.1068356525278152,2.274520900552539e-11,0.5033847314497922,2.274909842069949e-11,0.9026730691690267,2.275504099486372e-11,1.302259813899827,2.276340935676309e-11,1.701933066211137,2.286960882069328e-11,0.1095587134210433,2.287268403788598e-11,0.5049296463457154,2.287663114583036e-11,0.9038322892498313,2.288249105693601e-11,1.303206077466725,2.289091428019253e-11,1.702717562049503,2.328947412848263e-11,0.1341323331284763,2.329298036613563e-11,0.5192165969248074,2.329747068565709e-11,0.9144331305668788,2.330367832152655e-11,1.311637790259321,2.33126606530144e-11,1.709250828022026,2.247784526184652e-11,0.1026119441264912,2.248078452200042e-11,0.5005918647641606,2.248464687699629e-11,0.900273917487029,2.249078317958734e-11,1.30008271430152,2.249886342831571e-11,1.699929444238413,2.226195441632252e-11,0.1024789840999785,2.226486410122613e-11,0.5004651377425801,2.226862622521226e-11,0.9002847860673092,2.227500139602993e-11,1.300179188071681,2.22826675906864e-11,1.700097169188108
2.994650250927916e-11,0.1066061578717301,2.993051022914279e-11,0.5031567160531295,2.9910989646464e-11,0.9024468854403311,2.98838042347274e-11,1.302036221805232,2.985055802538982e-11,1.701712753832535,3.023723310821489e-11,0.1093276523627263,3.021993355849705e-11,0.5047001317953548,3.019895272160773e-11,0.9036046715006126,3.017021257189722e-11,1.302981091313449,3.013426706534636e-11,1.702495974638375,3.120808548337991e-11,0.1338960397238661,3.118557759752877e-11,0.5189821103772162,3.115825901449639e-11,0.9142008596796145,3.11230167964511e-11,1.311408414283736,3.107760829833544e-11,1.709025276636656,2.934810604700373e-11,0.1023856419368128,2.93343554364225e-11,0.5003669475086322,2.931769438659779e-11,0.9000507097985365,2.929352702364288e-11,1.299862025082707,2.926593311945168e-11,1.69971174806663,2.886632144463292e-11,0.1022552072230535,2.885416852081681e-11,0.5002426746319404,2.883986753945876e-11,0.9000639128758979,2.881768313649007e-11,1.29996081061086,2.87947241566051e-11,1.699881504600281
3.980450949587466e-11,0.1062988273778961,3.987116448436383e-11,0.5028494888202745,3.996028039134826e-11,0.9021397330289039,4.010208464990805e-11,1.301729022711213,4.031086521349633e-11,1.701405257596754,4.018526944848473e-11,0.1090217926690763,4.025169755303633e-11,0.5043944292872004,4.034017076652157e-11,0.9032991034409734,4.04780863855216e-11,1.302675569161532,4.068616554835375e-11,1.702190276252959,4.145851401428045e-11,0.1335945014006741,4.152417550527408e-11,0.5186809162873488,4.161266320111309e-11,0.9139000319647116,4.17439877055004e-11,1.311107945842135,4.195081396168824e-11,1.708725048853574,3.901638450776874e-11,0.1020751493401725,3.908447046873145e-11,0.5000564676310548,3.917505025668547e-11,0.89974018819853,3.932589502773864e-11,1.299551246682413,3.953276790310335e-11,1.699400426716819,3.837533594240932e-11,0.1019421649202334,3.844311382100818e-11,0.4999295966698547,3.853462603285408e-11,0.8997506754739056,3.869538350910701e-11,1.299647121811231,3.889514912706155e-11,1.699567109016508
4.913890981085577e-11,0.1060008995861086,4.927110837852644e-11,0.5025538596296398,4.944720326794905e-11,0.9018470608304541,4.972683611299429e-11,1.301440770489775,5.013750752935491e-11,1.701123127506271,4.962565998579177e-11,0.1087239852966413,4.975879199522539e-11,0.5040989796819272,4.993539328983246e-11,0.9030066585294023,5.02099858674405e-11,1.302387524290704,5.062307487949314e-11,1.70190844732039,5.124717671517573e-11,0.1332970453186523,5.138388493925747e-11,0.5183860507246455,5.156687477708202e-11,0.9136084725296097,5.183669743215612e-11,1.310820955924359,5.226002307656999e-11,1.708444670452288,4.812737609383092e-11,0.1017770672462951,4.82595478998316e-11,0.499760630685312,4.843485346581729e-11,0.8994472323946731,4.872690268329697e-11,1.29926278042971,4.912641397745239e-11,1.699117811034253,4.730180379102667e-11,0.1016441738543654,4.74316732197036e-11,0.4996338097083253,4.760596437333813e-11,0.8994576748656123,4.791346799075938e-11,1.29935874433606,4.829409911735523e-11,1.699284254256439
5.872916280592412e-11,0.1056731513752569,5.891113597318628e-11,0.5022309041449864,5.915535442808528e-11,0.9015303066449931,5.954854244800505e-11,1.301133417283405,6.013591566895302e-11,1.700828998231655,5.933373556317997e-11,0.1083954550040035,5.951681660961472e-11,0.5037753418015454,5.976174606315209e-11,0.9026892983404776,6.014780505665266e-11,1.302079481566421,6.073909913431896e-11,1.70161378124012,6.134741807324743e-11,0.1329659490894604,6.153482503096599e-11,0.5180602425924707,6.178813695121374e-11,0.9132894608632781,6.216685136148792e-11,1.310511453167814,6.277471038604635e-11,1.708149192697342,5.747284482833461e-11,0.1014510845243411,5.765472917588377e-11,0.4994393583428976,5.789770808621664e-11,0.8991320404872339,5.830896342670167e-11,1.298957230131107,5.887988489569113e-11,1.698824996790738,5.644887132789355e-11,0.1013199539699198,5.662793847676627e-11,0.4993142164403979,5.686954839851115e-11,0.899144017891796,5.730402450883858e-11,1.299055107572748,5.784813447726004e-11,1.698992707506749
