"VREF_TRAN (Temp=0,VREF_TRAN=0.05) X","VREF_TRAN (Temp=0,VREF_TRAN=0.05) Y","VREF_TRAN (Temp=0,VREF_TRAN=0.25) X","VREF_TRAN (Temp=0,VREF_TRAN=0.25) Y","VREF_TRAN (Temp=0,VREF_TRAN=0.45) X","VREF_TRAN (Temp=0,VREF_TRAN=0.45) Y","VREF_TRAN (Temp=0,VREF_TRAN=0.65) X","VREF_TRAN (Temp=0,VREF_TRAN=0.65) Y","VREF_TRAN (Temp=0,VREF_TRAN=0.85) X","VREF_TRAN (Temp=0,VREF_TRAN=0.85) Y","VREF_TRAN (Temp=27,VREF_TRAN=0.05) X","VREF_TRAN (Temp=27,VREF_TRAN=0.05) Y","VREF_TRAN (Temp=27,VREF_TRAN=0.25) X","VREF_TRAN (Temp=27,VREF_TRAN=0.25) Y","VREF_TRAN (Temp=27,VREF_TRAN=0.45) X","VREF_TRAN (Temp=27,VREF_TRAN=0.45) Y","VREF_TRAN (Temp=27,VREF_TRAN=0.65) X","VREF_TRAN (Temp=27,VREF_TRAN=0.65) Y","VREF_TRAN (Temp=27,VREF_TRAN=0.85) X","VREF_TRAN (Temp=27,VREF_TRAN=0.85) Y","VREF_TRAN (Temp=125,VREF_TRAN=0.05) X","VREF_TRAN (Temp=125,VREF_TRAN=0.05) Y","VREF_TRAN (Temp=125,VREF_TRAN=0.25) X","VREF_TRAN (Temp=125,VREF_TRAN=0.25) Y","VREF_TRAN (Temp=125,VREF_TRAN=0.45) X","VREF_TRAN (Temp=125,VREF_TRAN=0.45) Y","VREF_TRAN (Temp=125,VREF_TRAN=0.65) X","VREF_TRAN (Temp=125,VREF_TRAN=0.65) Y","VREF_TRAN (Temp=125,VREF_TRAN=0.85) X","VREF_TRAN (Temp=125,VREF_TRAN=0.85) Y","VREF_TRAN (Temp=-55,VREF_TRAN=0.05) X","VREF_TRAN (Temp=-55,VREF_TRAN=0.05) Y","VREF_TRAN (Temp=-55,VREF_TRAN=0.25) X","VREF_TRAN (Temp=-55,VREF_TRAN=0.25) Y","VREF_TRAN (Temp=-55,VREF_TRAN=0.45) X","VREF_TRAN (Temp=-55,VREF_TRAN=0.45) Y","VREF_TRAN (Temp=-55,VREF_TRAN=0.65) X","VREF_TRAN (Temp=-55,VREF_TRAN=0.65) Y","VREF_TRAN (Temp=-55,VREF_TRAN=0.85) X","VREF_TRAN (Temp=-55,VREF_TRAN=0.85) Y","VREF_TRAN (Temp=-100,VREF_TRAN=0.05) X","VREF_TRAN (Temp=-100,VREF_TRAN=0.05) Y","VREF_TRAN (Temp=-100,VREF_TRAN=0.25) X","VREF_TRAN (Temp=-100,VREF_TRAN=0.25) Y","VREF_TRAN (Temp=-100,VREF_TRAN=0.45) X","VREF_TRAN (Temp=-100,VREF_TRAN=0.45) Y","VREF_TRAN (Temp=-100,VREF_TRAN=0.65) X","VREF_TRAN (Temp=-100,VREF_TRAN=0.65) Y","VREF_TRAN (Temp=-100,VREF_TRAN=0.85) X","VREF_TRAN (Temp=-100,VREF_TRAN=0.85) Y"
0,0.1,0,0.5,0,0.9,0,1.3,0,1.7,0,0.1,0,0.5,0,0.9,0,1.3,0,1.7,0,0.1,0,0.5,0,0.9,0,1.3,0,1.7,0,0.1,0,0.5,0,0.9,0,1.3,0,1.7,0,0.1,0,0.5,0,0.9,0,1.3,0,1.7
9.999999999999999e-12,0.1,9.999999999999999e-12,0.5,9.999999999999999e-12,0.9,9.999999999999999e-12,1.3,9.999999999999999e-12,1.7,9.999999999999999e-12,0.1,9.999999999999999e-12,0.5,9.999999999999999e-12,0.9,9.999999999999999e-12,1.3,9.999999999999999e-12,1.7,9.999999999999999e-12,0.1,9.999999999999999e-12,0.5,9.999999999999999e-12,0.9,9.999999999999999e-12,1.3,9.999999999999999e-12,1.7,9.999999999999999e-12,0.1,9.999999999999999e-12,0.5,9.999999999999999e-12,0.9,9.999999999999999e-12,1.3,9.999999999999999e-12,1.7,9.999999999999999e-12,0.1,9.999999999999999e-12,0.5,9.999999999999999e-12,0.9,9.999999999999999e-12,1.3,9.999999999999999e-12,1.7
1.192031052678831e-11,0.1,1.192073393576951e-11,0.5,1.192129240690974e-11,0.9,1.19221631153259e-11,1.3,1.192345673742321e-11,1.7,1.193820718546097e-11,0.1,1.193863896952808e-11,0.5,1.19392040664372e-11,0.9,1.194006554591031e-11,1.3,1.194137203965604e-11,1.7,1.199662358372314e-11,0.1,1.199708535058413e-11,0.5,1.199769205303628e-11,0.9,1.199856397157628e-11,1.3,1.199992259441632e-11,1.7,1.188263485449517e-11,0.1,1.188305071405956e-11,0.5,1.188359883666517e-11,0.9,1.188449560638818e-11,1.3,1.188574629922525e-11,1.7,1.185132545452366e-11,0.1,1.185173313334666e-11,0.5,1.185227003566126e-11,0.9,1.185320573689377e-11,1.3,1.185439771910474e-11,1.7
1.576093158036492e-11,0.1,1.576220180730853e-11,0.5,1.576387722072921e-11,0.9,1.57664893459777e-11,1.3,1.577037021226964e-11,1.7,1.581462155638291e-11,0.1,1.581591690858425e-11,0.5,1.58176121993116e-11,0.9,1.582019663773092e-11,1.3,1.582411611896812e-11,1.7,1.598987075116941e-11,0.1,1.599125605175238e-11,0.5,1.599307615910884e-11,0.9,1.599569191472884e-11,1.3,1.599976778324896e-11,1.7,1.564790456348552e-11,0.1,1.564915214217868e-11,0.5,1.565079650999551e-11,0.9,1.565348681916454e-11,1.3,1.565723889767576e-11,1.7,1.555397636357099e-11,0.1,1.555519940003999e-11,0.5,1.555681010698377e-11,0.9,1.555961721068131e-11,1.3,1.556319315731422e-11,1.7
1.872845630438859e-11,0.1,1.873034782410151e-11,0.5,1.873220790186726e-11,0.9,1.873467745552529e-11,1.3,1.87381039577259e-11,1.7,1.879945557068878e-11,0.1,1.880198979268958e-11,0.5,1.880432613368852e-11,0.9,1.880706191136945e-11,1.3,1.881073241715857e-11,1.7,1.902370502012416e-11,0.1,1.902898992781383e-11,0.5,1.90341928219473e-11,0.9,1.903958518392601e-11,1.3,1.90461032515139e-11,1.7,1.857687351903001e-11,0.1,1.857810290381182e-11,0.5,1.857954513346866e-11,0.9,1.85818506312403e-11,1.3,1.85849315454232e-11,1.7,1.845032029160611e-11,0.1,1.845139090798044e-11,0.5,1.845270633781913e-11,0.9,1.845504227962851e-11,1.3,1.845781648482762e-11,1.7
2.269197793117232e-11,0.1,2.26955270121429e-11,0.5,2.269849169904338e-11,0.9,2.270190368633565e-11,1.3,2.270626003113963e-11,1.7,2.280863322205027e-11,0.1,2.281387984351233e-11,0.5,2.281810363773647e-11,0.9,2.282227419658617e-11,1.3,2.282724040464296e-11,1.7,2.316902524665299e-11,0.1,2.318164416196217e-11,0.5,2.319349718888173e-11,0.9,2.320484526485499e-11,1.3,2.321735034996229e-11,1.7,2.244105193485597e-11,0.1,2.244284909913152e-11,0.5,2.244472624652039e-11,0.9,2.244759191431458e-11,1.3,2.245119124976531e-11,1.7,2.223141299824176e-11,0.1,2.223281337376981e-11,0.5,2.223439387830015e-11,0.9,2.223719476692721e-11,1.3,2.224020813105934e-11,1.7
2.979856695654351e-11,0.1,2.980622315645132e-11,0.5,2.981223300874305e-11,0.9,2.981864469572008e-11,1.3,2.982636357319146e-11,1.7,3.003883992336863e-11,0.1,3.005065236597401e-11,0.5,3.005974344732582e-11,0.9,3.006805466077689e-11,1.3,3.007726054299141e-11,1.7,3.07760050885171e-11,0.1,3.080612653654853e-11,0.5,3.083411150259053e-11,0.9,3.086029966113573e-11,1.3,3.088823147568479e-11,1.7,2.92822749718564e-11,0.1,2.928568479853689e-11,0.5,2.928907461304806e-11,0.9,2.929405236664407e-11,1.3,2.929995712106516e-11,1.7,2.885321591842251e-11,0.1,2.885567249293104e-11,0.5,2.885835495499147e-11,0.9,2.886302503930979e-11,1.3,2.886760537512841e-11,1.7
3.988797582077479e-11,0.1,3.994482843481472e-11,0.5,4.001416963162578e-11,0.9,4.011869150043149e-11,1.3,4.027164195996134e-11,1.7,4.020085628679405e-11,0.1,4.026463216903105e-11,0.5,4.033885561954889e-11,0.9,4.044445571618056e-11,1.3,4.059989386313173e-11,1.7,4.122442371040087e-11,0.1,4.129177677534227e-11,0.5,4.137481787767335e-11,0.9,4.148773963191576e-11,1.3,4.167419162820891e-11,1.7,3.921746180337476e-11,0.1,3.926828106563867e-11,0.5,3.933404839177617e-11,0.9,3.944106817168966e-11,1.3,3.958906076820968e-11,1.7,3.866810700796188e-11,0.1,3.8717729453679e-11,0.5,3.878242598169251e-11,0.9,3.88949642067142e-11,1.3,3.903670951440385e-11,1.7
4.957866808716999e-11,0.1,4.967518614013626e-11,0.5,4.979994448406137e-11,0.9,4.999446694325361e-11,1.3,5.028526909033366e-11,1.7,5.000046324275917e-11,0.1,5.010301451109486e-11,0.5,5.023190806594314e-11,0.9,5.0425682365198e-11,1.3,5.072008744670745e-11,1.7,5.140411142453283e-11,0.1,5.150428138310417e-11,0.5,5.163734547549909e-11,0.9,5.183135321620936e-11,1.3,5.215591064848778e-11,1.7,4.86854764123663e-11,0.1,4.877749186877019e-11,0.5,4.889898515827347e-11,0.9,4.909899696675033e-11,1.3,4.937971073657393e-11,1.7,4.795533325235595e-11,0.1,4.804581880247933e-11,0.5,4.816515816167735e-11,0.9,4.837419703704109e-11,1.3,4.864158539326286e-11,1.7
5.951821787172817e-11,0.1,5.964921139625959e-11,0.5,5.982358056637683e-11,0.9,6.010123175837409e-11,1.3,6.052427003108687e-11,1.7,6.006063122842114e-11,0.1,6.019619621836674e-11,0.5,6.037338043652454e-11,0.9,6.064794585941772e-11,1.3,6.107516095181872e-11,1.7,6.18833274944405e-11,0.1,6.20107198289733e-11,0.5,6.218697090252086e-11,0.9,6.245380074978599e-11,1.3,6.290823876341623e-11,1.7,5.838035992882366e-11,0.1,5.85092354461967e-11,0.5,5.868145149921654e-11,0.9,5.896850557808266e-11,1.3,5.93774773789816e-11,1.7,5.745320980502651e-11,0.1,5.75806880898246e-11,0.5,5.775022146467999e-11,0.9,5.805060609911108e-11,1.3,5.844017489298237e-11,1.7
