time,IL
0,0.0001
9.999999999999999e-12,0.0001
1.185439771910474e-11,0.0001036902514610184
1.556319315731422e-11,0.0001110707543830553
1.845781648482762e-11,0.000116831054804807
2.224020813105934e-11,0.0001243580141808081
2.886760537512841e-11,0.0001375465346965056
3.903670951440385e-11,0.0001577830519336637
4.864158539326286e-11,0.0001768967549325931
5.844017489298237e-11,0.0001963959480370349
6.868990839913018e-11,0.000216792917714269
7.952815070719004e-11,0.0002383610199073082
9.152774670898155e-11,0.0002622402159508733
1.056173687272541e-10,0.0002902785637672357
1.226109720248911e-10,0.0003240958343295333
1.459428283430181e-10,0.0003705262284026061
1.658628829155738e-10,0.0004101671370019918
1.84286221804575e-10,0.0004468295813911042
2.03656503659667e-10,0.0004853764422827373
2.24531336959629e-10,0.0005269173605496619
2.481763916132098e-10,0.0005739710193102875
2.782659195754837e-10,0.0006338491799552125
3.048244901949484e-10,0.0006867007354879474
3.310129213373879e-10,0.000738815713461402
3.601479670461029e-10,0.0007967944544217449
3.974439892933458e-10,0.0008710135386937581
4.720360337878315e-10,0.001019451707237785
5.310101044159376e-10,0.001136810107787716
5.922773173190696e-10,0.001258731861464949
6.571469919074264e-10,0.001387822513895779
7.290075646730684e-10,0.001530825053699406
8.189949357163572e-10,0.001709899922075551
9.517184902375896e-10,0.001974019795572803
1.08635787888427e-09,0.002241952178979698
1.194095540850107e-09,0.002456350126291713
1.298150196885416e-09,0.002663418891801977
1.407440166439478e-09,0.002880905931214562
1.535540317858316e-09,0.003135825232538049
1.731001667120998e-09,0.003524793317570785
1.959804465803476e-09,0.003980110886948916
2.172911156116263e-09,0.004404193200671364
2.375591290889194e-09,0.004807526668869497
2.567378087315052e-09,0.005189182393756953
2.752392248026372e-09,0.00555736057357248
2.936898390667301e-09,0.005924527797427929
3.12676355786365e-09,0.006302359480148663
3.330727889519029e-09,0.006708248500142867
3.513563296230815e-09,0.007072090959499322
3.682533341513018e-09,0.007408341349610905
3.842008425145244e-09,0.007725696766039038
4.000163480879152e-09,0.008040425326949513
4.168534891961142e-09,0.008375484435002672
4.34076070196655e-09,0.008718213796913434
4.504338051090573e-09,0.00904373272167024
4.661804277787243e-09,0.009357090512796613
4.815601513427459e-09,0.009663147011720644
4.967645349001909e-09,0.0099657142445138
5.120430067022495e-09,0.01026975583337476
5.277452736575599e-09,0.01058223094578544
5.445234134335007e-09,0.01091611592732666
5.596046423978211e-09,0.01121623238371664
5.734626508611436e-09,0.01149200675213676
5.872114678212384e-09,0.01176560820964264
6.023646044613906e-09,0.01206715562878167
6.180177378449482e-09,0.01237865298311447
6.338733396606166e-09,0.01269417945924627
6.50666498518224e-09,0.01302836332051266
6.693283457011267e-09,0.01339973407945242
6.908101424129806e-09,0.01382722183401832
7.143417519611694e-09,0.01429550086402727
7.414675173669108e-09,0.01483530359560152
7.738397362863533e-09,0.01547951075209843
8.068327636926391e-09,0.01613607199748352
8.42314217364846e-09,0.01684215292556044
8.818909813145404e-09,0.01762973052815935
9.24065717916331e-09,0.01846900778653499
9.666563513295482e-09,0.01931656139145801
1.001e-08,0.02
1.002688875323429e-08,0.02
1.004441597151971e-08,0.02
1.006318266402525e-08,0.02
1.00789169192231e-08,0.02
1.009471333631391e-08,0.02
1.011033744025824e-08,0.02
1.012717005711116e-08,0.02
1.014657513605913e-08,0.02
1.017018356974458e-08,0.02
1.020143711359236e-08,0.02
1.025464796445348e-08,0.02
1.031195981076007e-08,0.02
1.036405619044995e-08,0.02
1.042146756093755e-08,0.02
1.049070045406605e-08,0.02
1.0586612483189e-08,0.02
1.070317576789335e-08,0.02
1.083216103227066e-08,0.02
1.098045862500008e-08,0.02
1.115645352490653e-08,0.02
1.133430462325677e-08,0.02
1.153178023101155e-08,0.02
1.174266972864153e-08,0.02
1.197964834471057e-08,0.02
1.230641484517203e-08,0.02
1.269228374837643e-08,0.02
1.329336449711571e-08,0.02
1.396163984091061e-08,0.02
1.454219744201634e-08,0.02
1.521528978032332e-08,0.02
1.603246118688074e-08,0.02
1.692437942339118e-08,0.02
1.789799576201271e-08,0.02
1.889690546868174e-08,0.02
1.987872634966939e-08,0.02
2.09028071682453e-08,0.02
2.203165898247884e-08,0.02
2.33709675836794e-08,0.02
2.383480185862273e-08,0.02
2.476247040850939e-08,0.02
2.66178075082827e-08,0.02
2.869709438424504e-08,0.02
3.099615983062277e-08,0.02
3.397301050427373e-08,0.02
3.837072883924532e-08,0.02
4.349561812289816e-08,0.02
4.984622299596049e-08,0.02
5.927159997054082e-08,0.02
7.160404202710729e-08,0.02
8.194048955247764e-08,0.02
9.295163926513297e-08,0.02
1.060869578246005e-07,0.02
1.214694110509339e-07,0.02
1.400004720246099e-07,0.02
1.633174641087208e-07,0.02
1.93999206144851e-07,0.02
2.352007390266698e-07,0.02
2.904424395925585e-07,0.02
3.703849002108936e-07,0.02
4.703849002108936e-07,0.02
5.703849002108936e-07,0.02
6.703849002108936e-07,0.02
7.703849002108936e-07,0.02
8.703849002108936e-07,0.02
9.703849002108935e-07,0.02
1.070384900210894e-06,0.02
1.170384900210894e-06,0.02
1.24001e-06,0.02
1.2400490625e-06,0.01992226562500004
1.240095455495615e-06,0.01982994356372543
1.240114450600151e-06,0.01979214330570023
1.240138225190322e-06,0.01974483187125846
1.240159434691143e-06,0.01970262496462529
1.240181092160758e-06,0.01965952660009214
1.240207611801169e-06,0.01960675251567453
1.240244586033463e-06,0.01953317379340779
1.240318534498053e-06,0.01938601634887432
1.240371878883481e-06,0.01927986102187279
1.240426153035387e-06,0.01917185545958031
