VREF,IREF,VDD,IDD
+0.000000E+00,-6.790966E-06,+1.800000E+00,+2.282789E-05
+1.000000E-03,-6.791487E-06,+1.800000E+00,+2.282355E-05
+2.000000E-03,-6.792679E-06,+1.800000E+00,+2.281820E-05
+3.000000E-03,-6.789194E-06,+1.800000E+00,+2.280217E-05
+4.000000E-03,-6.789787E-06,+1.800000E+00,+2.280564E-05
+5.000000E-03,-6.786430E-06,+1.800000E+00,+2.279553E-05
+6.000000E-03,-6.786167E-06,+1.800000E+00,+2.279344E-05
+7.000000E-03,-6.785274E-06,+1.800000E+00,+2.279264E-05
+8.000000E-03,-6.785473E-06,+1.800000E+00,+2.278631E-05
+9.000000E-03,-6.783902E-06,+1.800000E+00,+2.278424E-05
+1.000000E-02,-6.786034E-06,+1.800000E+00,+2.278691E-05
+1.100000E-02,-6.785149E-06,+1.800000E+00,+2.278555E-05
+1.200000E-02,-6.788393E-06,+1.800000E+00,+2.279272E-05
+1.300000E-02,-6.787341E-06,+1.800000E+00,+2.279335E-05
+1.400000E-02,-6.789010E-06,+1.800000E+00,+2.280153E-05
+1.500000E-02,-6.789345E-06,+1.800000E+00,+2.280048E-05
+1.600000E-02,-6.789433E-06,+1.800000E+00,+2.280141E-05
+1.700000E-02,-6.786297E-06,+1.800000E+00,+2.278683E-05
+1.800000E-02,-6.794491E-06,+1.800000E+00,+2.281309E-05
+1.900000E-02,-6.791728E-06,+1.800000E+00,+2.280530E-05
+2.000000E-02,-6.791966E-06,+1.800000E+00,+2.281043E-05
+2.100000E-02,-6.793485E-06,+1.800000E+00,+2.281460E-05
+2.200000E-02,-6.795442E-06,+1.800000E+00,+2.282250E-05
+2.300000E-02,-6.792809E-06,+1.800000E+00,+2.281459E-05
+2.400000E-02,-6.792216E-06,+1.800000E+00,+2.281123E-05
+2.500000E-02,-6.794702E-06,+1.800000E+00,+2.280316E-05
+2.600000E-02,-6.791333E-06,+1.800000E+00,+2.280439E-05
+2.700000E-02,-6.794079E-06,+1.800000E+00,+2.281212E-05
+2.800000E-02,-6.795377E-06,+1.800000E+00,+2.281663E-05
+2.900000E-02,-6.794215E-06,+1.800000E+00,+2.281215E-05
+3.000000E-02,-6.797522E-06,+1.800000E+00,+2.281868E-05
+3.100000E-02,-6.794996E-06,+1.800000E+00,+2.281905E-05
+3.200000E-02,-6.795097E-06,+1.800000E+00,+2.281021E-05
+3.300000E-02,-6.796410E-06,+1.800000E+00,+2.281487E-05
+3.400000E-02,-6.797094E-06,+1.800000E+00,+2.281447E-05
+3.500000E-02,-6.796851E-06,+1.800000E+00,+2.281236E-05
+3.600000E-02,-6.795407E-06,+1.800000E+00,+2.281198E-05
+3.700000E-02,-6.794449E-06,+1.800000E+00,+2.281693E-05
+3.800000E-02,-6.797856E-06,+1.800000E+00,+2.282375E-05
+3.900000E-02,-6.797617E-06,+1.800000E+00,+2.282593E-05
+4.000000E-02,-6.798699E-06,+1.800000E+00,+2.283186E-05
+4.100000E-02,-6.797756E-06,+1.800000E+00,+2.283175E-05
+4.200000E-02,-6.802031E-06,+1.800000E+00,+2.283562E-05
+4.300000E-02,-6.802597E-06,+1.800000E+00,+2.283660E-05
+4.400000E-02,-6.803219E-06,+1.800000E+00,+2.284240E-05
+4.500000E-02,-6.803882E-06,+1.800000E+00,+2.283946E-05
+4.600000E-02,-6.802653E-06,+1.800000E+00,+2.284295E-05
+4.700000E-02,-6.803140E-06,+1.800000E+00,+2.284857E-05
+4.800000E-02,-6.804036E-06,+1.800000E+00,+2.284090E-05
+4.900000E-02,-6.802597E-06,+1.800000E+00,+2.283728E-05
+5.000000E-02,-6.802326E-06,+1.800000E+00,+2.283358E-05
+5.100000E-02,-6.803433E-06,+1.800000E+00,+2.283485E-05
+5.200000E-02,-6.800715E-06,+1.800000E+00,+2.282474E-05
+5.300000E-02,-6.799628E-06,+1.800000E+00,+2.282946E-05
+5.400000E-02,-6.802373E-06,+1.800000E+00,+2.283219E-05
+5.500000E-02,-6.798937E-06,+1.800000E+00,+2.282934E-05
+5.600000E-02,-6.796662E-06,+1.800000E+00,+2.282150E-05
+5.700000E-02,-6.800166E-06,+1.800000E+00,+2.282728E-05
+5.800000E-02,-6.800756E-06,+1.800000E+00,+2.282585E-05
+5.900000E-02,-6.799399E-06,+1.800000E+00,+2.282484E-05
+6.000000E-02,-6.799529E-06,+1.800000E+00,+2.282452E-05
+6.100000E-02,-6.800658E-06,+1.800000E+00,+2.283070E-05
+6.200000E-02,-6.802036E-06,+1.800000E+00,+2.283588E-05
+6.300000E-02,-6.798120E-06,+1.800000E+00,+2.282943E-05
+6.400000E-02,-6.801708E-06,+1.800000E+00,+2.283808E-05
+6.500000E-02,-6.804488E-06,+1.800000E+00,+2.284558E-05
+6.600000E-02,-6.804321E-06,+1.800000E+00,+2.284800E-05
+6.700000E-02,-6.806642E-06,+1.800000E+00,+2.284807E-05
+6.800000E-02,-6.803481E-06,+1.800000E+00,+2.283744E-05
+6.900000E-02,-6.800500E-06,+1.800000E+00,+2.283129E-05
+7.000000E-02,-6.793408E-06,+1.800000E+00,+2.280482E-05
+7.100000E-02,-6.788462E-06,+1.800000E+00,+2.278974E-05
+7.200000E-02,-6.783611E-06,+1.800000E+00,+2.277126E-05
+7.300000E-02,-6.775450E-06,+1.800000E+00,+2.275145E-05
+7.400000E-02,-6.771762E-06,+1.800000E+00,+2.273671E-05
+7.500000E-02,-6.770648E-06,+1.800000E+00,+2.272363E-05
+7.600000E-02,-6.766140E-06,+1.800000E+00,+2.272210E-05
+7.700000E-02,-6.767379E-06,+1.800000E+00,+2.272056E-05
+7.800000E-02,-6.764621E-06,+1.800000E+00,+2.271991E-05
+7.900000E-02,-6.767151E-06,+1.800000E+00,+2.272553E-05
+8.000000E-02,-6.767554E-06,+1.800000E+00,+2.271824E-05
+8.100000E-02,-6.768571E-06,+1.800000E+00,+2.272172E-05
+8.200000E-02,-6.768449E-06,+1.800000E+00,+2.272781E-05
+8.300000E-02,-6.768872E-06,+1.800000E+00,+2.272169E-05
+8.400000E-02,-6.768490E-06,+1.800000E+00,+2.272397E-05
+8.500000E-02,-6.768334E-06,+1.800000E+00,+2.272951E-05
+8.600000E-02,-6.770202E-06,+1.800000E+00,+2.273944E-05
+8.700000E-02,-6.772606E-06,+1.800000E+00,+2.274312E-05
+8.800000E-02,-6.773357E-06,+1.800000E+00,+2.275383E-05
+8.900000E-02,-6.775374E-06,+1.800000E+00,+2.274949E-05
+9.000000E-02,-6.776302E-06,+1.800000E+00,+2.275212E-05
+9.100000E-02,-6.776847E-06,+1.800000E+00,+2.275917E-05
+9.200000E-02,-6.781669E-06,+1.800000E+00,+2.276716E-05
+9.300000E-02,-6.782359E-06,+1.800000E+00,+2.276842E-05
+9.400000E-02,-6.779424E-06,+1.800000E+00,+2.276952E-05
+9.500000E-02,-6.781421E-06,+1.800000E+00,+2.278139E-05
+9.600000E-02,-6.783013E-06,+1.800000E+00,+2.278807E-05
+9.700000E-02,-6.786951E-06,+1.800000E+00,+2.279016E-05
