VDD,IDD,VREF,IREF
+1.800000E+00,+3.193288E-05,+0.000000E+00,-9.492414E-06
+1.799000E+00,+3.191350E-05,+0.000000E+00,-9.489334E-06
+1.798000E+00,+3.191863E-05,+0.000000E+00,-9.491753E-06
+1.797000E+00,+3.190533E-05,+0.000000E+00,-9.488313E-06
+1.796000E+00,+3.190935E-05,+0.000000E+00,-9.492343E-06
+1.795000E+00,+3.190160E-05,+0.000000E+00,-9.492231E-06
+1.794000E+00,+3.189980E-05,+0.000000E+00,-9.491213E-06
+1.793000E+00,+3.189862E-05,+0.000000E+00,-9.490349E-06
+1.792000E+00,+3.189005E-05,+0.000000E+00,-9.487978E-06
+1.791000E+00,+3.189509E-05,+0.000000E+00,-9.490257E-06
+1.790000E+00,+3.190289E-05,+0.000000E+00,-9.491757E-06
+1.789000E+00,+3.189465E-05,+0.000000E+00,-9.491060E-06
+1.788000E+00,+3.189582E-05,+0.000000E+00,-9.489281E-06
+1.787000E+00,+3.189576E-05,+0.000000E+00,-9.492494E-06
+1.786000E+00,+3.189348E-05,+0.000000E+00,-9.488625E-06
+1.785000E+00,+3.188424E-05,+0.000000E+00,-9.489113E-06
+1.784000E+00,+3.188383E-05,+0.000000E+00,-9.486104E-06
+1.783000E+00,+3.187927E-05,+0.000000E+00,-9.487421E-06
+1.782000E+00,+3.188308E-05,+0.000000E+00,-9.487760E-06
+1.781000E+00,+3.190147E-05,+0.000000E+00,-9.494346E-06
+1.780000E+00,+3.190384E-05,+0.000000E+00,-9.492475E-06
+1.779000E+00,+3.188445E-05,+0.000000E+00,-9.487468E-06
+1.778000E+00,+3.188894E-05,+0.000000E+00,-9.488842E-06
+1.777000E+00,+3.188037E-05,+0.000000E+00,-9.488233E-06
+1.776000E+00,+3.188175E-05,+0.000000E+00,-9.487431E-06
+1.775000E+00,+3.187651E-05,+0.000000E+00,-9.488028E-06
+1.774000E+00,+3.187350E-05,+0.000000E+00,-9.487006E-06
+1.773000E+00,+3.188274E-05,+0.000000E+00,-9.491027E-06
+1.772000E+00,+3.188472E-05,+0.000000E+00,-9.487258E-06
+1.771000E+00,+3.190855E-05,+0.000000E+00,-9.495600E-06
+1.770000E+00,+3.188938E-05,+0.000000E+00,-9.490989E-06
+1.769000E+00,+3.189950E-05,+0.000000E+00,-9.492270E-06
+1.768000E+00,+3.190427E-05,+0.000000E+00,-9.493901E-06
+1.767000E+00,+3.191431E-05,+0.000000E+00,-9.498758E-06
+1.766000E+00,+3.190089E-05,+0.000000E+00,-9.496044E-06
+1.765000E+00,+3.190637E-05,+0.000000E+00,-9.497114E-06
+1.764000E+00,+3.188939E-05,+0.000000E+00,-9.492504E-06
+1.763000E+00,+3.188573E-05,+0.000000E+00,-9.492604E-06
+1.762000E+00,+3.188859E-05,+0.000000E+00,-9.493344E-06
+1.761000E+00,+3.188813E-05,+0.000000E+00,-9.491999E-06
+1.760000E+00,+3.190307E-05,+0.000000E+00,-9.497637E-06
+1.759000E+00,+3.189225E-05,+0.000000E+00,-9.492953E-06
+1.758000E+00,+3.188815E-05,+0.000000E+00,-9.490862E-06
+1.757000E+00,+3.189257E-05,+0.000000E+00,-9.491885E-06
+1.756000E+00,+3.188786E-05,+0.000000E+00,-9.492184E-06
+1.755000E+00,+3.189417E-05,+0.000000E+00,-9.492204E-06
+1.754000E+00,+3.187789E-05,+0.000000E+00,-9.487805E-06
+1.753000E+00,+3.188645E-05,+0.000000E+00,-9.489605E-06
+1.752000E+00,+3.188734E-05,+0.000000E+00,-9.492222E-06
+1.751000E+00,+3.189594E-05,+0.000000E+00,-9.494232E-06
+1.750000E+00,+3.188461E-05,+0.000000E+00,-9.491718E-06
+1.749000E+00,+3.189732E-05,+0.000000E+00,-9.493187E-06
+1.748000E+00,+3.188990E-05,+0.000000E+00,-9.492822E-06
+1.747000E+00,+3.189005E-05,+0.000000E+00,-9.492623E-06
+1.746000E+00,+3.189208E-05,+0.000000E+00,-9.494760E-06
+1.745000E+00,+3.189532E-05,+0.000000E+00,-9.493916E-06
+1.744000E+00,+3.188787E-05,+0.000000E+00,-9.492462E-06
+1.743000E+00,+3.188693E-05,+0.000000E+00,-9.493344E-06
+1.742000E+00,+3.188280E-05,+0.000000E+00,-9.491426E-06
+1.741000E+00,+3.189113E-05,+0.000000E+00,-9.493839E-06
+1.740000E+00,+3.187844E-05,+0.000000E+00,-9.491201E-06
+1.739000E+00,+3.189444E-05,+0.000000E+00,-9.494508E-06
+1.738000E+00,+3.188763E-05,+0.000000E+00,-9.493639E-06
+1.737000E+00,+3.189491E-05,+0.000000E+00,-9.491790E-06
+1.736000E+00,+3.188568E-05,+0.000000E+00,-9.492526E-06
+1.735000E+00,+3.188989E-05,+0.000000E+00,-9.490792E-06
+1.734000E+00,+3.188086E-05,+0.000000E+00,-9.493435E-06
+1.733000E+00,+3.188099E-05,+0.000000E+00,-9.491308E-06
+1.732000E+00,+3.189156E-05,+0.000000E+00,-9.495229E-06
+1.731000E+00,+3.189639E-05,+0.000000E+00,-9.495177E-06
+1.730000E+00,+3.188841E-05,+0.000000E+00,-9.493819E-06
+1.729000E+00,+3.188468E-05,+0.000000E+00,-9.494024E-06
+1.728000E+00,+3.187859E-05,+0.000000E+00,-9.492635E-06
+1.727000E+00,+3.187720E-05,+0.000000E+00,-9.489882E-06
+1.726000E+00,+3.188116E-05,+0.000000E+00,-9.489751E-06
+1.725000E+00,+3.188267E-05,+0.000000E+00,-9.489029E-06
+1.724000E+00,+3.187854E-05,+0.000000E+00,-9.488921E-06
+1.723000E+00,+3.188390E-05,+0.000000E+00,-9.489288E-06
+1.722000E+00,+3.187385E-05,+0.000000E+00,-9.489004E-06
+1.721000E+00,+3.188175E-05,+0.000000E+00,-9.492134E-06
+1.720000E+00,+3.188333E-05,+0.000000E+00,-9.491030E-06
+1.719000E+00,+3.188770E-05,+0.000000E+00,-9.493362E-06
+1.718000E+00,+3.188439E-05,+0.000000E+00,-9.491105E-06
+1.717000E+00,+3.187592E-05,+0.000000E+00,-9.489608E-06
+1.716000E+00,+3.187107E-05,+0.000000E+00,-9.488818E-06
+1.715000E+00,+3.186888E-05,+0.000000E+00,-9.486439E-06
+1.714000E+00,+3.186915E-05,+0.000000E+00,-9.488921E-06
+1.713000E+00,+3.186855E-05,+0.000000E+00,-9.487693E-06
+1.712000E+00,+3.188795E-05,+0.000000E+00,-9.491368E-06
+1.711000E+00,+3.186304E-05,+0.000000E+00,-9.485992E-06
+1.710000E+00,+3.187118E-05,+0.000000E+00,-9.487297E-06
