VREF,IREF,VDD,IDD
+1.800000E+00,+1.622282E-08,+1.800000E+00,+3.577934E-05
+1.799000E+00,-7.207466E-08,+1.800000E+00,+3.585624E-05
+1.798000E+00,-1.572969E-07,+1.800000E+00,+3.594930E-05
+1.797000E+00,-2.444532E-07,+1.800000E+00,+3.600854E-05
+1.796000E+00,-3.290862E-07,+1.800000E+00,+3.610626E-05
+1.795000E+00,-4.160615E-07,+1.800000E+00,+3.617216E-05
+1.794000E+00,-5.003064E-07,+1.800000E+00,+3.628641E-05
+1.793000E+00,-5.867170E-07,+1.800000E+00,+3.636896E-05
+1.792000E+00,-6.692145E-07,+1.800000E+00,+3.646120E-05
+1.791000E+00,-7.553381E-07,+1.800000E+00,+3.653988E-05
+1.790000E+00,-8.382237E-07,+1.800000E+00,+3.665885E-05
+1.789000E+00,-9.236368E-07,+1.800000E+00,+3.672061E-05
+1.788000E+00,-1.005399E-06,+1.800000E+00,+3.680007E-05
+1.787000E+00,-1.090148E-06,+1.800000E+00,+3.687761E-05
+1.786000E+00,-1.171980E-06,+1.800000E+00,+3.694531E-05
+1.785000E+00,-1.256387E-06,+1.800000E+00,+3.704891E-05
+1.784000E+00,-1.337312E-06,+1.800000E+00,+3.714104E-05
+1.783000E+00,-1.420687E-06,+1.800000E+00,+3.719823E-05
+1.782000E+00,-1.501099E-06,+1.800000E+00,+3.728594E-05
+1.781000E+00,-1.583461E-06,+1.800000E+00,+3.737641E-05
+1.780000E+00,-1.663036E-06,+1.800000E+00,+3.745640E-05
+1.779000E+00,-1.745252E-06,+1.800000E+00,+3.755589E-05
+1.778000E+00,-1.825128E-06,+1.800000E+00,+3.761634E-05
+1.777000E+00,-1.906654E-06,+1.800000E+00,+3.770366E-05
+1.776000E+00,-1.985259E-06,+1.800000E+00,+3.778887E-05
+1.775000E+00,-2.066850E-06,+1.800000E+00,+3.786676E-05
+1.774000E+00,-2.145173E-06,+1.800000E+00,+3.794232E-05
+1.773000E+00,-2.225439E-06,+1.800000E+00,+3.800032E-05
+1.772000E+00,-2.303083E-06,+1.800000E+00,+3.808441E-05
+1.771000E+00,-2.383562E-06,+1.800000E+00,+3.816361E-05
+1.770000E+00,-2.460790E-06,+1.800000E+00,+3.823621E-05
+1.769000E+00,-2.540957E-06,+1.800000E+00,+3.832372E-05
+1.768000E+00,-2.617501E-06,+1.800000E+00,+3.839667E-05
+1.767000E+00,-2.695875E-06,+1.800000E+00,+3.847348E-05
+1.766000E+00,-2.771926E-06,+1.800000E+00,+3.856092E-05
+1.765000E+00,-2.850743E-06,+1.800000E+00,+3.865021E-05
+1.764000E+00,-2.926130E-06,+1.800000E+00,+3.872319E-05
+1.763000E+00,-3.003729E-06,+1.800000E+00,+3.879573E-05
+1.762000E+00,-3.078017E-06,+1.800000E+00,+3.885756E-05
+1.761000E+00,-3.156338E-06,+1.800000E+00,+3.894891E-05
+1.760000E+00,-3.230362E-06,+1.800000E+00,+3.902706E-05
+1.759000E+00,-3.307230E-06,+1.800000E+00,+3.910654E-05
+1.758000E+00,-3.381280E-06,+1.800000E+00,+3.918389E-05
+1.757000E+00,-3.456601E-06,+1.800000E+00,+3.925547E-05
+1.756000E+00,-3.531988E-06,+1.800000E+00,+3.933180E-05
+1.755000E+00,-3.607399E-06,+1.800000E+00,+3.941368E-05
+1.754000E+00,-3.681322E-06,+1.800000E+00,+3.948555E-05
+1.753000E+00,-3.755770E-06,+1.800000E+00,+3.957625E-05
+1.752000E+00,-3.827010E-06,+1.800000E+00,+3.964057E-05
+1.751000E+00,-3.902700E-06,+1.800000E+00,+3.972683E-05
+1.750000E+00,-3.973143E-06,+1.800000E+00,+3.977318E-05
+1.749000E+00,-4.048619E-06,+1.800000E+00,+3.986684E-05
+1.748000E+00,-4.118061E-06,+1.800000E+00,+3.991593E-05
+1.747000E+00,-4.189401E-06,+1.800000E+00,+3.998764E-05
+1.746000E+00,-4.259674E-06,+1.800000E+00,+4.005442E-05
+1.745000E+00,-4.332514E-06,+1.800000E+00,+4.012847E-05
+1.744000E+00,-4.401805E-06,+1.800000E+00,+4.018813E-05
+1.743000E+00,-4.473973E-06,+1.800000E+00,+4.026250E-05
+1.742000E+00,-4.542854E-06,+1.800000E+00,+4.032316E-05
+1.741000E+00,-4.614133E-06,+1.800000E+00,+4.039297E-05
+1.740000E+00,-4.683237E-06,+1.800000E+00,+4.046328E-05
+1.739000E+00,-4.753476E-06,+1.800000E+00,+4.052484E-05
+1.738000E+00,-4.821159E-06,+1.800000E+00,+4.061301E-05
+1.737000E+00,-4.889658E-06,+1.800000E+00,+4.067634E-05
+1.736000E+00,-4.956477E-06,+1.800000E+00,+4.072943E-05
+1.735000E+00,-5.026044E-06,+1.800000E+00,+4.081500E-05
+1.734000E+00,-5.093914E-06,+1.800000E+00,+4.087109E-05
+1.733000E+00,-5.162890E-06,+1.800000E+00,+4.093910E-05
+1.732000E+00,-5.231856E-06,+1.800000E+00,+4.102010E-05
+1.731000E+00,-5.300010E-06,+1.800000E+00,+4.109047E-05
+1.730000E+00,-5.366098E-06,+1.800000E+00,+4.116079E-05
