VDD,IDD,VREF,IREF
+1.800000E+00,+5.078312E-05,+0.000000E+00,-1.513793E-05
+1.799000E+00,+5.080811E-05,+0.000000E+00,-1.514465E-05
+1.798000E+00,+5.077548E-05,+0.000000E+00,-1.513643E-05
+1.797000E+00,+5.078096E-05,+0.000000E+00,-1.513739E-05
+1.796000E+00,+5.079215E-05,+0.000000E+00,-1.514199E-05
+1.795000E+00,+5.076350E-05,+0.000000E+00,-1.512803E-05
+1.794000E+00,+5.074302E-05,+0.000000E+00,-1.512541E-05
+1.793000E+00,+5.074847E-05,+0.000000E+00,-1.512612E-05
+1.792000E+00,+5.074485E-05,+0.000000E+00,-1.512909E-05
+1.791000E+00,+5.073570E-05,+0.000000E+00,-1.512962E-05
+1.790000E+00,+5.074227E-05,+0.000000E+00,-1.513080E-05
+1.789000E+00,+5.074008E-05,+0.000000E+00,-1.512762E-05
+1.788000E+00,+5.075123E-05,+0.000000E+00,-1.513199E-05
+1.787000E+00,+5.076711E-05,+0.000000E+00,-1.513380E-05
+1.786000E+00,+5.075622E-05,+0.000000E+00,-1.513545E-05
+1.785000E+00,+5.076663E-05,+0.000000E+00,-1.513721E-05
+1.784000E+00,+5.074597E-05,+0.000000E+00,-1.512401E-05
+1.783000E+00,+5.075257E-05,+0.000000E+00,-1.512523E-05
+1.782000E+00,+5.074420E-05,+0.000000E+00,-1.513223E-05
+1.781000E+00,+5.075769E-05,+0.000000E+00,-1.513395E-05
+1.780000E+00,+5.074987E-05,+0.000000E+00,-1.513328E-05
+1.779000E+00,+5.074879E-05,+0.000000E+00,-1.513370E-05
+1.778000E+00,+5.076115E-05,+0.000000E+00,-1.513454E-05
+1.777000E+00,+5.072606E-05,+0.000000E+00,-1.512474E-05
+1.776000E+00,+5.072045E-05,+0.000000E+00,-1.512011E-05
+1.775000E+00,+5.071410E-05,+0.000000E+00,-1.511947E-05
+1.774000E+00,+5.072627E-05,+0.000000E+00,-1.512078E-05
+1.773000E+00,+5.074621E-05,+0.000000E+00,-1.512644E-05
+1.772000E+00,+5.075345E-05,+0.000000E+00,-1.513046E-05
+1.771000E+00,+5.074688E-05,+0.000000E+00,-1.513009E-05
+1.770000E+00,+5.076708E-05,+0.000000E+00,-1.514022E-05
+1.769000E+00,+5.076090E-05,+0.000000E+00,-1.513575E-05
+1.768000E+00,+5.075607E-05,+0.000000E+00,-1.513178E-05
+1.767000E+00,+5.077789E-05,+0.000000E+00,-1.513642E-05
+1.766000E+00,+5.077748E-05,+0.000000E+00,-1.513265E-05
+1.765000E+00,+5.076150E-05,+0.000000E+00,-1.513019E-05
+1.764000E+00,+5.077907E-05,+0.000000E+00,-1.513868E-05
+1.763000E+00,+5.077077E-05,+0.000000E+00,-1.513456E-05
+1.762000E+00,+5.078679E-05,+0.000000E+00,-1.513888E-05
+1.761000E+00,+5.078705E-05,+0.000000E+00,-1.514131E-05
+1.760000E+00,+5.075590E-05,+0.000000E+00,-1.512938E-05
+1.759000E+00,+5.078340E-05,+0.000000E+00,-1.514353E-05
+1.758000E+00,+5.077393E-05,+0.000000E+00,-1.513345E-05
+1.757000E+00,+5.076219E-05,+0.000000E+00,-1.513277E-05
+1.756000E+00,+5.076938E-05,+0.000000E+00,-1.513311E-05
+1.755000E+00,+5.076744E-05,+0.000000E+00,-1.513596E-05
+1.754000E+00,+5.077802E-05,+0.000000E+00,-1.513337E-05
+1.753000E+00,+5.073923E-05,+0.000000E+00,-1.512713E-05
+1.752000E+00,+5.075592E-05,+0.000000E+00,-1.512996E-05
+1.751000E+00,+5.075364E-05,+0.000000E+00,-1.513289E-05
+1.750000E+00,+5.074827E-05,+0.000000E+00,-1.512620E-05
+1.749000E+00,+5.076019E-05,+0.000000E+00,-1.513418E-05
+1.748000E+00,+5.074206E-05,+0.000000E+00,-1.512567E-05
+1.747000E+00,+5.073067E-05,+0.000000E+00,-1.512795E-05
+1.746000E+00,+5.072972E-05,+0.000000E+00,-1.512388E-05
+1.745000E+00,+5.073113E-05,+0.000000E+00,-1.512723E-05
+1.744000E+00,+5.073069E-05,+0.000000E+00,-1.512161E-05
+1.743000E+00,+5.073440E-05,+0.000000E+00,-1.512518E-05
+1.742000E+00,+5.072350E-05,+0.000000E+00,-1.512364E-05
+1.741000E+00,+5.073069E-05,+0.000000E+00,-1.512593E-05
+1.740000E+00,+5.076079E-05,+0.000000E+00,-1.512911E-05
+1.739000E+00,+5.073845E-05,+0.000000E+00,-1.512532E-05
