VDD,IDD,VREF,IREF
+0.000000E+00,-7.132634E-09,+0.000000E+00,-1.546480E-10
+1.000000E-03,-3.332240E-09,+0.000000E+00,-1.546473E-10
+2.000000E-03,-5.689894E-09,+0.000000E+00,-1.647195E-10
+3.000000E-03,-4.372823E-09,+0.000000E+00,-1.747927E-10
+4.000000E-03,-5.835672E-09,+0.000000E+00,-2.402620E-10
+5.000000E-03,-4.005855E-09,+0.000000E+00,-1.697567E-10
+6.000000E-03,-4.367799E-09,+0.000000E+00,-2.755154E-10
+7.000000E-03,-1.929713E-09,+0.000000E+00,-3.158031E-10
+8.000000E-03,-9.344527E-10,+0.000000E+00,-1.697556E-10
+9.000000E-03,-8.238727E-10,+0.000000E+00,-1.899004E-10
+1.000000E-02,-7.736081E-10,+0.000000E+00,-1.848644E-10
+1.100000E-02,-6.489098E-11,+0.000000E+00,-2.150819E-10
+1.200000E-02,+3.120890E-10,+0.000000E+00,-1.747929E-10
+1.300000E-02,-5.323437E-10,+0.000000E+00,-2.352260E-10
+1.400000E-02,+9.102221E-10,+0.000000E+00,-1.546479E-10
+1.500000E-02,-2.860516E-10,+0.000000E+00,-1.546480E-10
+1.600000E-02,+1.864282E-10,+0.000000E+00,-1.949371E-10
+1.700000E-02,+1.106256E-09,+0.000000E+00,-1.647201E-10
+1.800000E-02,-2.006030E-10,+0.000000E+00,-1.697561E-10
+1.900000E-02,+8.750420E-10,+0.000000E+00,+1.154354E-11
+2.000000E-02,+7.443559E-10,+0.000000E+00,-1.395393E-10
+2.100000E-02,-1.955776E-10,+0.000000E+00,-2.553709E-10
+2.200000E-02,-3.061568E-10,+0.000000E+00,-1.244309E-10
+2.300000E-02,+2.769007E-10,+0.000000E+00,-2.150811E-10
+2.400000E-02,+6.589087E-10,+0.000000E+00,-1.596840E-10
+2.500000E-02,+1.714445E-09,+0.000000E+00,-1.496119E-10
+2.600000E-02,+3.056487E-09,+0.000000E+00,-1.999735E-10
+2.700000E-02,+3.488755E-09,+0.000000E+00,-1.445757E-10
+2.800000E-02,+3.252515E-09,+0.000000E+00,-1.949368E-10
+2.900000E-02,+1.814976E-09,+0.000000E+00,-1.798285E-10
+3.000000E-02,+1.825027E-09,+0.000000E+00,-1.747917E-10
+3.100000E-02,+2.005974E-09,+0.000000E+00,-2.402622E-10
+3.200000E-02,+1.443023E-09,+0.000000E+00,-1.999730E-10
+3.300000E-02,+1.312333E-09,+0.000000E+00,-2.301910E-10
+3.400000E-02,+2.679507E-09,+0.000000E+00,-1.345032E-10
+3.500000E-02,+1.744606E-09,+0.000000E+00,-1.294679E-10
+3.600000E-02,+1.684289E-09,+0.000000E+00,-1.496121E-10
+3.700000E-02,+5.131422E-10,+0.000000E+00,-1.747924E-10
+3.800000E-02,+1.206783E-09,+0.000000E+00,-2.050093E-10
+3.900000E-02,+1.347521E-09,+0.000000E+00,-1.798287E-10
+4.000000E-02,+3.151989E-09,+0.000000E+00,-1.596840E-10
+4.100000E-02,+2.106502E-09,+0.000000E+00,-1.445759E-10
+4.200000E-02,+4.514134E-09,+0.000000E+00,-2.100449E-10
+4.300000E-02,+4.081872E-09,+0.000000E+00,-1.697560E-10
+4.400000E-02,+3.910967E-09,+0.000000E+00,-2.301895E-10
+4.500000E-02,+3.991387E-09,+0.000000E+00,-9.924994E-11
+4.600000E-02,+2.272376E-09,+0.000000E+00,-2.201173E-10
+4.700000E-02,+2.945908E-09,+0.000000E+00,-2.352263E-10
+4.800000E-02,+1.930582E-09,+0.000000E+00,-1.345045E-10
+4.900000E-02,+2.785059E-09,+0.000000E+00,-1.848646E-10
+5.000000E-02,+2.005973E-09,+0.000000E+00,-1.193941E-10
+5.100000E-02,+1.297259E-09,+0.000000E+00,-1.899005E-10
+5.200000E-02,+2.488507E-09,+0.000000E+00,-2.100451E-10
+5.300000E-02,+3.116807E-09,+0.000000E+00,-2.050088E-10
+5.400000E-02,+2.659405E-09,+0.000000E+00,-1.596840E-10
+5.500000E-02,+3.297752E-09,+0.000000E+00,-1.647201E-10
+5.600000E-02,+4.760427E-09,+0.000000E+00,-1.647201E-10
+5.700000E-02,+3.679760E-09,+0.000000E+00,-1.899009E-10
+5.800000E-02,+5.559614E-09,+0.000000E+00,-1.445751E-10
+5.900000E-02,+3.850652E-09,+0.000000E+00,-1.445757E-10
+6.000000E-02,+4.725246E-09,+0.000000E+00,-1.949371E-10
+6.100000E-02,+4.011500E-09,+0.000000E+00,-1.496121E-10
+6.200000E-02,+4.202499E-09,+0.000000E+00,-2.050095E-10
+6.300000E-02,+4.413601E-09,+0.000000E+00,-1.848647E-10
+6.400000E-02,+3.187168E-09,+0.000000E+00,-1.546478E-10
+6.500000E-02,+2.292480E-09,+0.000000E+00,-1.395381E-10
+6.600000E-02,+6.639318E-10,+0.000000E+00,-1.949370E-10
+6.700000E-02,+2.805171E-09,+0.000000E+00,-1.345035E-10
+6.800000E-02,+1.960738E-09,+0.000000E+00,-1.445751E-10
+6.900000E-02,+4.911231E-09,+0.000000E+00,-2.654434E-10
+7.000000E-02,+4.207527E-09,+0.000000E+00,-1.747923E-10
+7.100000E-02,+5.474180E-09,+0.000000E+00,-1.747923E-10
+7.200000E-02,+4.187418E-09,+0.000000E+00,-9.925000E-11
+7.300000E-02,+5.212799E-09,+0.000000E+00,-1.999737E-10
+7.400000E-02,+4.473925E-09,+0.000000E+00,-1.798287E-10
+7.500000E-02,+6.474422E-09,+0.000000E+00,-1.899010E-10
+7.600000E-02,+3.423411E-09,+0.000000E+00,-2.050083E-10
+7.700000E-02,+6.137653E-09,+0.000000E+00,-1.647199E-10
+7.800000E-02,+3.835582E-09,+0.000000E+00,-1.697564E-10
+7.900000E-02,+4.725243E-09,+0.000000E+00,-1.848641E-10
+8.000000E-02,+3.076593E-09,+0.000000E+00,-2.301903E-10
+8.100000E-02,+7.845689E-10,+0.000000E+00,-1.395397E-10
+8.200000E-02,+4.076845E-09,+0.000000E+00,-1.596836E-10
+8.300000E-02,+2.905694E-09,+0.000000E+00,-1.345044E-10
+8.400000E-02,+3.654630E-09,+0.000000E+00,-8.917772E-11
+8.500000E-02,+2.674475E-09,+0.000000E+00,-1.949375E-10
+8.600000E-02,+4.574456E-09,+0.000000E+00,-2.352260E-10
+8.700000E-02,+5.760669E-09,+0.000000E+00,-1.395391E-10
+8.800000E-02,+5.760682E-09,+0.000000E+00,-2.050097E-10
+8.900000E-02,+7.007210E-09,+0.000000E+00,-1.395393E-10
+9.000000E-02,+6.197973E-09,+0.000000E+00,-1.546480E-10
+9.100000E-02,+4.051708E-09,+0.000000E+00,-1.647197E-10
+9.200000E-02,+5.036878E-09,+0.000000E+00,-1.949370E-10
+9.300000E-02,+5.117293E-09,+0.000000E+00,-1.596839E-10
+9.400000E-02,+2.945906E-09,+0.000000E+00,-1.395389E-10
+9.500000E-02,+3.815467E-09,+0.000000E+00,-2.301888E-10
+9.600000E-02,+2.900673E-09,+0.000000E+00,-9.925061E-11
+9.700000E-02,+3.840603E-09,+0.000000E+00,-1.445757E-10
+9.800000E-02,+3.850655E-09,+0.000000E+00,-9.924972E-11
+9.900000E-02,+3.478709E-09,+0.000000E+00,-1.798287E-10
+1.000000E-01,+5.087146E-09,+0.000000E+00,-1.193952E-10
+1.010000E-01,+5.212805E-09,+0.000000E+00,-1.294667E-10
+1.020000E-01,+6.665426E-09,+0.000000E+00,-1.899004E-10
+1.030000E-01,+6.399026E-09,+0.000000E+00,-1.949362E-10
+1.040000E-01,+6.700610E-09,+0.000000E+00,-1.395401E-10
+1.050000E-01,+6.494530E-09,+0.000000E+00,-2.251534E-10
+1.060000E-01,+7.916984E-09,+0.000000E+00,-1.747920E-10
+1.070000E-01,+5.635011E-09,+0.000000E+00,-1.899005E-10
+1.080000E-01,+4.946402E-09,+0.000000E+00,-1.697569E-10
+1.090000E-01,+4.690059E-09,+0.000000E+00,-1.596834E-10
+1.100000E-01,+3.780292E-09,+0.000000E+00,-1.445752E-10
+1.110000E-01,+4.333182E-09,+0.000000E+00,-1.798282E-10
+1.120000E-01,+4.494037E-09,+0.000000E+00,-3.006955E-10
+1.130000E-01,+4.488996E-09,+0.000000E+00,-1.798282E-10
+1.140000E-01,+4.167319E-09,+0.000000E+00,-1.949368E-10
+1.150000E-01,+5.092169E-09,+0.000000E+00,-2.201178E-10
+1.160000E-01,+4.433713E-09,+0.000000E+00,-1.999727E-10
+1.170000E-01,+5.695328E-09,+0.000000E+00,-2.301896E-10
+1.180000E-01,+6.484477E-09,+0.000000E+00,-1.546483E-10
+1.190000E-01,+7.137902E-09,+0.000000E+00,-1.798279E-10
+1.200000E-01,+6.931828E-09,+0.000000E+00,-1.798287E-10
+1.210000E-01,+6.127603E-09,+0.000000E+00,-1.496122E-10
+1.220000E-01,+4.609630E-09,+0.000000E+00,-1.949371E-10
+1.230000E-01,+6.328649E-09,+0.000000E+00,-1.546476E-10
+1.240000E-01,+7.233408E-09,+0.000000E+00,-2.201179E-10
+1.250000E-01,+5.685282E-09,+0.000000E+00,-1.697556E-10
+1.260000E-01,+4.378424E-09,+0.000000E+00,-1.647194E-10
+1.270000E-01,+3.780287E-09,+0.000000E+00,-1.848650E-10
+1.280000E-01,+5.107249E-09,+0.000000E+00,-1.445752E-10
+1.290000E-01,+5.152489E-09,+0.000000E+00,-1.999729E-10
+1.300000E-01,+5.207777E-09,+0.000000E+00,-1.798281E-10
+1.310000E-01,+5.454065E-09,+0.000000E+00,-1.143591E-10
+1.320000E-01,+6.027067E-09,+0.000000E+00,-1.747923E-10
+1.330000E-01,+5.961734E-09,+0.000000E+00,-1.798288E-10
+1.340000E-01,+9.233902E-09,+0.000000E+00,-2.100457E-10
+1.350000E-01,+6.987107E-09,+0.000000E+00,-1.345034E-10
+1.360000E-01,+7.218330E-09,+0.000000E+00,-1.899009E-10
+1.370000E-01,+6.881558E-09,+0.000000E+00,-1.244307E-10
